period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_CAGED
2007-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_012007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012007;";&CAGEDEST_012007.txt"
2007-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_022007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022007;";&CAGEDEST_022007.txt"
2007-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_032007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032007;";&CAGEDEST_032007.txt"
2007-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_042007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042007;";&CAGEDEST_042007.txt"
2007-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_052007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052007;";&CAGEDEST_052007.txt"
2007-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_062007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062007;";&CAGEDEST_062007.txt"
2007-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_072007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072007;";&CAGEDEST_072007.txt"
2007-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_082007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082007;";&CAGEDEST_082007.txt"
2007-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_092007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092007;";&CAGEDEST_092007.txt"
2007-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_102007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102007;";&CAGEDEST_102007.txt"
2007-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_112007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112007;";&CAGEDEST_112007.txt"
2007-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2007/CAGEDEST_122007.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122007;";&CAGEDEST_122007.txt"
2008-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_012008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012008;";&CAGEDEST_012008.txt"
2008-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_022008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022008;";&CAGEDEST_022008.txt"
2008-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_032008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032008;";&CAGEDEST_032008.txt"
2008-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_042008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042008;";&CAGEDEST_042008.txt"
2008-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_052008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052008;";&CAGEDEST_052008.txt"
2008-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_062008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062008;";&CAGEDEST_062008.txt"
2008-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_072008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072008;";&CAGEDEST_072008.txt"
2008-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_082008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082008;";&CAGEDEST_082008.txt"
2008-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_092008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092008;";&CAGEDEST_092008.txt"
2008-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_102008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102008;";&CAGEDEST_102008.txt"
2008-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_112008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112008;";&CAGEDEST_112008.txt"
2008-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2008/CAGEDEST_122008.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122008;";&CAGEDEST_122008.txt"
2009-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_012009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012009;";&CAGEDEST_012009.txt"
2009-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_022009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022009;";&CAGEDEST_022009.txt"
2009-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_032009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032009;";&CAGEDEST_032009.txt"
2009-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_042009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042009;";&CAGEDEST_042009.txt"
2009-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_052009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052009;";&CAGEDEST_052009.txt"
2009-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_062009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062009;";&CAGEDEST_062009.txt"
2009-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_072009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072009;";&CAGEDEST_072009.txt"
2009-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_082009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082009;";&CAGEDEST_082009.txt"
2009-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_092009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092009;";&CAGEDEST_092009.txt"
2009-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_102009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102009;";&CAGEDEST_102009.txt"
2009-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_112009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112009;";&CAGEDEST_112009.txt"
2009-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2009/CAGEDEST_122009.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122009;";&CAGEDEST_122009.txt"
2010-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_012010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012010;";&CAGEDEST_012010.txt"
2010-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_022010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022010;";&CAGEDEST_022010.txt"
2010-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_032010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032010;";&CAGEDEST_032010.txt"
2010-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_042010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042010;";&CAGEDEST_042010.txt"
2010-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_052010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052010;";&CAGEDEST_052010.txt"
2010-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_062010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062010;";&CAGEDEST_062010.txt"
2010-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2010/CAGEDEST_072010.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072010;";&CAGEDEST_072010.txt"
