"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V0001";NA;NA;2;NA;2;"c";FALSE
3;"V0002";NA;NA;5;NA;7;"c";FALSE
8;"V0011";NA;NA;13;NA;20;"c";FALSE
21;"V0300";NA;NA;8;NA;28;"d";FALSE
29;"V0010";NA;NA;3;13;44;"d";FALSE
45;"V1001";NA;NA;1;NA;45;"c";TRUE
46;"V1002";NA;NA;2;NA;47;"c";FALSE
48;"V1003";NA;NA;3;NA;50;"c";FALSE
51;"V1004";NA;NA;2;NA;52;"c";FALSE
53;"V1006";NA;NA;1;NA;53;"c";FALSE
54;"V4001";NA;NA;2;NA;55;"c";FALSE
56;"V4002";NA;NA;2;NA;57;"c";FALSE
58;"V0201";NA;NA;1;NA;58;"c";FALSE
59;"V2011";NA;NA;6;NA;64;"d";FALSE
65;"V2012";NA;NA;4;5;73;"d";FALSE
74;"V0202";NA;NA;1;NA;74;"c";FALSE
75;"V0203";NA;NA;2;NA;76;"d";FALSE
77;"V6203";NA;NA;2;1;79;"d";FALSE
80;"V0204";NA;NA;2;NA;81;"d";FALSE
82;"V6204";NA;NA;2;1;84;"d";FALSE
85;"V0205";NA;NA;1;NA;85;"c";FALSE
86;"V0206";NA;NA;1;NA;86;"c";TRUE
87;"V0207";NA;NA;1;NA;87;"c";FALSE
88;"V0208";NA;NA;2;NA;89;"c";TRUE
90;"V0209";NA;NA;1;NA;90;"c";TRUE
91;"V0210";NA;NA;1;NA;91;"c";FALSE
92;"V0211";NA;NA;1;NA;92;"c";TRUE
93;"V0212";NA;NA;1;NA;93;"c";FALSE
94;"V0213";NA;NA;1;NA;94;"c";FALSE
95;"V0214";NA;NA;1;NA;95;"c";TRUE
96;"V0215";NA;NA;1;NA;96;"c";TRUE
97;"V0216";NA;NA;1;NA;97;"c";TRUE
98;"V0217";NA;NA;1;NA;98;"c";TRUE
99;"V0218";NA;NA;1;NA;99;"c";TRUE
100;"V0219";NA;NA;1;NA;100;"c";TRUE
101;"V0220";NA;NA;1;NA;101;"c";TRUE
102;"V0221";NA;NA;1;NA;102;"c";TRUE
103;"V0222";NA;NA;1;NA;103;"c";TRUE
104;"V0301";NA;NA;1;NA;104;"c";TRUE
105;"V0401";NA;NA;2;NA;106;"d";FALSE
107;"V0402";NA;NA;1;NA;107;"c";TRUE
108;"V0701";NA;NA;1;NA;108;"c";TRUE
109;"V6529";NA;NA;7;NA;115;"d";FALSE
116;"V6530";NA;NA;5;5;125;"d";FALSE
126;"V6531";NA;NA;6;2;133;"d";FALSE
134;"V6532";NA;NA;4;5;142;"d";FALSE
143;"V6600";NA;NA;1;NA;143;"c";TRUE
144;"V6210";NA;NA;1;NA;144;"c";TRUE
145;"M0201";NA;NA;1;NA;145;"c";TRUE
146;"M2011";NA;NA;1;NA;146;"c";TRUE
147;"M0202";NA;NA;1;NA;147;"c";TRUE
148;"M0203";NA;NA;1;NA;148;"c";TRUE
149;"M0204";NA;NA;1;NA;149;"c";TRUE
150;"M0205";NA;NA;1;NA;150;"c";TRUE
151;"M0206";NA;NA;1;NA;151;"c";TRUE
152;"M0207";NA;NA;1;NA;152;"c";TRUE
153;"M0208";NA;NA;1;NA;153;"c";TRUE
154;"M0209";NA;NA;1;NA;154;"c";TRUE
155;"M0210";NA;NA;1;NA;155;"c";TRUE
156;"M0211";NA;NA;1;NA;156;"c";TRUE
157;"M0212";NA;NA;1;NA;157;"c";TRUE
158;"M0213";NA;NA;1;NA;158;"c";TRUE
159;"M0214";NA;NA;1;NA;159;"c";TRUE
160;"M0215";NA;NA;1;NA;160;"c";TRUE
161;"M0216";NA;NA;1;NA;161;"c";TRUE
162;"M0217";NA;NA;1;NA;162;"c";TRUE
163;"M0218";NA;NA;1;NA;163;"c";TRUE
164;"M0219";NA;NA;1;NA;164;"c";TRUE
165;"M0220";NA;NA;1;NA;165;"c";TRUE
166;"M0221";NA;NA;1;NA;166;"c";TRUE
167;"M0222";NA;NA;1;NA;167;"c";TRUE
168;"M0301";NA;NA;1;NA;168;"c";TRUE
169;"M0401";NA;NA;1;NA;169;"c";TRUE
170;"M0402";NA;NA;1;NA;170;"c";TRUE
171;"M0701";NA;NA;1;NA;171;"c";TRUE
172;"V1005";NA;NA;1;NA;172;"c";TRUE
