"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V0001";NA;NA;2;NA;2;"c";FALSE
3;"V0002";NA;NA;5;NA;7;"c";FALSE
8;"V0011";NA;NA;13;NA;20;"c";FALSE
21;"V0300";NA;NA;8;NA;28;"d";FALSE
29;"V0010";NA;NA;3;13;44;"d";FALSE
45;"V1001";NA;NA;1;NA;45;"c";TRUE
46;"V1002";NA;NA;2;NA;47;"c";FALSE
48;"V1003";NA;NA;3;NA;50;"c";FALSE
51;"V1004";NA;NA;2;NA;52;"c";FALSE
53;"V1006 ";NA;NA;1;NA;53;"c";FALSE
54;"V0303";NA;NA;1;NA;54;"c";TRUE
55;"V0304";NA;NA;4;NA;58;"c";FALSE
59;"V0305";NA;NA;4;NA;62;"c";FALSE
63;"V3061";NA;NA;7;NA;69;"c";FALSE
70;"M0303";NA;NA;1;NA;70;"c";FALSE
71;"M0304";NA;NA;1;NA;71;"c";TRUE
72;"M0305";NA;NA;1;NA;72;"c";TRUE
73;"M3061";NA;NA;1;NA;73;"c";TRUE
74;"V1005";NA;NA;1;NA;74;"c";TRUE
