"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V0001";NA;NA;2;NA;2;"c";FALSE
3;"V0002";NA;NA;5;NA;7;"c";FALSE
8;"V0011";NA;NA;13;NA;20;"c";FALSE
21;"V0300";NA;NA;8;NA;28;"d";FALSE
29;"V0010";NA;NA;3;13;44;"d";FALSE
45;"V1001";NA;NA;1;NA;45;"c";TRUE
46;"V1002";NA;NA;2;NA;47;"c";FALSE
48;"V1003";NA;NA;3;NA;50;"c";FALSE
51;"V1004";NA;NA;2;NA;52;"c";FALSE
53;"V1006 ";NA;NA;1;NA;53;"c";FALSE
54;"V0703";NA;NA;2;NA;55;"c";TRUE
56;"V0704";NA;NA;1;NA;56;"c";TRUE
57;"V7051";NA;NA;3;NA;59;"d";FALSE
60;"V7052";NA;NA;2;NA;61;"d";FALSE
62;"M0703";NA;NA;1;NA;62;"c";FALSE
63;"M0704";NA;NA;1;NA;63;"c";TRUE
64;"M7051";NA;NA;1;NA;64;"c";TRUE
65;"M7052";NA;NA;1;NA;65;"c";TRUE
66;"V1005";NA;NA;1;NA;66;"c";TRUE
