"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V0001";NA;NA;2;NA;2;"c";FALSE
3;"V0002";NA;NA;5;NA;7;"c";FALSE
8;"V0011";NA;NA;13;NA;20;"c";FALSE
21;"V0300";NA;NA;8;NA;28;"d";FALSE
29;"V0010";NA;NA;3;13;44;"d";FALSE
45;"V1001";NA;NA;1;NA;45;"c";TRUE
46;"V1002";NA;NA;2;NA;47;"c";FALSE
48;"V1003";NA;NA;3;NA;50;"c";FALSE
51;"V1004";NA;NA;2;NA;52;"c";FALSE
53;"V1006 ";NA;NA;1;NA;53;"c";FALSE
54;"V0502";NA;NA;2;NA;55;"c";FALSE
56;"V0504";NA;NA;2;NA;57;"c";FALSE
58;"V0601";NA;NA;1;NA;58;"c";TRUE
59;"V6033";NA;NA;3;NA;61;"d";FALSE
62;"V6036";NA;NA;3;NA;64;"d";FALSE
65;"V6037";NA;NA;2;NA;66;"d";FALSE
67;"V6040";NA;NA;1;NA;67;"c";FALSE
68;"V0606";NA;NA;1;NA;68;"c";TRUE
69;"V0613";NA;NA;1;NA;69;"c";FALSE
70;"V0614";NA;NA;1;NA;70;"c";FALSE
71;"V0615";NA;NA;1;NA;71;"c";FALSE
72;"V0616";NA;NA;1;NA;72;"c";FALSE
73;"V0617";NA;NA;1;NA;73;"c";FALSE
74;"V0618";NA;NA;1;NA;74;"c";FALSE
75;"V0619";NA;NA;1;NA;75;"c";FALSE
76;"V0620";NA;NA;1;NA;76;"c";FALSE
77;"V0621";NA;NA;4;NA;80;"c";FALSE
81;"V0622";NA;NA;1;NA;81;"c";FALSE
82;"V6222";NA;NA;7;NA;88;"c";FALSE
89;"V6224";NA;NA;7;NA;95;"c";FALSE
96;"V0623";NA;NA;3;NA;98;"c";FALSE
99;"V0624";NA;NA;3;NA;101;"c";FALSE
102;"V0625";NA;NA;1;NA;102;"c";FALSE
103;"V6252";NA;NA;7;NA;109;"c";FALSE
110;"V6254";NA;NA;7;NA;116;"c";FALSE
117;"V6256";NA;NA;7;NA;123;"c";FALSE
124;"V0626";NA;NA;1;NA;124;"c";FALSE
125;"V6262";NA;NA;7;NA;131;"c";FALSE
132;"V6264";NA;NA;7;NA;138;"c";FALSE
139;"V6266";NA;NA;7;NA;145;"c";FALSE
146;"V0627";NA;NA;1;NA;146;"c";FALSE
147;"V0628";NA;NA;1;NA;147;"c";FALSE
148;"V0629";NA;NA;2;NA;149;"c";TRUE
150;"V0630";NA;NA;2;NA;151;"c";FALSE
152;"V0631";NA;NA;1;NA;152;"c";FALSE
153;"V0632";NA;NA;1;NA;153;"c";FALSE
154;"V0633";NA;NA;2;NA;155;"c";FALSE
156;"V0634";NA;NA;1;NA;156;"c";FALSE
157;"V0635";NA;NA;1;NA;157;"c";FALSE
158;"V6400";NA;NA;1;NA;158;"c";FALSE
159;"V6352";NA;NA;3;NA;161;"c";FALSE
162;"V6354";NA;NA;3;NA;164;"c";FALSE
165;"V6356";NA;NA;3;NA;167;"c";FALSE
168;"V0636";NA;NA;1;NA;168;"c";FALSE
169;"V6362";NA;NA;7;NA;175;"c";FALSE
176;"V6364";NA;NA;7;NA;182;"c";FALSE
183;"V6366";NA;NA;7;NA;189;"c";FALSE
190;"V0637";NA;NA;1;NA;190;"c";FALSE
191;"V0638";NA;NA;2;NA;192;"c";FALSE
193;"V0639";NA;NA;1;NA;193;"c";FALSE
194;"V0640";NA;NA;1;NA;194;"c";FALSE
195;"V0641";NA;NA;1;NA;195;"c";FALSE
196;"V0642";NA;NA;1;NA;196;"c";FALSE
