int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;CD_IBGE_CADASTRO;12.;;7;0;7;i;FALSE
8;CO_FAMILIAR_FAM;4.;;11;0;18;i;FALSE
19;MARC_PBF;3.;;8;0;26;i;FALSE
27;CO_CHV_NATURAL_PESSOA;$Char1.;;11;0;37;i;FALSE
38;DT_CADASTRAMENTO_MEMB;7.;;8;0;45;i;FALSE
46;CO_EST_CADASTRAL_MEMB;$Char150.;;1;0;46;i;FALSE
47;IN_TRABALHO_INFANTIL_PESSOA;$Char2.;;1;0;47;i;FALSE
48;NO_PESSOA;1.;;70;0;117;c;TRUE
118;NU_NIS_PESSOA;1.;;11;0;128;c;TRUE
129;NO_APELIDO_PESSOA;1.;;34;0;162;c;TRUE
163;CO_SEXO_PESSOA;1.;;1;0;163;i;FALSE
164;DT_NASC_PESSOA;1.;;8;0;171;i;FALSE
172;CO_PARENTESCO_RF_PESSOA;1.;;2;0;173;i;FALSE
174;CO_RACA_COR_PESSOA;1.;;1;0;174;i;FALSE
175;NO_COMPLETO_MAE_PESSOA;1.;;70;0;244;c;TRUE
245;NO_COMPLETO_PAI_PESSOA;1.;;70;0;314;c;TRUE
315;CO_LOCAL_NASCIMENTO_PESSOA;1.;;1;0;315;i;FALSE
316;SG_UF_MUNIC_NASC_PESSOA;1.;;2;0;317;c;TRUE
318;NO_IBGE_MUNIC_NASC_PESSOA;1.;;35;0;352;c;TRUE
353;CO_IBGE_MUNIC_NASC_PESSOA;1.;;7;0;359;i;FALSE
360;NO_PAIS_ORIGEM_PESSOA;1.;;40;0;399;c;TRUE
400;CO_PAIS_ORIGEM_PESSOA;1.;;4;0;403;i;FALSE
404;CO_CERTIDAO_REGISTRADA_PESSOA;1.;;1;0;404;i;FALSE
405;CO_CERTIDAO_CIVIL_PESSOA;1.;;1;0;405;i;FALSE
406;NO_CARTORIO_PESSOA;1.;;70;0;475;c;TRUE
476;CO_LIVRO_CERTIDAO;1.;;8;0;483;c;TRUE
484;CO_FOLHA_CERTIDAO;1.;;4;0;487;c;TRUE
488;CO_TERMO_CERTIDAO;1.;;8;0;495;c;TRUE
496;DT_EMISSAO_CERTIDAO;1.;;8;0;503;i;FALSE
504;SG_UF_CERTIDAO;1.;;2;0;505;c;TRUE
