"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"CO_IES";"8.";"";8;0;8;"i";FALSE
9;"CO_CATEGORIA_ADMINISTRATIVA";"8.";"";8;0;16;"i";FALSE
17;"DS_CATEGORIA_ADMINISTRATIVA";"$char100.";"";100;0;116;"c";TRUE
117;"CO_ORGANIZACAO_ACADEMICA";"8.";"";8;0;124;"i";FALSE
125;"DS_ORGANIZACAO_ACADEMICA";"$char100.";"";100;0;224;"c";TRUE
225;"CO_CURSO";"8.";"";8;0;232;"i";FALSE
233;"NO_CURSO";"$char200.";"";200;0;432;"c";TRUE
433;"CO_GRAU_ACADEMICO";"8.";"";8;0;440;"i";FALSE
441;"DS_GRAU_ACADEMICO";"$char12.";"";12;0;452;"c";TRUE
453;"CO_MODALIDADE_ENSINO";"8.";"";8;0;460;"i";FALSE
461;"DS_MODALIDADE_ENSINO";"$char11.";"";11;0;471;"c";TRUE
472;"CO_NIVEL_ACADEMICO";"8.";"";8;0;479;"i";FALSE
480;"DS_NIVEL_ACADEMICO";"$char33.";"";33;0;512;"c";TRUE
513;"CO_ALUNO_CURSO";"16.";"";16;0;528;"d";FALSE
529;"CO_ALUNO";"$char13.";"";13;0;541;"c";TRUE
542;"CO_COR_RACA_ALUNO";"8.";"";8;0;549;"i";FALSE
550;"DS_COR_RACA_ALUNO";"$char24.";"";24;0;573;"c";TRUE
574;"IN_SEXO_ALUNO";"8.";"";8;0;581;"i";FALSE
582;"DS_SEXO_ALUNO";"$char9.";"";9;0;590;"c";TRUE
591;"NU_ANO_ALUNO_NASC";"$char4.";"";4;0;594;"c";TRUE
595;"NU_DIA_ALUNO_NASC";"$char2.";"";2;0;596;"c";TRUE
597;"NU_MES_ALUNO_NASC";"$char2.";"";2;0;598;"c";TRUE
599;"NU_IDADE_ALUNO";"8.";"";8;0;606;"i";FALSE
607;"CO_NACIONALIDADE_ALUNO";"8.";"";8;0;614;"i";FALSE
615;"CO_PAIS_ORIGEM_ALUNO";"8.";"";8;0;622;"i";FALSE
623;"CO_UF_NASCIMENTO";"8.";"";8;0;630;"i";FALSE
631;"CO_MUNICIPIO_NASCIMENTO";"13.";"";13;0;643;"d";FALSE
644;"CO_ALUNO_SITUACAO";"8.";"";8;0;651;"i";FALSE
652;"IN_ALUNO_DEFICIENCIA";"8.";"";8;0;659;"i";FALSE
660;"IN_DEF_AUDITIVA";"8.";"";8;0;667;"i";FALSE
668;"IN_DEF_FISICA";"8.";"";8;0;675;"i";FALSE
676;"IN_DEF_INTELECTUAL";"8.";"";8;0;683;"i";FALSE
684;"IN_DEF_MULTIPLA";"8.";"";8;0;691;"i";FALSE
692;"IN_DEF_SURDEZ";"8.";"";8;0;699;"i";FALSE
700;"IN_DEF_SURDOCEGUEIRA";"8.";"";8;0;707;"i";FALSE
708;"IN_DEF_BAIXA_VISAO";"8.";"";8;0;715;"i";FALSE
716;"IN_DEF_CEGUEIRA";"8.";"";8;0;723;"i";FALSE
724;"IN_DEF_SUPERDOTACAO";"8.";"";8;0;731;"i";FALSE
732;"IN_TGD_AUTISMO_INFANTIL";"8.";"";8;0;739;"i";FALSE
740;"IN_TGD_SINDROME_ASPERGER";"8.";"";8;0;747;"i";FALSE
748;"IN_TGD_SINDROME_RETT";"8.";"";8;0;755;"i";FALSE
756;"IN_TGD_TRANSTOR_DESINTEGRATIVO";"8.";"";8;0;763;"i";FALSE
764;"DT_INGRESSO_CURSO";"$char38.";"";38;0;801;"c";TRUE
802;"IN_ATIVIDADE_COMPLEMENTAR";"8.";"";8;0;809;"i";FALSE
810;"IN_RESERVA_VAGAS";"8.";"";8;0;817;"i";FALSE
818;"IN_FINANC_ESTUDANTIL";"8.";"";8;0;825;"i";FALSE
826;"CO_CURSO_POLO";"8.";"";8;0;833;"i";FALSE
834;"CO_TURNO_ALUNO";"8.";"";8;0;841;"i";FALSE
842;"IN_ING_VESTIBULAR";"8.";"";8;0;849;"i";FALSE
850;"IN_ING_ENEM";"8.";"";8;0;857;"i";FALSE
858;"IN_ING_OUTRA_FORMA_SELECAO";"8.";"";8;0;865;"i";FALSE
866;"IN_ING_CONVENIO_PEC_G";"8.";"";8;0;873;"i";FALSE
874;"IN_ING_OUTRA_FORMA";"8.";"";8;0;881;"i";FALSE
882;"IN_RESERVA_ETNICO";"8.";"";8;0;889;"i";FALSE
890;"IN_RESERVA_DEFICIENCIA";"8.";"";8;0;897;"i";FALSE
898;"IN_RESERVA_ENSINO_PUBLICO";"8.";"";8;0;905;"i";FALSE
906;"IN_RESERVA_RENDA_FAMILIAR";"8.";"";8;0;913;"i";FALSE
914;"IN_RESERVA_OUTROS";"8.";"";8;0;921;"i";FALSE
922;"IN_FIN_REEMB_FIES";"8.";"";8;0;929;"i";FALSE
930;"IN_FIN_REEMB_ESTADUAL";"8.";"";8;0;937;"i";FALSE
938;"IN_FIN_REEMB_MUNICIPAL";"8.";"";8;0;945;"i";FALSE
946;"IN_FIN_REEMB_PROG_IES";"8.";"";8;0;953;"i";FALSE
954;"IN_FIN_REEMB_ENT_EXTERNA";"8.";"";8;0;961;"i";FALSE
962;"IN_FIN_REEMB_OUTRA";"8.";"";8;0;969;"i";FALSE
970;"IN_FIN_NAOREEMB_PROUNI_INTEGR";"8.";"";8;0;977;"i";FALSE
978;"IN_FIN_NAOREEMB_PROUNI_PARCIAL";"8.";"";8;0;985;"i";FALSE
986;"IN_FIN_NAOREEMB_ESTADUAL";"8.";"";8;0;993;"i";FALSE
994;"IN_FIN_NAOREEMB_MUNICIPAL";"8.";"";8;0;1001;"i";FALSE
1002;"IN_FIN_NAOREEMB_PROG_IES";"8.";"";8;0;1009;"i";FALSE
1010;"IN_FIN_NAOREEMB_ENT_EXTERNA";"8.";"";8;0;1017;"i";FALSE
1018;"IN_FIN_NAOREEMB_OUTRA";"8.";"";8;0;1025;"i";FALSE
1026;"IN_APOIO_SOCIAL";"8.";"";8;0;1033;"i";FALSE
1034;"IN_APOIO_ALIMENTACAO";"8.";"";8;0;1041;"i";FALSE
