"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"CO_IES";"8.";"";8;0;8;"i";FALSE
9;"NO_IES";"$CHAR200.";"";200;0;208;"c";TRUE
209;"CO_CATEGORIA_ADMINISTRATIVA";"8.";"";8;0;216;"i";FALSE
217;"DS_CATEGORIA_ADMINISTRATIVA";"$CHAR100.";"";100;0;316;"c";TRUE
317;"CO_ORGANIZACAO_ACADEMICA";"8.";"";8;0;324;"i";FALSE
325;"DS_ORGANIZACAO_ACADEMICA";"$CHAR100.";"";100;0;424;"c";TRUE
425;"IN_CAPITAL_IES";"8.";"";8;0;432;"i";FALSE
433;"CO_DOCENTE_IES";"8.";"";8;0;440;"i";FALSE
441;"CO_DOCENTE";"$CHAR13.";"";13;0;453;"c";TRUE
454;"CO_SITUACAO_DOCENTE";"8.";"";8;0;461;"i";FALSE
462;"DS_SITUACAO_DOCENTE";"$CHAR50.";"";50;0;511;"c";TRUE
512;"CO_ESCOLARIDADE_DOCENTE";"8.";"";8;0;519;"i";FALSE
520;"DS_ESCOLARIDADE_DOCENTE";"$CHAR14.";"";14;0;533;"c";TRUE
534;"CO_REGIME_TRABALHO";"8.";"";8;0;541;"i";FALSE
542;"DS_REGIME_TRABALHO";"$CHAR38.";"";38;0;579;"c";TRUE
580;"IN_SEXO_DOCENTE";"8.";"";8;0;587;"i";FALSE
588;"DS_SEXO_DOCENTE";"$CHAR9.";"";9;0;596;"c";TRUE
597;"NU_ANO_DOCENTE_NASC";"$CHAR4.";"";4;0;600;"c";TRUE
601;"NU_MES_DOCENTE_NASC";"$CHAR2.";"";2;0;602;"c";TRUE
603;"NU_DIA_DOCENTE_NASC";"$CHAR2.";"";2;0;604;"c";TRUE
605;"NU_IDADE_DOCENTE";"8.";"";8;0;612;"i";FALSE
613;"CO_COR_RACA_DOCENTE";"8.";"";8;0;620;"i";FALSE
621;"DS_COR_RACA_DOCENTE";"$CHAR24.";"";24;0;644;"c";TRUE
645;"CO_PAIS_DOCENTE";"8.";"";8;0;652;"i";FALSE
653;"CO_NACIONALIDADE_DOCENTE";"8.";"";8;0;660;"i";FALSE
661;"CO_UF_NASCIMENTO";"8.";"";8;0;668;"i";FALSE
669;"CO_MUNICIPIO_NASCIMENTO";"8.";"";8;0;676;"i";FALSE
677;"IN_DOCENTE_DEFICIENCIA";"8.";"";8;0;684;"i";FALSE
685;"IN_CEGUEIRA";"8.";"";8;0;692;"i";FALSE
693;"IN_BAIXA_VISAO";"8.";"";8;0;700;"i";FALSE
701;"IN_SURDEZ";"8.";"";8;0;708;"i";FALSE
709;"IN_DEFICIENCIA_AUDITIVA";"8.";"";8;0;716;"i";FALSE
717;"IN_DEFICIENCIA_FISICA";"8.";"";8;0;724;"i";FALSE
725;"IN_SURDOCEGUEIRA";"8.";"";8;0;732;"i";FALSE
733;"IN_DEFICIENCIA_MULTIPLA";"8.";"";8;0;740;"i";FALSE
741;"IN_DEFICIENCIA_INTELECTUAL";"8.";"";8;0;748;"i";FALSE
749;"IN_ATU_EAD";"8.";"";8;0;756;"i";FALSE
757;"IN_ATU_EXTENSAO";"8.";"";8;0;764;"i";FALSE
765;"IN_ATU_GESTAO";"8.";"";8;0;772;"i";FALSE
773;"IN_ATU_GRAD_PRESENCIAL";"8.";"";8;0;780;"i";FALSE
781;"IN_ATU_POS_EAD";"8.";"";8;0;788;"i";FALSE
789;"IN_ATU_POS_PRESENCIAL";"8.";"";8;0;796;"i";FALSE
797;"IN_ATU_SEQUENCIAL";"8.";"";8;0;804;"i";FALSE
805;"IN_ATU_PESQUISA";"8.";"";8;0;812;"i";FALSE
813;"IN_BOLSA_PESQUISA";"8.";"";8;0;820;"i";FALSE
821;"IN_SUBSTITUTO";"8.";"";8;0;828;"i";FALSE
829;"IN_EXERCICIO_DT_REF";"8.";"";8;0;836;"i";FALSE
837;"IN_VISITANTE";"8.";"";8;0;844;"i";FALSE
845;"IN_VISITANTE_IFES_VINCULO";"8.";"";8;0;852;"i";FALSE
