"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"CO_IES";"8.";"";8;0;8;"i";FALSE
9;"NO_IES";"$CHAR200.";"";200;0;208;"c";TRUE
209;"CO_MANTENEDORA";"8.";"";8;0;216;"i";FALSE
217;"CO_CATEGORIA_ADMINISTRATIVA";"8.";"";8;0;224;"i";FALSE
225;"DS_CATEGORIA_ADMINISTRATIVA";"$CHAR100.";"";100;0;324;"c";TRUE
325;"CO_ORGANIZACAO_ACADEMICA";"8.";"";8;0;332;"i";FALSE
333;"DS_ORGANIZACAO_ACADEMICA";"$CHAR100.";"";100;0;432;"c";TRUE
433;"CO_MUNICIPIO_IES";"8.";"";8;0;440;"i";FALSE
441;"NO_MUNICIPIO_IES";"$CHAR150.";"";150;0;590;"c";TRUE
591;"CO_UF_IES";"8.";"";8;0;598;"i";FALSE
599;"SGL_UF_IES";"$CHAR2.";"";2;0;600;"c";TRUE
601;"NO_REGIAO_IES";"$CHAR30.";"";30;0;630;"c";TRUE
631;"IN_CAPITAL_IES";"8.";"";8;0;638;"i";FALSE
639;"QT_TEC_TOTAL";"8.";"";8;0;646;"i";FALSE
647;"QT_TEC_FUND_INCOMP_MASC";"8.";"";8;0;654;"i";FALSE
655;"QT_TEC_FUND_INCOMP_FEM";"8.";"";8;0;662;"i";FALSE
663;"QT_TEC_FUND_COMP_MASC";"8.";"";8;0;670;"i";FALSE
671;"QT_TEC_FUND_COMP_FEM";"8.";"";8;0;678;"i";FALSE
679;"QT_TEC_MEDIO_MASC";"8.";"";8;0;686;"i";FALSE
687;"QT_TEC_MEDIO_FEM";"8.";"";8;0;694;"i";FALSE
695;"QT_TEC_SUPERIOR_MASC";"8.";"";8;0;702;"i";FALSE
703;"QT_TEC_SUPERIOR_FEM";"8.";"";8;0;710;"i";FALSE
711;"QT_TEC_ESPECIALIZACAO_MASC";"8.";"";8;0;718;"i";FALSE
719;"QT_TEC_ESPECIALIZACAO_FEM";"8.";"";8;0;726;"i";FALSE
727;"QT_TEC_MESTRADO_MASC";"8.";"";8;0;734;"i";FALSE
735;"QT_TEC_MESTRADO_FEM";"8.";"";8;0;742;"i";FALSE
743;"QT_TEC_DOUTORADO_MASC";"8.";"";8;0;750;"i";FALSE
751;"QT_TEC_DOUTORADO_FEM";"8.";"";8;0;758;"i";FALSE
759;"IN_ACESSO_PORTAL_CAPES";"8.";"";8;0;766;"i";FALSE
767;"IN_ACESSO_OUTRAS_BASES";"8.";"";8;0;774;"i";FALSE
775;"IN_REFERENTE";"8.";"";8;0;782;"i";FALSE
783;"VL_RECEITA_PROPRIA";"14.2";"";14;2;796;"d";FALSE
797;"VL_TRANSFERENCIA";"14.2";"";14;2;810;"d";FALSE
811;"VL_OUTRA_RECEITA";"14.2";"";14;2;824;"d";FALSE
825;"VL_DES_PESSOAL_REM_DOCENTE";"14.2";"";14;2;838;"d";FALSE
839;"VL_DES_PESSOAL_REM_TECNICO";"14.2";"";14;2;852;"d";FALSE
853;"VL_DES_PESSOAL_ENCARGO";"14.2";"";14;2;866;"d";FALSE
867;"VL_DES_CUSTEIO";"14.2";"";14;2;880;"d";FALSE
881;"VL_DES_INVESTIMENTO";"14.2";"";14;2;894;"d";FALSE
895;"VL_DES_PESQUISA";"14.2";"";14;2;908;"d";FALSE
909;"VL_DES_OUTRAS";"14.2";"";14;2;922;"d";FALSE
