"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"ANO_CENSO";"7.";"";7;0;7;"i";FALSE
8;"FK_COD_DOCENTE";"15.";"";15;0;22;"d";FALSE
23;"NU_DIA";"5.";"";5;0;27;"i";FALSE
28;"NU_MES";"5.";"";5;0;32;"i";FALSE
33;"NU_ANO";"7.";"";7;0;39;"i";FALSE
40;"NUM_IDADE";"5.";"";5;0;44;"i";FALSE
45;"TP_SEXO";"$CHAR1.";"";1;0;45;"c";TRUE
46;"TP_COR_RACA";"$CHAR1.";"";1;0;46;"c";TRUE
47;"TP_NACIONALIDADE";"$CHAR1.";"";1;0;47;"c";TRUE
48;"FK_COD_PAIS_ORIGEM";"6.";"";6;0;53;"i";FALSE
54;"FK_COD_ESTADO_DNASC";"5.";"";5;0;58;"i";FALSE
59;"SIGLA_ESTADO_DNASC";"$CHAR2.";"";2;0;60;"c";TRUE
61;"FK_COD_MUNICIPIO_DNASC";"15.";"";15;0;75;"d";FALSE
76;"FK_COD_ESTADO_DEND";"5.";"";5;0;80;"i";FALSE
81;"SIGLA_ESTADO_DEND";"$CHAR2.";"";2;0;82;"c";TRUE
83;"FK_COD_MUNICIPIO_DEND";"15.";"";15;0;97;"d";FALSE
98;"FK_COD_ESCOLARIDADE";"5.";"";5;0;102;"i";FALSE
103;"FK_CLASSE_CURSO_1";"5.";"";5;0;107;"i";FALSE
108;"PK_COD_AREA_OCDE_1";"$CHAR6.";"";6;0;113;"c";TRUE
114;"ID_LICENCIATURA_1";"3.";"";3;0;116;"i";FALSE
117;"NU_ANO_CONCLUSAO_1";"6.";"";6;0;122;"i";FALSE
123;"ID_TIPO_INSTITUICAO_1";"3.";"";3;0;125;"i";FALSE
126;"ID_NOME_IES_1";"$CHAR100.";"";100;0;225;"c";TRUE
226;"FK_COD_IES_1";"9.";"";9;0;234;"i";FALSE
235;"FK_CLASSE_CURSO_2";"5.";"";5;0;239;"i";FALSE
240;"PK_COD_AREA_OCDE_2";"$CHAR6.";"";6;0;245;"c";TRUE
246;"ID_LICENCIATURA_2";"3.";"";3;0;248;"i";FALSE
249;"NU_ANO_CONCLUSAO_2";"6.";"";6;0;254;"i";FALSE
255;"ID_TIPO_INSTITUICAO_2";"3.";"";3;0;257;"i";FALSE
258;"ID_NOME_IES_2";"$CHAR100.";"";100;0;357;"c";TRUE
358;"FK_COD_IES_2";"9.";"";9;0;366;"i";FALSE
367;"FK_CLASSE_CURSO_3";"5.";"";5;0;371;"i";FALSE
372;"PK_COD_AREA_OCDE_3";"$CHAR6.";"";6;0;377;"c";TRUE
378;"ID_LICENCIATURA_3";"3.";"";3;0;380;"i";FALSE
381;"NU_ANO_CONCLUSAO_3";"6.";"";6;0;386;"i";FALSE
387;"ID_TIPO_INSTITUICAO_3";"3.";"";3;0;389;"i";FALSE
390;"ID_NOME_IES_3";"$CHAR100.";"";100;0;489;"c";TRUE
490;"FK_COD_IES_3";"9.";"";9;0;498;"i";FALSE
499;"ID_QUIMICA";"$CHAR1.";"";1;0;499;"c";TRUE
500;"ID_FISICA";"$CHAR1.";"";1;0;500;"c";TRUE
501;"ID_MATEMATICA";"$CHAR1.";"";1;0;501;"c";TRUE
502;"ID_BIOLOGIA";"$CHAR1.";"";1;0;502;"c";TRUE
503;"ID_CIENCIAS";"$CHAR1.";"";1;0;503;"c";TRUE
504;"ID_LINGUA_LITERAT_PORTUGUESA";"$CHAR1.";"";1;0;504;"c";TRUE
505;"ID_LINGUA_LITERAT_INGLES";"$CHAR1.";"";1;0;505;"c";TRUE
506;"ID_LINGUA_LITERAT_ESPANHOL";"$CHAR1.";"";1;0;506;"c";TRUE
507;"ID_LINGUA_LITERAT_OUTRA";"$CHAR1.";"";1;0;507;"c";TRUE
508;"ID_ARTES";"$CHAR1.";"";1;0;508;"c";TRUE
509;"ID_EDUCACAO_FISICA";"$CHAR1.";"";1;0;509;"c";TRUE
510;"ID_HISTORIA";"$CHAR1.";"";1;0;510;"c";TRUE
511;"ID_GEOGRAFIA";"$CHAR1.";"";1;0;511;"c";TRUE
512;"ID_FILOSOFIA";"$CHAR1.";"";1;0;512;"c";TRUE
513;"ID_ESTUDOS_SOCIAIS";"$CHAR1.";"";1;0;513;"c";TRUE
514;"ID_INFORMATICA_COMPUTACAO";"$CHAR1.";"";1;0;514;"c";TRUE
515;"ID_PROFISSIONALIZANTE";"$CHAR1.";"";1;0;515;"c";TRUE
516;"ID_DIDATICA_METODOLOGIA";"$CHAR1.";"";1;0;516;"c";TRUE
517;"ID_FUNDAMENTOS_EDUCACAO";"$CHAR1.";"";1;0;517;"c";TRUE
518;"ID_DISC_ATENDIMENTO_ESPECIAIS";"$CHAR1.";"";1;0;518;"c";TRUE
519;"ID_DISC_DIVERSIDADE_SOCIO_CULT";"$CHAR1.";"";1;0;519;"c";TRUE
520;"ID_OUTRAS_DISCIPLINAS_PEDAG";"$CHAR1.";"";1;0;520;"c";TRUE
521;"ID_LIBRAS";"$CHAR1.";"";1;0;521;"c";TRUE
522;"ID_ESPECIALIZACAO";"$CHAR1.";"";1;0;522;"c";TRUE
523;"ID_MESTRADO";"$CHAR1.";"";1;0;523;"c";TRUE
524;"ID_DOUTORADO";"$CHAR1.";"";1;0;524;"c";TRUE
525;"ID_POS_GRADUACAO_NENHUM";"$CHAR1.";"";1;0;525;"c";TRUE
526;"ID_ESPECIFICO_CRECHE";"$CHAR1.";"";1;0;526;"c";TRUE
527;"ID_ESPECIFICO_PRE_ESCOLA";"$CHAR1.";"";1;0;527;"c";TRUE
528;"ID_ESPECIFICO_NEC_ESP";"$CHAR1.";"";1;0;528;"c";TRUE
529;"ID_ESPECIFICO_ED_INDIGENA";"$CHAR1.";"";1;0;529;"c";TRUE
530;"ID_INTERCULTURAL_OUTROS";"$CHAR1.";"";1;0;530;"c";TRUE
531;"ID_ESPECIFICO_NENHUM";"$CHAR1.";"";1;0;531;"c";TRUE
532;"ID_OUTRAS_DISCIPLINAS";"$CHAR1.";"";1;0;532;"c";TRUE
533;"ID_TIPO_DOCENTE";"$CHAR1.";"";1;0;533;"c";TRUE
534;"PK_COD_TURMA";"13.";"";13;0;546;"d";FALSE
547;"FK_TIPO_TURMA";"5.";"";5;0;551;"i";FALSE
552;"FK_COD_MOD_ENSINO";"5.";"";5;0;556;"i";FALSE
557;"FK_COD_ETAPA_ENSINO";"5.";"";5;0;561;"i";FALSE
562;"FK_COD_CURSO_PROF";"10.";"";10;0;571;"d";FALSE
572;"PK_COD_ENTIDADE";"11.";"";11;0;582;"d";FALSE
583;"FK_COD_ESTADO";"5.";"";5;0;587;"i";FALSE
588;"SIGLA";"$CHAR2.";"";2;0;589;"c";TRUE
590;"FK_COD_MUNICIPIO";"15.";"";15;0;604;"d";FALSE
605;"ID_LOCALIZACAO";"$CHAR1.";"";1;0;605;"c";TRUE
606;"ID_DEPENDENCIA_ADM";"$CHAR1.";"";1;0;606;"c";TRUE
607;"DESC_CATEGORIA_ESCOLA_PRIVADA";"$CHAR1.";"";1;0;607;"c";TRUE
608;"ID_CONVENIADA_PP";"$CHAR1.";"";1;0;608;"c";TRUE
609;"ID_TIPO_CONVENIO_PODER_PUBLICO";"$CHAR1.";"";1;0;609;"c";TRUE
610;"ID_MANT_ESCOLA_PRIVADA_EMP";"$CHAR1.";"";1;0;610;"c";TRUE
611;"ID_MANT_ESCOLA_PRIVADA_ONG";"$CHAR1.";"";1;0;611;"c";TRUE
612;"ID_MANT_ESCOLA_PRIVADA_SIND";"$CHAR1.";"";1;0;612;"c";TRUE
613;"ID_MANT_ESCOLA_PRIVADA_APAE";"$CHAR1.";"";1;0;613;"c";TRUE
614;"ID_DOCUMENTO_REGULAMENTACAO";"$CHAR1.";"";1;0;614;"c";TRUE
615;"ID_LOCALIZACAO_DIFERENCIADA";"$CHAR1.";"";1;0;615;"c";TRUE
616;"ID_EDUCACAO_INDIGENA";"$CHAR1.";"";1;0;616;"c";TRUE
