int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;$10.;/*	Mascara da Escola	*/;10;0;10;c;TRUE
11;CO_IBGE;$14.;/*	Código do IBGE	*/;14;0;24;c;TRUE
25;NU_ANO;5.;/*	Ano de Coleta	*/;5;0;29;i;FALSE
33;UF;$50.;/*	Nome da Unidade Federativa	*/;50;0;82;c;TRUE
83;SIGLA;$2.;/*	Sigla da UF	*/;2;0;84;c;TRUE
85;MUNIC;$50.;/*	Nome do Município	*/;50;0;134;c;TRUE
135;DEP;$10.;/*	Dependência Administrativa	*/;10;0;144;c;TRUE
145;LOC;$10.;/*	Localização / Zona da Escola	*/;10;0;154;c;TRUE
155;CODFUNC;$11.;/*	Condição de Funcionamento	*/;11;0;165;c;TRUE
166;NIVELPRE;$1.;/*	Tipo de Ensino ministrado - Pré-Escolar	*/;1;0;166;c;TRUE
167;NIV_1GRAU;$1.;/*	Tipo de Ensino ministrado - 1º Grau	*/;1;0;167;c;TRUE
168;NIV_2GRAU;$1.;/*	Tipo de Ensino ministrado - 2º Grau	*/;1;0;168;c;TRUE
169;ENSSUPLET;$1.;/*	Tipo de Ensino ministrado - Ensino Supletivo	*/;1;0;169;c;TRUE
170;PERMANEN;7.;/*	Número de Salas de Aula Existentes - Permanentes	*/;7;0;176;i;FALSE
178;NOESTAB;7.;/*	Número de Salas de Aula Utilizadas - No Estabelecimento	*/;7;0;184;i;FALSE
186;PROVISOR;7.;/*	Número de Salas de Aula Existentes - Provisórias	*/;7;0;192;i;FALSE
194;FORAESTA;7.;/*	Número de Salas de Aula Utilizadas - Fora do Estabelecimento	*/;7;0;200;i;FALSE
202;FUNCION;7.;/*	Total de Servidores do Estabelecimento - Docentes e Não Docentes	*/;7;0;208;i;FALSE
210;PROFESS;7.;/*	Total de Servidores do Estabelecimento - Pessoal Docente em Exercício	*/;7;0;216;i;FALSE
218;VPE1001;4.;/*	Docentes no Pré-Escolar com Capacitação e 1º Grau Imcompleto	*/;4;0;221;i;FALSE
226;VPE1002;4.;/*	Docentes no Pré-Escolar com Capacitação e 1º Grau Completo	*/;4;0;229;i;FALSE
234;VPE1003;4.;/*	Docentes no Pré-Escolar com Capacitação e Magistério Incompleto (2º Grau)	*/;4;0;237;i;FALSE
242;VPE1004;4.;/*	Docentes no Pré-Escolar com Capacitação e Magistério Completo (2º Grau)	*/;4;0;245;i;FALSE
250;VPE1005;4.;/*	Docentes no Pré-Escolar com Capacitação e Outra Formação Completa (2º Grau)	*/;4;0;253;i;FALSE
258;VPE1006;4.;/*	Docentes no Pré-Escolar com Capacitação e Licenciatura Incompleta (3º Grau)	*/;4;0;261;i;FALSE
266;VPE1007;4.;/*	Docentes no Pré-Escolar com Capacitação e Licenciatura Completa (3º Grau)	*/;4;0;269;i;FALSE
274;VPE1008;4.;/*	Docentes no Pré-Escolar com Capacitação e 3º Grau Completo sem Licenciatura	*/;4;0;277;i;FALSE
282;VPE1009;4.;/*	Docentes no Pré-Escolar sem Capacitação e 1º Grau Imcompleto	*/;4;0;285;i;FALSE
290;VPE1010;4.;/*	Docentes no Pré-Escolar sem Capacitação e 1º Grau Completo	*/;4;0;293;i;FALSE
298;VPE1011;4.;/*	Docentes no Pré-Escolar sem Capacitação e Magistério Incompleto (2º Grau)	*/;4;0;301;i;FALSE
306;VPE1012;4.;/*	Docentes no Pré-Escolar sem Capacitação e Magistério Completo (2º Grau)	*/;4;0;309;i;FALSE
314;VPE1013;4.;/*	Docentes no Pré-Escolar sem Capacitação e Outra Formação Completa (2º Grau)	*/;4;0;317;i;FALSE
322;VPE1014;4.;/*	Docentes no Pré-Escolar sem Capacitação e Licenciatura Incompleta (3º Grau)	*/;4;0;325;i;FALSE
330;VPE1015;4.;/*	Docentes no Pré-Escolar sem Capacitação e Licenciatura Completa (3º Grau)	*/;4;0;333;i;FALSE
338;VPE1016;4.;/*	Docentes no Pré-Escolar sem Capacitação e 3º Grau Completo sem Licenciatura	*/;4;0;341;i;FALSE
346;VPE1101;4.;/*	Numero de Turmas no Pré-Escolar - 1º Turno (manhã)	*/;4;0;349;i;FALSE
354;VPE1102;4.;/*	Numero de Turmas no Pré-Escolar - 2º Turno (intermediário da manhã)	*/;4;0;357;i;FALSE
362;VPE1103;4.;/*	Número de Turmas no Pré-Escolar - 3º Turno (tarde)	*/;4;0;365;i;FALSE
370;VPE1104;4.;/*	Número de Turmas no Pré-Escolar - 4º Turno (intermediário da tarde)	*/;4;0;373;i;FALSE
378;VPE1105;5.;/*	Número de Turmas no Pré-Escolar - Tempo Integral	*/;5;0;382;i;FALSE
386;VPE1201;5.;/*	Matrícula Inicial no Pré-Escolar - 1º Turno (manhã)	*/;5;0;390;i;FALSE
394;VPE1202;5.;/*	Matrícula Inicial no Pré-Escolar - 2º Turno (intermediário da manhã)	*/;5;0;398;i;FALSE
402;VPE1203;5.;/*	Matrícula Inicial no Pré-Escolar - 3º Turno (tarde)	*/;5;0;406;i;FALSE
410;VPE1204;5.;/*	Matrícula Inicial no Pré-Escolar - 4º Turno (intermediário da tarde)	*/;5;0;414;i;FALSE
418;VPE1205;4.;/*	Matrícula Inicial no Pré-Escolar - Tempo Integral	*/;4;0;421;i;FALSE
426;VPE1301;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com menos de 4 anos)	*/;4;0;429;i;FALSE
434;VPE1302;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com 4 anos)	*/;4;0;437;i;FALSE
442;VPE1303;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com 5 anos)	*/;4;0;445;i;FALSE
450;VPE1304;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com 6 anos)	*/;4;0;453;i;FALSE
458;VPE1305;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com 7 anos)	*/;4;0;461;i;FALSE
466;VPE1306;4.;/*	Matrícula Inicial no 1º Período do Pré-Escolar (com mais de 7 anos)	*/;4;0;469;i;FALSE
474;VPE1307;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com menos de 4 anos)	*/;4;0;477;i;FALSE
482;VPE1308;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com 4 anos)	*/;4;0;485;i;FALSE
490;VPE1309;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com 5 anos)	*/;4;0;493;i;FALSE
498;VPE1310;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com 6 anos)	*/;4;0;501;i;FALSE
506;VPE1311;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com 7 anos)	*/;4;0;509;i;FALSE
514;VPE1312;4.;/*	Matrícula Inicial no 2º Período do Pré-Escolar (com mais de 7 anos)	*/;4;0;517;i;FALSE
522;VPE1313;4.;/*	Matrícula Inicial no 3º Período do Pré-Escolar (com 4 anos)	*/;4;0;525;i;FALSE
530;VPE1314;4.;/*	Matrícula Inicial no 3º Período do Pré-Escolar (com 5 anos)	*/;4;0;533;i;FALSE
538;VPE1315;4.;/*	Matrícula Inicial no 3º Período do Pré-Escolar (com 6 anos)	*/;4;0;541;i;FALSE
546;VPE1316;4.;/*	Matrícula Inicial no 3º Período do Pré-Escolar (com 7 anos)	*/;4;0;549;i;FALSE
554;VPE1317;4.;/*	Matrícula Inicial no 3º Período do Pré-Escolar (com mais de 7 anos)	*/;4;0;557;i;FALSE
562;VPE1318;4.;/*	Matrícula Inicial de Repetentes no 3º Período do Pré-Escolar (com 5 anos)	*/;4;0;565;i;FALSE
570;VPE1319;4.;/*	Matrícula Inicial de Repetentes no 3º Período do Pré-Escolar (com 6 anos)	*/;4;0;573;i;FALSE
578;VPE1320;4.;/*	Matrícula Inicial de Repetentes no 3º Período do Pré-Escolar (com 7 anos)	*/;4;0;581;i;FALSE
586;VPE1321;5.;/*	Matrícula Inicial de Repetentes no 3º Período do Pré-Escolar (com mais de 7 anos)	*/;5;0;590;i;FALSE
594;VPE1401;5.;/*	Matrícula Final no 1º Período do Pré-Escolar	*/;5;0;598;i;FALSE
602;VPE1402;5.;/*	Matrícula Final no 2º Período do Pré-Escolar	*/;5;0;606;i;FALSE
610;VPE1403;5.;/*	Matrícula Final no 3º Período do Pré-Escolar	*/;5;0;614;i;FALSE
618;VEF2001;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (1º Grau Imcompleto)	*/;4;0;621;i;FALSE
626;VEF2002;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (1º Grau Completo)	*/;4;0;629;i;FALSE
634;VEF2003;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (Magistério Incompleto / 2º Grau)	*/;4;0;637;i;FALSE
642;VEF2004;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (Magistério Completo / 2º Grau)	*/;4;0;645;i;FALSE
650;VEF2005;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (Outra Formação Completa / 2º Grau)	*/;4;0;653;i;FALSE
658;VEF2006;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (Licenciatura Incompleta / 3º Grau)	*/;4;0;661;i;FALSE
666;VEF2007;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (Licenciatura Completa / 3º Grau)	*/;4;0;669;i;FALSE
674;VEF2008;4.;/*	Docentes de 1a. a 4a. Série no 1º Grau (3º Grau Completo sem Licenciatura)	*/;4;0;677;i;FALSE
682;VEF2009;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (1º Grau Imcompleto)	*/;4;0;685;i;FALSE
690;VEF2010;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (1º Grau Completo)	*/;4;0;693;i;FALSE
698;VEF2011;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (Magistério Incompleto / 2º Grau)	*/;4;0;701;i;FALSE
706;VEF2012;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (Magistério Completo / 2º Grau)	*/;4;0;709;i;FALSE
714;VEF2013;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (Outra Formação Completa / 2º Grau)	*/;4;0;717;i;FALSE
722;VEF2014;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (Licenciatura Incompleta / 3º Grau)	*/;4;0;725;i;FALSE
730;VEF2015;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (Licenciatura Completa / 3º Grau)	*/;4;0;733;i;FALSE
738;VEF2016;4.;/*	Docentes de 5a. a 8a. Série no 1º Grau (3º Grau Completo sem Licenciatura)	*/;4;0;741;i;FALSE
746;VEF2101;4.;/*	Matrícula Inicial na 1a. Série - 1º Turno (manhã)	*/;4;0;749;i;FALSE
754;VEF2102;4.;/*	Matrícula Inicial na 2a. Série - 1º Turno (manhã)	*/;4;0;757;i;FALSE
762;VEF2103;4.;/*	Matrícula Inicial na 3a. Série - 1º Turno (manhã)	*/;4;0;765;i;FALSE
770;VEF2104;4.;/*	Matrícula Inicial na 4a. Série - 1º Turno (manhã)	*/;4;0;773;i;FALSE
778;VEF2105;4.;/*	Matrícula Inicial na 5a. Série - 1º Turno (manhã)	*/;4;0;781;i;FALSE
