int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;8.;/*	Código da Escola	*/;8;0;8;i;FALSE
9;ANO;5.;/*	Mascara da Escola	*/;5;0;13;i;FALSE
14;CODMUNIC;$12.;/*	Ano do Censo Escolar	*/;12;0;25;c;TRUE
26;UF;$50.;/*	Código do Município	*/;50;0;75;c;TRUE
76;SIGLA;$2.;/*	Nome da Unidade Federativa	*/;2;0;77;c;TRUE
78;MUNIC;$50.;/*	Sigla da UF	*/;50;0;127;c;TRUE
128;DEP;$10.;/*	Nome do Município	*/;10;0;137;c;TRUE
138;LOC;$10.;/*	Dependência Administrativa	*/;10;0;147;c;TRUE
148;CODFUNC;$11.;/*	Localização / Zona da Escola	*/;11;0;158;c;TRUE
159;NIVELCRE;$1.;/*	Condição de Funcionamento	*/;1;0;159;c;TRUE
160;NIVELPRE;$1.;/*	Nivel/Modalidade de Ensino oferecido -  Educação Infantil - Creche	*/;1;0;160;c;TRUE
161;NIVELCA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação Infantil - Pré-Escola	*/;1;0;161;c;TRUE
162;NIV_F1A4_8;$1.;/*	Nivel/Modalidade de Ensino oferecido - Classe de Alfabetização	*/;1;0;162;c;TRUE
163;NIV_F5A8_8;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Fundamental em 8 anos- 1ª a 4ª série	*/;1;0;163;c;TRUE
164;NIVELMED;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Fundamental em 8 anos - 5ª a 8ª série	*/;1;0;164;c;TRUE
165;EDPROFIS;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Médio	*/;1;0;165;c;TRUE
166;SUPL_AVA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Médio - Profissionalizante	*/;1;0;166;c;TRUE
167;SUPL_SAVA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação de Jovens e Adultos - Curso Presencial	*/;1;0;167;c;TRUE
168;ESP_EXCL;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação de Jovens e Adultos - Curso Preparatório	*/;1;0;168;c;TRUE
169;ESP_T_ES;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Exclusivamente de Educação Especial	*/;1;0;169;c;TRUE
170;ESP_S_R;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola de Ensino Regular com Classe Especial	*/;1;0;170;c;TRUE
171;ESP_A_IN;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Inclusiva com apoio de Sala de Recursos	*/;1;0;171;c;TRUE
172;EDUC_INDIG;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Inclusiva sem apoio de Sala de Recursos	*/;1;0;172;c;TRUE
173;ED_IN_LM;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Educação indigina	*/;1;0;173;c;TRUE
174;ED_IN_LP;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Lingua em que o ensino é ministrado/Lingua Indigena	*/;1;0;174;c;TRUE
175;MAT_ETNI;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Lingua em que o ensino é ministrado/Lingua Portuguesa	*/;1;0;175;c;TRUE
176;PRED_ESC;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Educação indigena/Material didáticos especificos	*/;1;0;176;c;TRUE
177;TEMPLO;$1.;/*	Local de Funcionamento da Escola / Prédio escolar	*/;1;0;177;c;TRUE
178;EMPRESA;$1.;/*	Local de Funcionamento da Escola /Templo/Igreja	*/;1;0;178;c;TRUE
179;CAS_PROF;$1.;/*	Local de Funcionamento da Escola /Salas de empresas	*/;1;0;179;c;TRUE
180;OUTR_ESC;$1.;/*	Local de Funcionamento da Escola /Casa do professor	*/;1;0;180;c;TRUE
181;TERRAINDI;$1.;/*	Local de Funcionamento da Escola /Salas em outra escola	*/;1;0;181;c;TRUE
182;GALPAO;$1.;/*	Local de Funcionamento da Escola /Terra indígena	*/;1;0;182;c;TRUE
183;OUTR_INS;$1.;/*	Local de Funcionamento da Escola - galpão/rancho/paiol/barracão	*/;1;0;183;c;TRUE
184;PROP_FED;$1.;/*	Local de Funcionamento da Escola / Outros	*/;1;0;184;c;TRUE
185;PROP_EST;$1.;/*	Entidade Proprietária do Imóvel / Federal	*/;1;0;185;c;TRUE
186;PROP_MUN;$1.;/*	Entidade Proprietária do Imóvel / Estadual	*/;1;0;186;c;TRUE
187;PROP_PART;$1.;/*	Entidade Proprietária do Imóvel / Municipal	*/;1;0;187;c;TRUE
188;PROPRIO;$1.;/*	Entidade Proprietária do Imóvel / Particular	*/;1;0;188;c;TRUE
189;ALUGADO;$1.;/*	Forma de Ocupação do Prédio / Próprio	*/;1;0;189;c;TRUE
190;CEDIDO;$1.;/*	Forma de Ocupação do Prédio / Alugado	*/;1;0;190;c;TRUE
191;DIRETORI;$1.;/*	Forma de Ocupação do Prédio / Cedido	*/;1;0;191;c;TRUE
192;SECRETAR;$1.;/*	Dependencias Existentes  / Diretoria	*/;1;0;192;c;TRUE
193;SAL_DE_P;$1.;/*	Dependencias Existentes / Secretaria	*/;1;0;193;c;TRUE
194;BIBLIO;$1.;/*	Dependencias Existentes / Sala de Professores	*/;1;0;194;c;TRUE
195;VIDEOTEC;$1.;/*	Dependencias Existentes / Biblioteca	*/;1;0;195;c;TRUE
196;COZINHA;$1.;/*	Dependencias Existentes / Videoteca	*/;1;0;196;c;TRUE
197;LAB_INFO;$1.;/*	Dependencias Existentes / Cozinha	*/;1;0;197;c;TRUE
198;LAB_CIEN;$1.;/*	Dependencias Existentes / Llaboratório de informática	*/;1;0;198;c;TRUE
199;LAB_OUTR;$1.;/*	Dependencias Existentes / Llaboratório de ciencias	*/;1;0;199;c;TRUE
200;QUADRA;$1.;/*	Dependencias Existentes / Outros laboratórios/oficinas	*/;1;0;200;c;TRUE
201;DEP_ALIM;$1.;/*	Dependencias Existente / Qadras	*/;1;0;201;c;TRUE
202;SALTVVID;$1.;/*	Dependencias Existentes / Depósito de Alimentos	*/;1;0;202;c;TRUE
203;PATIO;$1.;/*	Dependencias Existentes / Videoteca	*/;1;0;203;c;TRUE
204;REFEITOR;$1.;/*	Dependencias Existentes  / Pátio Coberto	*/;1;0;204;c;TRUE
205;PARQ_INF;$1.;/*	Dependencias Existentes / Refeitório	*/;1;0;205;c;TRUE
206;DORMITOR;$1.;/*	Dependencias Existentes / Parque Infantil	*/;1;0;206;c;TRUE
207;BERCARIO;$1.;/*	Dependencias Existentes / Dormitório	*/;1;0;207;c;TRUE
208;SANI_FOR;$1.;/*	Dependencias Existentes / Berçário	*/;1;0;208;c;TRUE
