"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"ANO_CENSO";"7.";"";7;0;7;"i";FALSE
8;"PK_COD_ENTIDADE";"11.";"";11;0;18;"d";FALSE
19;"COD_ORGAO_REGIONAL_INEP";"$CHAR10.";"";10;0;28;"c";TRUE
29;"DESC_SITUACAO_FUNCIONAMENTO";"$CHAR15.";"";15;0;43;"c";TRUE
44;"DT_ANO_LETIVO_INICIO";"DATETIME20.";"";20;0;63;"d";FALSE
64;"DT_ANO_LETIVO_TERMINO";"DATETIME20.";"";20;0;83;"d";FALSE
84;"FK_COD_ESTADO";"5.";"";5;0;88;"i";FALSE
89;"SIGLA";"$CHAR2.";"";2;0;90;"c";TRUE
91;"FK_COD_MUNICIPIO";"15.";"";15;0;105;"d";FALSE
106;"ID_DEPENDENCIA_ADM";"$CHAR1.";"";1;0;106;"c";TRUE
107;"ID_LOCALIZACAO";"$CHAR1.";"";1;0;107;"c";TRUE
108;"DESC_CATEGORIA_ESCOLA_PRIVADA";"$CHAR1.";"";1;0;108;"c";TRUE
109;"ID_CONVENIADA_PP";"$CHAR1.";"";1;0;109;"c";TRUE
110;"ID_TIPO_CONVENIO_PODER_PUBLICO";"$CHAR8.";"";8;0;117;"c";TRUE
118;"ID_MANT_ESCOLA_PRIVADA_EMP";"$CHAR1.";"";1;0;118;"c";TRUE
119;"ID_MANT_ESCOLA_PRIVADA_ONG";"$CHAR1.";"";1;0;119;"c";TRUE
120;"ID_MANT_ESCOLA_PRIVADA_SIND";"$CHAR1.";"";1;0;120;"c";TRUE
121;"ID_MANT_ESCOLA_PRIVADA_APAE";"$CHAR1.";"";1;0;121;"c";TRUE
122;"ID_DOCUMENTO_REGULAMENTACAO";"$CHAR1.";"";1;0;122;"c";TRUE
123;"ID_LOCAL_FUNC_PREDIO_ESCOLAR";"$CHAR1.";"";1;0;123;"c";TRUE
124;"ID_LOCAL_FUNC_SALAS_EMPRESA";"$CHAR1.";"";1;0;124;"c";TRUE
125;"ID_ESCOLA_COMP_PREDIO";"$CHAR1.";"";1;0;125;"c";TRUE
126;"ID_LOCAL_FUNC_PRISIONAL";"$CHAR1.";"";1;0;126;"c";TRUE
127;"ID_LOCAL_FUNC_TEMPLO_IGREJA";"$CHAR1.";"";1;0;127;"c";TRUE
128;"ID_LOCAL_FUNC_CASA_PROFESSOR";"$CHAR1.";"";1;0;128;"c";TRUE
129;"ID_LOCAL_FUNC_GALPAO";"$CHAR1.";"";1;0;129;"c";TRUE
130;"ID_LOCAL_FUNC_OUTROS";"$CHAR1.";"";1;0;130;"c";TRUE
131;"ID_LOCAL_FUNC_SALAS_OUTRA_ESC";"$CHAR1.";"";1;0;131;"c";TRUE
132;"ID_AGUA_FILTRADA";"$CHAR1.";"";1;0;132;"c";TRUE
133;"ID_AGUA_REDE_PUBLICA";"$CHAR1.";"";1;0;133;"c";TRUE
134;"ID_AGUA_POCO_ARTESIANO";"$CHAR1.";"";1;0;134;"c";TRUE
135;"ID_AGUA_CACIMBA";"$CHAR1.";"";1;0;135;"c";TRUE
136;"ID_AGUA_FONTE_RIO";"$CHAR1.";"";1;0;136;"c";TRUE
137;"ID_AGUA_INEXISTENTE";"$CHAR1.";"";1;0;137;"c";TRUE
138;"ID_ENERGIA_REDE_PUBLICA";"$CHAR1.";"";1;0;138;"c";TRUE
139;"ID_ENERGIA_GERADOR";"$CHAR1.";"";1;0;139;"c";TRUE
140;"ID_ENERGIA_OUTROS";"$CHAR1.";"";1;0;140;"c";TRUE
141;"ID_ENERGIA_INEXISTENTE";"$CHAR1.";"";1;0;141;"c";TRUE
142;"ID_ESGOTO_REDE_PUBLICA";"$CHAR1.";"";1;0;142;"c";TRUE
143;"ID_ESGOTO_FOSSA";"$CHAR1.";"";1;0;143;"c";TRUE
144;"ID_ESGOTO_INEXISTENTE";"$CHAR1.";"";1;0;144;"c";TRUE
145;"ID_LIXO_COLETA_PERIODICA";"$CHAR1.";"";1;0;145;"c";TRUE
146;"ID_LIXO_QUEIMA";"$CHAR1.";"";1;0;146;"c";TRUE
147;"ID_LIXO_JOGA_OUTRA_AREA";"$CHAR1.";"";1;0;147;"c";TRUE
148;"ID_LIXO_RECICLA";"$CHAR1.";"";1;0;148;"c";TRUE
149;"ID_LIXO_ENTERRA";"$CHAR1.";"";1;0;149;"c";TRUE
150;"ID_LIXO_OUTROS";"$CHAR1.";"";1;0;150;"c";TRUE
151;"ID_SALA_DIRETORIA";"$CHAR1.";"";1;0;151;"c";TRUE
152;"ID_SALA_PROFESSOR";"$CHAR1.";"";1;0;152;"c";TRUE
153;"ID_LABORATORIO_INFORMATICA";"$CHAR1.";"";1;0;153;"c";TRUE
