"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"MASCARA";"$10.";"";10;0;10;"c";TRUE
11;"NU_ANO";"5.";"";5;0;15;"i";FALSE
19;"CO_IBGE";"$14.";"";14;0;32;"c";TRUE
33;"UF";"$50.";"";50;0;82;"c";TRUE
83;"SIGLA";"$2.";"";2;0;84;"c";TRUE
85;"MUNIC";"$50.";"";50;0;134;"c";TRUE
135;"DEP";"$10.";"";10;0;144;"c";TRUE
145;"LOC";"$10.";"";10;0;154;"c";TRUE
155;"CODFUNC";"$11.";"";11;0;165;"c";TRUE
166;"NIVELPRE";"$1.";"";1;0;166;"c";TRUE
167;"NIV_1GRAU";"$1.";"";1;0;167;"c";TRUE
168;"NIV_2GRAU";"$1.";"";1;0;168;"c";TRUE
169;"ENSSUPLET";"$1.";"";1;0;169;"c";TRUE
170;"CO_MODALIDADE";"$2.";"";2;0;171;"c";TRUE
172;"DS_MODALID";"$30.";"";30;0;201;"c";TRUE
202;"VDE101";"5.";"";5;0;206;"i";FALSE
210;"VDE102";"5.";"";5;0;214;"i";FALSE
218;"VDE103";"3.";"";3;0;220;"i";FALSE
226;"VDE104";"3.";"";3;0;228;"i";FALSE
234;"VDE105";"3.";"";3;0;236;"i";FALSE
242;"VDE106";"3.";"";3;0;244;"i";FALSE
250;"VDE107";"3.";"";3;0;252;"i";FALSE
258;"VDE108";"5.";"";5;0;262;"i";FALSE
266;"VDE109";"$1.";"";1;0;266;"c";TRUE
