"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"MASCARA";"8.";"";8;0;8;"i";FALSE
9;"ANO";"8.";"";8;0;16;"i";FALSE
17;"CODMUNIC";"$12.";"";12;0;28;"c";TRUE
29;"UF";"$50.";"";50;0;78;"c";TRUE
79;"SIGLA";"$2.";"";2;0;80;"c";TRUE
81;"MUNIC";"$50.";"";50;0;130;"c";TRUE
131;"DEP";"$10.";"";10;0;140;"c";TRUE
141;"LOC";"$10.";"";10;0;150;"c";TRUE
151;"CODFUNC";"$11.";"";11;0;161;"c";TRUE
162;"CODCURSO";"$10.";"";10;0;171;"c";TRUE
172;"NOMECUR";"$100.";"";100;0;271;"c";TRUE
272;"EM1111";"7.";"";7;0;278;"i";FALSE
280;"EM1112";"7.";"";7;0;286;"i";FALSE
288;"EM1113";"7.";"";7;0;294;"i";FALSE
296;"EM1114";"7.";"";7;0;302;"i";FALSE
304;"EM1115";"7.";"";7;0;310;"i";FALSE
