int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;17.;/*	Mascara da Escola	*/;17;0;17;d;FALSE
18;ANO;4.;/*	Ano do Censo Escolar	*/;4;0;21;i;FALSE
22;CODMUNIC;$CHAR12.;/*	Código do Município	*/;12;0;33;c;TRUE
34;UF;$CHAR50.;/* 	Nome da Unidade da Federação	*/;50;0;83;c;TRUE
84;SIGLA;$CHAR2.;/*	Sigla da UF	*/;2;0;85;c;TRUE
86;MUNIC;$CHAR50.;/*	Nome do Município	*/;50;0;135;c;TRUE
136;DEP;$CHAR10.;/*	Dependência Administrativa	*/;10;0;145;c;TRUE
146;LOC;$CHAR10.;/*	Localização/Zona da Escola	*/;10;0;155;c;TRUE
156;CODFUNC;$CHAR11.;/*	Condição de Funcionamento	*/;11;0;166;c;TRUE
167;IEI00001;6.1;/*	Número Médio de Horas-Aula Diária na Creche 	*/;6;1;172;d;FALSE
173;IEI00002;6.1;/*	Número Médio de Horas-Aula Diária na Pré-Escola 	*/;6;1;178;d;FALSE
179;IEI00003;6.1;/*	Percentual de Alunos no Turno Noturno na Creche	*/;6;1;184;d;FALSE
185;IEI00004;6.1;/*	Percentual de Alunos no Turno Noturno na Pré-Escola	*/;6;1;190;d;FALSE
191;IEI00005;6.1;/*	Número Médio de Alunos por Turma na Creche	*/;6;1;196;d;FALSE
197;IEI00006;6.1;/*	Número Médio de Alunos por Turma na Pré-Escola	*/;6;1;202;d;FALSE
203;IEI00007;6.1;/*	Percentual de Matrículas do Sexo Feminino na Creche	*/;6;1;208;d;FALSE
209;IEI00008;6.1;/*	Percentual de Matrículas do Sexo Feminino na Pré-Escola	*/;6;1;214;d;FALSE
215;IEI00009;6.1;/*	Idade Mediana que o Aluno Completa no Ano na Creche 	*/;6;1;220;d;FALSE
221;IEI00010;6.1;/*	Idade Mediana que o Aluno Completa no Ano na Pré-Escola 	*/;6;1;226;d;FALSE
227;IEI00011;6.1;/*	Percentual de Docentes com Curso Superior na Creche	*/;6;1;232;d;FALSE
233;IEI00012;6.1;/*	Percentual de Docentes com Curso Superior na Pré-Escola	*/;6;1;238;d;FALSE
