"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"MASCARA";"8.";"";8;0;8;"i";FALSE
9;"ANO";"5.";"";5;0;13;"i";FALSE
14;"CODMUNIC";"$CHAR12.";"";12;0;25;"c";TRUE
26;"UF";"$CHAR50.";"";50;0;75;"c";TRUE
76;"SIGLA";"$CHAR2.";"";2;0;77;"c";TRUE
78;"MUNIC";"$CHAR50.";"";50;0;127;"c";TRUE
128;"DEP";"$CHAR10.";"";10;0;137;"c";TRUE
138;"LOC";"$CHAR10.";"";10;0;147;"c";TRUE
148;"CODFUNC";"$CHAR11.";"";11;0;158;"c";TRUE
159;"IEI00001";"6.1";"";6;1;164;"d";FALSE
165;"IEI00002";"6.1";"";6;1;170;"d";FALSE
171;"IEI00003";"6.1";"";6;1;176;"d";FALSE
177;"IEI00004";"6.1";"";6;1;182;"d";FALSE
183;"IEI00005";"6.1";"";6;1;188;"d";FALSE
189;"IEI00006";"6.1";"";6;1;194;"d";FALSE
195;"IEI00007";"6.1";"";6;1;200;"d";FALSE
201;"IEI00008";"6.1";"";6;1;206;"d";FALSE
207;"IEI00009";"6.1";"";6;1;212;"d";FALSE
213;"IEI00010";"6.1";"";6;1;218;"d";FALSE
219;"IEI00011";"6.1";"";6;1;224;"d";FALSE
225;"IEI00012";"6.1";"";6;1;230;"d";FALSE
231;"ICA00001";"6.1";"";6;1;236;"d";FALSE
237;"ICA00002";"6.1";"";6;1;242;"d";FALSE
243;"ICA00003";"6.1";"";6;1;248;"d";FALSE
249;"ICA00004";"6.1";"";6;1;254;"d";FALSE
255;"ICA00005";"6.1";"";6;1;260;"d";FALSE
261;"ICA00006";"6.1";"";6;1;266;"d";FALSE
267;"IEF00001";"6.1";"";6;1;272;"d";FALSE
273;"IEF00002";"6.1";"";6;1;278;"d";FALSE
279;"IEF00003";"6.1";"";6;1;284;"d";FALSE
285;"IEF00004";"6.1";"";6;1;290;"d";FALSE
291;"IEF00005";"6.1";"";6;1;296;"d";FALSE
297;"IEF00006";"6.1";"";6;1;302;"d";FALSE
303;"IEF00007";"6.1";"";6;1;308;"d";FALSE
309;"IEF00008";"6.1";"";6;1;314;"d";FALSE
315;"IEF00009";"6.1";"";6;1;320;"d";FALSE
321;"IEF00010";"6.1";"";6;1;326;"d";FALSE
