int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO_CENSO;5.;/*Ano do Censo*/;5;0;5;i;FALSE
6;PK_COD_MATRICULA;13.;/*Código da matrícula*/;13;0;18;d;FALSE
19;FK_COD_ALUNO;14.;/*Código do aluno (ID_INEP)*/;14;0;32;d;FALSE
33;NU_DIA;3.;/*Data de nascimento - dia*/;3;0;35;i;FALSE
36;NU_MES;3.;/*Data de nascimento - mês*/;3;0;38;i;FALSE
39;NU_ANO;5.;/*Data de nascimento - ano*/;5;0;43;i;FALSE
44;NUM_IDADE;5.;/*Idade1*/;5;0;48;i;FALSE
49;TP_SEXO;$Char1.;/*Sexo*/;1;0;49;c;TRUE
50;TP_COR_RACA;$Char1.;/*Cor/raça*/;1;0;50;c;TRUE
51;TP_NACIONALIDADE;$Char1.;/*Nacionalidade*/;1;0;51;c;TRUE
52;FK_COD_PAIS_ORIGEM;4.;/*Código País de origem*/;4;0;55;i;FALSE
56;FK_COD_ESTADO_NASC;3.;/*Código UF de nascimento*/;3;0;58;i;FALSE
59;SGL_UF_NASCIMENTO;$Char2.;/*Sigla da UF de nascimento*/;2;0;60;c;TRUE
61;FK_COD_MUNICIPIO_DNASC;8.;/*Código Município de nascimento*/;8;0;68;i;FALSE
69;FK_COD_ESTADO_END;3.;/*Código UF de residência*/;3;0;71;i;FALSE
72;SIGLA_END;$2.;/*Sigla UF de residência*/;2;0;73;c;TRUE
74;FK_COD_MUNICIPIO_END;8.;/*Código Município de residência*/;8;0;81;i;FALSE
82;ID_ZONA_RESIDENCIAL;$Char1.;/*Localização/Zona de residência*/;1;0;82;c;TRUE
83;ID_TIPO_ATENDIMENTO;$Char1.;/*Atendimento escolar diferenciado*/;1;0;83;c;TRUE
84;ID_N_T_E_P;$Char1.;/*Transporte escolar público*/;1;0;84;c;TRUE
85;ID_RESPONSAVEL_TRANSPORTE;$Char1.;/*Poder público responsável pelo transporte escolar*/;1;0;85;c;TRUE
86;ID_POSSUI_NEC_ESPECIAL;$Char1.;/*Necessidades educacionais especiais*/;1;0;86;c;TRUE
87;ID_TIPO_NEC_ESP_CEGUEIRA;$Char1.;/*Tipo de necessidade educacional especial (cegueira)*/;1;0;87;c;TRUE
88;ID_TIPO_NEC_ESP_BAIXA_VISAO;$Char1.;/*Tipo de necessidade educacional especial (baixa visão)*/;1;0;88;c;TRUE
89;ID_TIPO_NEC_ESP_SURDEZ;$Char1.;/*Tipo de necessidade educacional especial (surdez)*/;1;0;89;c;TRUE
90;ID_TIPO_NEC_ESP_DEF_AUDITIVA;$Char1.;/*Tipo de necessidade educacional especial (deficiência auditiva)*/;1;0;90;c;TRUE
91;ID_TIPO_NEC_ESP_SURDO_CEGUEIRA;$Char1.;/*Tipo de necessidade educacional especial (surdocegueira)*/;1;0;91;c;TRUE
