"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"ANO_CENSO";"5.";"";5;0;5;"i";FALSE
6;"PK_COD_TURMA";"11.";"";11;0;16;"d";FALSE
17;"NO_TURMA";"$Char80.";"";80;0;96;"c";TRUE
97;"HR_INICIAL";"$Char2.";"";2;0;98;"c";TRUE
99;"HR_INICIAL_MINUTO";"$Char2.";"";2;0;100;"c";TRUE
101;"NU_DURACAO_TURMA";"4.";"";4;0;104;"i";FALSE
105;"NUM_MATRICULAS";"5.";"";5;0;109;"i";FALSE
110;"FK_COD_MOD_ENSINO";"3.";"";3;0;112;"i";FALSE
113;"FK_COD_ETAPA_ENSINO";"4.";"";4;0;116;"i";FALSE
117;"FK_COD_CURSO_PROF";"9.";"";9;0;125;"i";FALSE
126;"FK_COD_TIPO_TURMA";"3.";"";3;0;128;"i";FALSE
129;"ID_VEZ_ATIVIDADE_COMPLEMENTAR";"2.";"";2;0;130;"i";FALSE
131;"FK_COD_TIPO_ATIVIDADE_1";"6.";"";6;0;136;"i";FALSE
137;"FK_COD_TIPO_ATIVIDADE_2";"6.";"";6;0;142;"i";FALSE
143;"FK_COD_TIPO_ATIVIDADE_3";"6.";"";6;0;148;"i";FALSE
149;"FK_COD_TIPO_ATIVIDADE_4";"6.";"";6;0;154;"i";FALSE
155;"FK_COD_TIPO_ATIVIDADE_5";"6.";"";6;0;160;"i";FALSE
161;"FK_COD_TIPO_ATIVIDADE_6";"6.";"";6;0;166;"i";FALSE
167;"ID_BRAILLE";"$Char1.";"";1;0;167;"c";TRUE
168;"ID_AUTONOMA";"$Char1.";"";1;0;168;"c";TRUE
169;"ID_RECURSOS_BAIXA_VISAO";"$Char1.";"";1;0;169;"c";TRUE
170;"ID_PROCESSOS_MENTAIS";"$Char1.";"";1;0;170;"c";TRUE
171;"ID_ORIENTACAO_MOBILIDADE";"$Char1.";"";1;0;171;"c";TRUE
172;"ID_SINAIS";"$Char1.";"";1;0;172;"c";TRUE
173;"ID_COM_ALT_AUMENT";"$Char1.";"";1;0;173;"c";TRUE
174;"ID_ENRIQ_CURRICULAR";"$Char1.";"";1;0;174;"c";TRUE
175;"ID_SOROBAN";"$Char1.";"";1;0;175;"c";TRUE
176;"ID_INF_ACESSIVEL";"$Char1.";"";1;0;176;"c";TRUE
177;"ID_PORT_ESC";"$Char1.";"";1;0;177;"c";TRUE
178;"ID_QUIMICA";"$Char1.";"";1;0;178;"c";TRUE
179;"ID_FISICA";"$Char1.";"";1;0;179;"c";TRUE
180;"ID_MATEMATICA";"$Char1.";"";1;0;180;"c";TRUE
181;"ID_BIOLOGIA";"$Char1.";"";1;0;181;"c";TRUE
182;"ID_CIENCIAS";"$Char1.";"";1;0;182;"c";TRUE
183;"ID_LINGUA_LITERAT_PORTUGUESA";"$Char1.";"";1;0;183;"c";TRUE
184;"ID_LINGUA_LITERAT_INGLES";"$Char1.";"";1;0;184;"c";TRUE
185;"ID_LINGUA_LITERAT_ESPANHOL";"$Char1.";"";1;0;185;"c";TRUE
186;"ID_LINGUA_LITERAT_OUTRA";"$Char1.";"";1;0;186;"c";TRUE
187;"ID_LINGUA_LITERAT_INDIGENA";"$Char1.";"";1;0;187;"c";TRUE
188;"ID_ARTES";"$Char1.";"";1;0;188;"c";TRUE
189;"ID_EDUCACAO_FISICA";"$Char1.";"";1;0;189;"c";TRUE
190;"ID_HISTORIA";"$Char1.";"";1;0;190;"c";TRUE
191;"ID_GEOGRAFIA";"$Char1.";"";1;0;191;"c";TRUE
192;"ID_FILOSOFIA";"$Char1.";"";1;0;192;"c";TRUE
193;"ID_ENSINO_RELIGIOSO";"$Char1.";"";1;0;193;"c";TRUE
194;"ID_ESTUDOS_SOCIAIS";"$Char1.";"";1;0;194;"c";TRUE
195;"ID_INFORMATICA_COMPUTACAO";"$Char1.";"";1;0;195;"c";TRUE
196;"ID_PROFISSIONALIZANTE";"$Char1.";"";1;0;196;"c";TRUE
197;"ID_DISC_ATENDIMENTO_ESPECIAIS";"$Char1.";"";1;0;197;"c";TRUE
198;"ID_DISC_DIVERSIDADE_SOCIO_CULT";"$Char1.";"";1;0;198;"c";TRUE
199;"ID_LIBRAS";"$Char1.";"";1;0;199;"c";TRUE
200;"ID_DISCIPLINAS_PEDAG";"$Char1.";"";1;0;200;"c";TRUE
201;"ID_OUTRAS_DISCIPLINAS";"$Char1.";"";1;0;201;"c";TRUE
202;"PK_COD_ENTIDADE";"9.";"";9;0;210;"i";FALSE
211;"FK_COD_ESTADO";"3.";"";3;0;213;"i";FALSE
214;"SIGLA";"$Char2.";"";2;0;215;"c";TRUE
216;"FK_COD_MUNICIPIO";"8.";"";8;0;223;"i";FALSE
224;"ID_LOCALIZACAO";"$Char1.";"";1;0;224;"c";TRUE
225;"ID_DEPENDENCIA_ADM";"$Char1.";"";1;0;225;"c";TRUE
226;"DESC_CATEGORIA_ESCOLA_PRIVADA";"$Char1.";"";1;0;226;"c";TRUE
227;"ID_CONVENIADA_PP";"$Char1.";"";1;0;227;"c";TRUE
228;"ID_TIPO_CONVENIO_PODER_PUBLICO";"2.";"";2;0;229;"i";FALSE
230;"ID_MANT_ESCOLA_PRIVADA_EMP";"$Char1.";"";1;0;230;"c";TRUE
231;"ID_MANT_ESCOLA_PRIVADA_ONG";"$Char1.";"";1;0;231;"c";TRUE
232;"ID_MANT_ESCOLA_PRIVADA_SIND";"$Char1.";"";1;0;232;"c";TRUE
233;"ID_MANT_ESCOLA_PRIVADA_S_FINS";"$Char1.";"";1;0;233;"c";TRUE
234;"ID_DOCUMENTO_REGULAMENTACAO";"$Char1.";"";1;0;234;"c";TRUE
235;"ID_LOCALIZACAO_DIFERENCIADA";"$Char1.";"";1;0;235;"c";TRUE
236;"ID_EDUCACAO_INDIGENA";"$Char1.";"";1;0;236;"c";TRUE
