"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"NU_INSCRICAO";"12.";"";12;0;12;"d";FALSE
13;"IN_QSE";"1.";"";1;0;13;"i";FALSE
14;"Q01";"$Char1.";"";1;0;14;"c";TRUE
15;"Q02";"$Char1.";"";1;0;15;"c";TRUE
16;"Q03";"$Char1.";"";1;0;16;"c";TRUE
17;"Q04";"$Char1.";"";1;0;17;"c";TRUE
18;"Q05";"$Char1.";"";1;0;18;"c";TRUE
19;"Q06";"$Char1.";"";1;0;19;"c";TRUE
20;"Q07";"$Char1.";"";1;0;20;"c";TRUE
21;"Q08";"$Char1.";"";1;0;21;"c";TRUE
22;"Q09";"$Char1.";"";1;0;22;"c";TRUE
23;"Q10";"$Char1.";"";1;0;23;"c";TRUE
24;"Q11";"$Char1.";"";1;0;24;"c";TRUE
25;"Q12";"$Char1.";"";1;0;25;"c";TRUE
26;"Q13";"$Char1.";"";1;0;26;"c";TRUE
27;"Q14";"$Char1.";"";1;0;27;"c";TRUE
28;"Q15";"$Char1.";"";1;0;28;"c";TRUE
29;"Q16";"$Char1.";"";1;0;29;"c";TRUE
30;"Q17";"$Char1.";"";1;0;30;"c";TRUE
31;"Q18";"$Char1.";"";1;0;31;"c";TRUE
32;"Q19";"$Char1.";"";1;0;32;"c";TRUE
33;"Q20";"$Char1.";"";1;0;33;"c";TRUE
34;"Q21";"$Char1.";"";1;0;34;"c";TRUE
35;"Q22";"$Char1.";"";1;0;35;"c";TRUE
36;"Q23";"$Char1.";"";1;0;36;"c";TRUE
37;"Q24";"$Char1.";"";1;0;37;"c";TRUE
38;"Q25";"$Char1.";"";1;0;38;"c";TRUE
39;"Q26";"$Char1.";"";1;0;39;"c";TRUE
40;"Q27";"$Char1.";"";1;0;40;"c";TRUE
41;"Q28";"$Char1.";"";1;0;41;"c";TRUE
42;"Q29";"$Char1.";"";1;0;42;"c";TRUE
43;"Q30";"$Char1.";"";1;0;43;"c";TRUE
44;"Q31";"$Char1.";"";1;0;44;"c";TRUE
45;"Q32";"$Char1.";"";1;0;45;"c";TRUE
46;"Q33";"$Char1.";"";1;0;46;"c";TRUE
47;"Q34";"$Char1.";"";1;0;47;"c";TRUE
48;"Q35";"$Char1.";"";1;0;48;"c";TRUE
49;"Q36";"$Char1.";"";1;0;49;"c";TRUE
50;"Q37";"$Char1.";"";1;0;50;"c";TRUE
51;"Q38";"$Char1.";"";1;0;51;"c";TRUE
52;"Q39";"$Char1.";"";1;0;52;"c";TRUE
53;"Q40";"$Char1.";"";1;0;53;"c";TRUE
54;"Q41";"$Char1.";"";1;0;54;"c";TRUE
55;"Q42";"$Char1.";"";1;0;55;"c";TRUE
56;"Q43";"$Char1.";"";1;0;56;"c";TRUE
57;"Q44";"$Char1.";"";1;0;57;"c";TRUE
58;"Q45";"$Char1.";"";1;0;58;"c";TRUE
59;"Q46";"$Char1.";"";1;0;59;"c";TRUE
60;"Q47";"$Char1.";"";1;0;60;"c";TRUE
61;"Q48";"$Char1.";"";1;0;61;"c";TRUE
62;"Q49";"$Char1.";"";1;0;62;"c";TRUE
63;"Q50";"$Char1.";"";1;0;63;"c";TRUE
64;"Q51";"$Char1.";"";1;0;64;"c";TRUE
65;"Q52";"$Char1.";"";1;0;65;"c";TRUE
66;"Q53";"$Char1.";"";1;0;66;"c";TRUE
67;"Q54";"$Char1.";"";1;0;67;"c";TRUE
68;"Q55";"$Char1.";"";1;0;68;"c";TRUE
69;"Q56";"$Char1.";"";1;0;69;"c";TRUE
70;"Q57";"$Char1.";"";1;0;70;"c";TRUE
