"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V035";"2.";"";2;0;2;"i";FALSE
3;"V040";"8.";"";8;0;10;"i";FALSE
11;"V050";"5.";"";5;0;15;"i";FALSE
16;"V055";"1.";"";1;0;16;"i";FALSE
17;"V060";"$1.";"";1;0;17;"c";TRUE
18;"V063";"1.";"";1;0;18;"i";FALSE
19;"V070";"2.";"";2;0;20;"i";FALSE
21;"V075";"4.";"";4;0;24;"i";FALSE
25;"V072";"1.";"";1;0;25;"i";FALSE
26;"V104";"1.";"";1;0;26;"i";FALSE
27;"V105";"1.";"";1;0;27;"i";FALSE
28;"V106";"3.";"";3;0;30;"i";FALSE
31;"V107";"13.11";"";13;11;43;"d";FALSE
44;"V108";"15.6";"";15;6;58;"d";FALSE
59;"V109";"4.";"";4;0;62;"i";FALSE
63;"V110";"6.";"";6;0;68;"i";FALSE
69;"V111";"4.";"";4;0;72;"i";FALSE
73;"V112";"6.";"";6;0;78;"i";FALSE
79;"V113";"5.";"";5;0;83;"i";FALSE
84;"V114";"9.";"";9;0;92;"i";FALSE
93;"V115";"9.2";"";9;2;101;"d";FALSE
102;"V201";"2.";"";2;0;103;"i";FALSE
104;"V203";"1.";"";1;0;104;"i";FALSE
105;"V204";"2.";"";2;0;106;"i";FALSE
107;"V214";"2.";"";2;0;108;"i";FALSE
109;"V224";"4.";"";4;0;112;"i";FALSE
113;"V234";"4.";"";4;0;116;"i";FALSE
117;"V205";"1.";"";1;0;117;"i";FALSE
118;"V206";"1.";"";1;0;118;"i";FALSE
119;"V207";"1.";"";1;0;119;"i";FALSE
120;"V208";"1.";"";1;0;120;"i";FALSE
121;"V209";"2.";"";2;0;122;"i";FALSE
123;"V210";"2.";"";2;0;124;"i";FALSE
125;"V211";"7.1";"";7;1;131;"d";FALSE
132;"V215";"7.1";"";7;1;138;"d";FALSE
139;"V218";"10.";"";10;0;148;"d";FALSE
149;"V301";"1.";"";1;0;149;"i";FALSE
150;"V302";"1.";"";1;0;150;"i";FALSE
151;"V303";"2.";"";2;0;152;"i";FALSE
153;"V304";"1.";"";1;0;153;"i";FALSE
154;"V305";"1.";"";1;0;154;"i";FALSE
155;"V306";"1.";"";1;0;155;"i";FALSE
156;"V307";"2.";"";2;0;157;"i";FALSE
158;"V308";"1.";"";1;0;158;"i";FALSE
159;"V309";"1.";"";1;0;159;"i";FALSE
160;"V310";"1.";"";1;0;160;"i";FALSE
161;"V311";"1.";"";1;0;161;"i";FALSE
162;"V312";"1.";"";1;0;162;"i";FALSE
163;"V313";"1.";"";1;0;163;"i";FALSE
164;"V314";"1.";"";1;0;164;"i";FALSE
165;"V401";"1.";"";1;0;165;"i";FALSE
166;"V402";"1.";"";1;0;166;"i";FALSE
167;"V403";"1.";"";1;0;167;"i";FALSE
168;"V404";"2.";"";2;0;169;"i";FALSE
170;"V405";"1.";"";1;0;170;"i";FALSE
171;"V4051";"2.";"";2;0;172;"i";FALSE
173;"V4052";"2.";"";2;0;174;"i";FALSE
175;"V4053";"2.";"";2;0;176;"i";FALSE
177;"V4054";"2.";"";2;0;178;"i";FALSE
179;"V406";"1.";"";1;0;179;"i";FALSE
180;"V407A";"3.";"";3;0;182;"i";FALSE
183;"V408A";"2.";"";2;0;184;"i";FALSE
185;"V409";"1.";"";1;0;185;"i";FALSE
186;"V410";"1.";"";1;0;186;"i";FALSE
187;"V411";"1.";"";1;0;187;"i";FALSE
188;"V412";"1.";"";1;0;188;"i";FALSE
189;"V4121";"1.";"";1;0;189;"i";FALSE
190;"V4122";"2.";"";2;0;191;"i";FALSE
192;"V413";"1.";"";1;0;192;"i";FALSE
193;"V414";"1.";"";1;0;193;"i";FALSE
194;"V415";"1.";"";1;0;194;"i";FALSE
195;"V416";"1.";"";1;0;195;"i";FALSE
196;"V417";"1.";"";1;0;196;"i";FALSE
197;"V418";"1.";"";1;0;197;"i";FALSE
198;"V4182";"9.";"";9;0;206;"i";FALSE
207;"VI4182";"9.";"";9;0;215;"i";FALSE
216;"V4191";"9.";"";9;0;224;"i";FALSE
225;"VI4191";"9.";"";9;0;233;"i";FALSE
234;"V420";"1.";"";1;0;234;"i";FALSE
235;"V421";"1.";"";1;0;235;"i";FALSE
236;"V422";"1.";"";1;0;236;"i";FALSE
237;"V4221";"1.";"";1;0;237;"i";FALSE
238;"V4222";"2.";"";2;0;239;"i";FALSE
240;"V4231";"9.";"";9;0;248;"i";FALSE
249;"VI4231";"9.";"";9;0;257;"i";FALSE
258;"V4241";"9.";"";9;0;266;"i";FALSE
267;"VI4241";"9.";"";9;0;275;"i";FALSE
