"";"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
"1";1;"V0101";"$CHAR2.";"";2;0;2;"c";TRUE
"2";3;"UF";"$CHAR2.";"";2;0;4;"c";TRUE
"3";5;"CONTROL";"$CHAR6.";"";6;0;10;"c";TRUE
"4";11;"V0103";"$CHAR3.";"";3;0;13;"c";TRUE
"5";14;"V0301";"$CHAR2.";"";2;0;15;"c";TRUE
"6";16;"V0302";"$CHAR1.";"";1;0;16;"c";TRUE
"7";17;"V3031";"$CHAR2.";"";2;0;18;"c";TRUE
"8";19;"V3032";"$CHAR2.";"";2;0;20;"c";TRUE
"9";21;"V3033";"$CHAR3.";"";3;0;23;"c";TRUE
"10";24;"V8005";"$CHAR3.";"";3;0;26;"c";TRUE
"11";27;"V0401";"$CHAR1.";"";1;0;27;"c";TRUE
"12";28;"V0402";"$CHAR1.";"";1;0;28;"c";TRUE
"13";29;"V0403";"$CHAR1.";"";1;0;29;"c";TRUE
"14";30;"V0404";"$CHAR1.";"";1;0;30;"c";TRUE
"15";31;"V0405";"$CHAR1.";"";1;0;31;"c";TRUE
"16";32;"V0406";"$CHAR1.";"";1;0;32;"c";TRUE
"17";33;"V0407";"$CHAR2.";"";2;0;34;"c";TRUE
"18";35;"V0501";"$CHAR1.";"";1;0;35;"c";TRUE
"19";36;"V0502";"$CHAR1.";"";1;0;36;"c";TRUE
"20";37;"V5030";"$CHAR2.";"";2;0;38;"c";TRUE
"21";39;"V0503";"$CHAR28.";"";28;0;66;"c";TRUE
"22";67;"V0504";"$CHAR1.";"";1;0;67;"c";TRUE
"23";68;"V0505";"$CHAR1.";"";1;0;68;"c";TRUE
"24";69;"V5061";"$CHAR1.";"";1;0;69;"c";TRUE
"25";70;"V5062";"$CHAR1.";"";1;0;70;"c";TRUE
"26";71;"V5063";"$CHAR1.";"";1;0;71;"c";TRUE
"27";72;"V5064";"$CHAR1.";"";1;0;72;"c";TRUE
"28";73;"V5065";"$CHAR1.";"";1;0;73;"c";TRUE
"29";74;"V0507";"$CHAR1.";"";1;0;74;"c";TRUE
"30";75;"V5080";"$CHAR2.";"";2;0;76;"c";TRUE
"31";77;"V0508";"$CHAR28.";"";28;0;104;"c";TRUE
"32";105;"V5090";"$CHAR2.";"";2;0;106;"c";TRUE
"33";107;"V0509";"$CHAR28.";"";28;0;134;"c";TRUE
"34";135;"V0510";"$CHAR1.";"";1;0;135;"c";TRUE
"35";136;"V0511";"$CHAR1.";"";1;0;136;"c";TRUE
"36";137;"V5121";"$CHAR1.";"";1;0;137;"c";TRUE
"37";138;"V5122";"$CHAR1.";"";1;0;138;"c";TRUE
"38";139;"V5123";"$CHAR1.";"";1;0;139;"c";TRUE
"39";140;"V5124";"$CHAR1.";"";1;0;140;"c";TRUE
"40";141;"V5125";"$CHAR1.";"";1;0;141;"c";TRUE
"41";142;"V0601";"$CHAR1.";"";1;0;142;"c";TRUE
"42";143;"V0602";"$CHAR1.";"";1;0;143;"c";TRUE
