period;frequency;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_pessoas
2012.1;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_012012.zip;source;NA;Dicionario_e_input_20160524;PNADC_012012;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_012012.txt
2012.2;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_022012.zip;source;NA;Dicionario_e_input_20160524;PNADC_022012;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_022012.txt
2012.3;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_032012.zip;source;NA;Dicionario_e_input_20160524;PNADC_032012;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_032012.txt
2012.4;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_042012.zip;source;NA;Dicionario_e_input_20160524;PNADC_042012;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_042012.txt
2013.1;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_012013.zip;source;NA;Dicionario_e_input_20160524;PNADC_012013;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_012013.txt
2013.2;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_022013.zip;source;NA;Dicionario_e_input_20160524;PNADC_022013;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_022013.txt
2013.3;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_032013.zip;source;NA;Dicionario_e_input_20160524;PNADC_032013;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_032013.txt
2013.4;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_042013.zip;source;NA;Dicionario_e_input_20160524;PNADC_042013;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_042013.txt
2014.1;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_012014.zip;source;NA;Dicionario_e_input_20160524;PNADC_012014;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_012014.txt
2014.2;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_022014.zip;source;NA;Dicionario_e_input_20160524;PNADC_022014;NA;Input PNADC_1Tri_2012 a 3Tri_2015.txt&PNADC_022014.txt
