period;format;download_path;download_mode;missing_symbols;path;inputs_folder;data_folder;ft_domicilios;ft_pessoas
2001;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2001.zip;source;NA;PNAD_reponderado_2001/2001;Input;Dados;INPUT DOM2001.txt&DOM2001.txt;INPUT PES2001.txt&PES2001.txt
2002;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2002.zip;source;NA;PNAD_reponderado_2002/2002;Input;Dados;INPUT DOM2002.txt&DOM2002.txt;INPUT PES2002.txt&PES2002.txt
2003;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2003_20150814.zip;source;NA;PNAD_reponderado_2003_20150814/2003;Input;Dados;INPUT DOM2003.txt&DOM2003.txt;INPUT PES2003.txt&PES2003.txt
2004;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2004.zip;source;NA;PNAD_reponderado_2004/2004;Input;Dados;Input_Dom2004.txt&DOM2004.txt;Input_Pes2004.txt&PES2004.txt
2005;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2005.zip;source;NA;PNAD_reponderado_2005/2005;Input;Dados;Input Dom2005.txt&DOM2005.txt;Input Pes2005.txt&PES2005.txt
2006;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2006.zip;source;NA;PNAD_reponderado_2006/2006;Input;Dados;Input Dom2006.txt&DOM2006.txt;Input Pes2006.txt&PES2006.txt
2007;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2007_20150814.zip;source;NA;PNAD_reponderado_2007_20150814/2007;Input;Dados;Input Dom2007.txt&DOM2007.txt;Input Pes2007.txt&PES2007.txt
2008;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2008.zip;source;NA;PNAD_reponderado_2008/2008;Input;Dados;Input Dom2008.txt&DOM2008.txt;Input Pes2008.txt&PES2008.txt
2009;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2009_20150814.zip;source;NA;PNAD_reponderado_2009_20150814/2009;Input;Dados;Input Dom2009.txt&DOM2009.txt;Input Pes2009.txt&PES2009.txt
2011;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2011_20150814.zip;source;NA;PNAD_reponderado_2011_20150814/2011;Input;Dados;Input Dom2011.txt&DOM2011.txt;Input Pes2011.txt&PES2011.txt
2012;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/reponderacao_2001_2012/PNAD_reponderado_2012_20150814.zip;source;NA;PNAD_reponderado_2012_20150814/2012;Input;Dados;Input Dom2012.txt&DOM2012.txt;Input Pes2012.txt&PES2012.txt
2013;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/2013/Dados.zip;source;NA;NA;Dicionarios_e_input_20150814/Dicionários e input;Dados;input DOM2013.txt&DOM2013.txt;input PES2013.txt&PES2013.txt
2014;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_anual/microdados/2014/Dados_20160706.zip;source;NA;NA;Dicionarios_e_input_20160406/Dicionários e input;Dados_20160706;input DOM2014.txt&DOM2014.txt;input PES2014.txt&PES2014.txt
