"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"Ano";"$4.";"";4;0;4;"c";TRUE
5;"Trimestre";"$1.";"";1;0;5;"c";TRUE
6;"UF";"$2.";"";2;0;7;"c";TRUE
8;"Capital";"$2.";"";2;0;9;"c";TRUE
10;"RM_RIDE";"$2.";"";2;0;11;"c";TRUE
12;"UPA";"$9.";"";9;0;20;"c";TRUE
21;"Estrato";"$7.";"";7;0;27;"c";TRUE
28;"V1008";"$2.";"";2;0;29;"c";TRUE
30;"V1014";"$2.";"";2;0;31;"c";TRUE
32;"V1016";"$1.";"";1;0;32;"c";TRUE
33;"V1023";"$1.";"";1;0;33;"c";TRUE
34;"V1027";"15.8";"";15;8;48;"d";FALSE
49;"V1028";"15.8";"";15;8;63;"d";FALSE
64;"V1029";"9.";"";9;0;72;"i";FALSE
73;"posest";"$3.";"";3;0;75;"c";TRUE
76;"V2001";"2.";"";2;0;77;"i";FALSE
78;"V2003";"$2.";"";2;0;79;"c";TRUE
80;"V2005";"$2.";"";2;0;81;"c";TRUE
82;"V2007";"$1.";"";1;0;82;"c";TRUE
83;"V2008";"$2.";"";2;0;84;"c";TRUE
85;"V20081";"$2.";"";2;0;86;"c";TRUE
87;"V20082";"$4.";"";4;0;90;"c";TRUE
91;"V2009";"3.";"";3;0;93;"i";FALSE
94;"V3001";"$1.";"";1;0;94;"c";TRUE
95;"V3002";"$1.";"";1;0;95;"c";TRUE
96;"V3003";"$2.";"";2;0;97;"c";TRUE
98;"V3004";"$1.";"";1;0;98;"c";TRUE
99;"V3005";"$1.";"";1;0;99;"c";TRUE
100;"V3006";"$2.";"";2;0;101;"c";TRUE
102;"V3007";"$1.";"";1;0;102;"c";TRUE
103;"V3008";"$1.";"";1;0;103;"c";TRUE
104;"V3009";"$2.";"";2;0;105;"c";TRUE
106;"V3010";"$1.";"";1;0;106;"c";TRUE
107;"V3011";"$1.";"";1;0;107;"c";TRUE
108;"V3012";"$1.";"";1;0;108;"c";TRUE
109;"V3013";"$2.";"";2;0;110;"c";TRUE
111;"V3014";"$1.";"";1;0;111;"c";TRUE
112;"V4001";"$1.";"";1;0;112;"c";TRUE
113;"V4002";"$1.";"";1;0;113;"c";TRUE
114;"V4003";"$1.";"";1;0;114;"c";TRUE
115;"V4004";"$1.";"";1;0;115;"c";TRUE
116;"V4005";"$1.";"";1;0;116;"c";TRUE
117;"V4006";"$1.";"";1;0;117;"c";TRUE
118;"V4007";"$1.";"";1;0;118;"c";TRUE
119;"V4008";"$1.";"";1;0;119;"c";TRUE
120;"V40081";"$2.";"";2;0;121;"c";TRUE
122;"V40082";"$2.";"";2;0;123;"c";TRUE
124;"V40083";"$2.";"";2;0;125;"c";TRUE
126;"V4009";"$1.";"";1;0;126;"c";TRUE
127;"V4010";"$4.";"";4;0;130;"c";TRUE
131;"V4012";"$1.";"";1;0;131;"c";TRUE
132;"V40121";"$1.";"";1;0;132;"c";TRUE
133;"V4013";"$5.";"";5;0;137;"c";TRUE
138;"V40132";"$1.";"";1;0;138;"c";TRUE
139;"V4028";"$1.";"";1;0;139;"c";TRUE
140;"V4029";"$1.";"";1;0;140;"c";TRUE
141;"V4032";"$1.";"";1;0;141;"c";TRUE
142;"V4033";"$1.";"";1;0;142;"c";TRUE
143;"V40331";"$1.";"";1;0;143;"c";TRUE
144;"V403311";"$1.";"";1;0;144;"c";TRUE
145;"V403312";"8.";"";8;0;152;"i";FALSE
153;"V40332";"$1.";"";1;0;153;"c";TRUE
154;"V403321";"$1.";"";1;0;154;"c";TRUE
155;"V403322";"8.";"";8;0;162;"i";FALSE
163;"V40333";"$1.";"";1;0;163;"c";TRUE
164;"V4034";"$1.";"";1;0;164;"c";TRUE
165;"V40341";"$1.";"";1;0;165;"c";TRUE
166;"V403411";"$1.";"";1;0;166;"c";TRUE
167;"V403412";"8.";"";8;0;174;"i";FALSE
175;"V40342";"$1.";"";1;0;175;"c";TRUE
176;"V403421";"$1.";"";1;0;176;"c";TRUE
177;"V403422";"8.";"";8;0;184;"i";FALSE
185;"V4049";"$1.";"";1;0;185;"c";TRUE
186;"V4050";"$1.";"";1;0;186;"c";TRUE
187;"V40501";"$1.";"";1;0;187;"c";TRUE
188;"V405011";"$1.";"";1;0;188;"c";TRUE
189;"V405012";"8.";"";8;0;196;"i";FALSE
197;"V40502";"$1.";"";1;0;197;"c";TRUE
198;"V405021";"$1.";"";1;0;198;"c";TRUE
199;"V405022";"8.";"";8;0;206;"i";FALSE
207;"V40503";"$1.";"";1;0;207;"c";TRUE
208;"V4051";"$1.";"";1;0;208;"c";TRUE
209;"V40511";"$1.";"";1;0;209;"c";TRUE
210;"V405111";"$1.";"";1;0;210;"c";TRUE
211;"V405112";"8.";"";8;0;218;"i";FALSE
219;"V40512";"$1.";"";1;0;219;"c";TRUE
220;"V405121";"$1.";"";1;0;220;"c";TRUE
221;"V405122";"8.";"";8;0;228;"i";FALSE
229;"V4057";"$1.";"";1;0;229;"c";TRUE
230;"V4058";"$1.";"";1;0;230;"c";TRUE
231;"V40581";"$1.";"";1;0;231;"c";TRUE
232;"V405811";"$1.";"";1;0;232;"c";TRUE
233;"V405812";"8.";"";8;0;240;"i";FALSE
241;"V40582";"$1.";"";1;0;241;"c";TRUE
242;"V405821";"$1.";"";1;0;242;"c";TRUE
243;"V405822";"8.";"";8;0;250;"i";FALSE
251;"V40583";"$1.";"";1;0;251;"c";TRUE
252;"V40584";"$1.";"";1;0;252;"c";TRUE
253;"V4059";"$1.";"";1;0;253;"c";TRUE
254;"V40591";"$1.";"";1;0;254;"c";TRUE
255;"V405911";"$1.";"";1;0;255;"c";TRUE
256;"V405912";"8.";"";8;0;263;"i";FALSE
264;"V40592";"$1.";"";1;0;264;"c";TRUE
265;"V405921";"$1.";"";1;0;265;"c";TRUE
266;"V405922";"8.";"";8;0;273;"i";FALSE
