"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"V0001";"$2.";"";2;0;2;"c";TRUE
3;"V0024";"$8.";"";8;0;10;"c";TRUE
11;"UPA_PNS";"$7.";"";7;0;17;"c";TRUE
18;"V0006_PNS";"$4.";"";4;0;21;"c";TRUE
22;"UPA";"$9.";"";9;0;30;"c";TRUE
31;"V0015";"$2.";"";2;0;32;"c";TRUE
33;"V0020";"$4.";"";4;0;36;"c";TRUE
37;"V0022";"$2.";"";2;0;38;"c";TRUE
39;"V0026";"$1.";"";1;0;39;"c";TRUE
40;"V0031";"$1.";"";1;0;40;"c";TRUE
41;"A001";"$1.";"";1;0;41;"c";TRUE
42;"A002";"$1.";"";1;0;42;"c";TRUE
43;"A003";"$1.";"";1;0;43;"c";TRUE
44;"A004";"$1.";"";1;0;44;"c";TRUE
45;"A005";"$1.";"";1;0;45;"c";TRUE
46;"A006";"$1.";"";1;0;46;"c";TRUE
47;"A007";"$1.";"";1;0;47;"c";TRUE
48;"A008";"$1.";"";1;0;48;"c";TRUE
49;"A009";"$1.";"";1;0;49;"c";TRUE
50;"A010";"$2.";"";2;0;51;"c";TRUE
52;"A011";"$2.";"";2;0;53;"c";TRUE
54;"A012";"$1.";"";1;0;54;"c";TRUE
55;"A013";"$1.";"";1;0;55;"c";TRUE
56;"A014";"$2.";"";2;0;57;"c";TRUE
58;"A015";"$1.";"";1;0;58;"c";TRUE
59;"A016";"$1.";"";1;0;59;"c";TRUE
60;"A017";"$1.";"";1;0;60;"c";TRUE
61;"A01801";"$1.";"";1;0;61;"c";TRUE
62;"A01802";"$1.";"";1;0;62;"c";TRUE
63;"A01803";"$1.";"";1;0;63;"c";TRUE
64;"A01804";"$1.";"";1;0;64;"c";TRUE
65;"A01805";"$1.";"";1;0;65;"c";TRUE
66;"A01806";"$1.";"";1;0;66;"c";TRUE
67;"A01807";"$1.";"";1;0;67;"c";TRUE
68;"A01808";"$1.";"";1;0;68;"c";TRUE
69;"A01809";"$1.";"";1;0;69;"c";TRUE
70;"A01810";"$1.";"";1;0;70;"c";TRUE
71;"A01811";"$1.";"";1;0;71;"c";TRUE
72;"A01812";"$1.";"";1;0;72;"c";TRUE
73;"A01813";"$1.";"";1;0;73;"c";TRUE
74;"A01814";"$1.";"";1;0;74;"c";TRUE
75;"A01815";"$1.";"";1;0;75;"c";TRUE
76;"A01816";"$1.";"";1;0;76;"c";TRUE
77;"A01817";"$1.";"";1;0;77;"c";TRUE
78;"A01818";"$1.";"";1;0;78;"c";TRUE
79;"A019";"$1.";"";1;0;79;"c";TRUE
80;"A020";"$1.";"";1;0;80;"c";TRUE
81;"A021";"$1.";"";1;0;81;"c";TRUE
82;"A022";"$1.";"";1;0;82;"c";TRUE
83;"A02301";"$3.";"";3;0;85;"c";TRUE
86;"A02302";"$3.";"";3;0;88;"c";TRUE
89;"A02303";"$3.";"";3;0;91;"c";TRUE
92;"A02304";"$3.";"";3;0;94;"c";TRUE
95;"A024";"$1.";"";1;0;95;"c";TRUE
96;"B001";"$1.";"";1;0;96;"c";TRUE
97;"B002";"$1.";"";1;0;97;"c";TRUE
98;"B003";"$1.";"";1;0;98;"c";TRUE
99;"B004";"$1.";"";1;0;99;"c";TRUE
100;"V0028";"14.8";"";14;8;113;"d";FALSE
114;"V0029";"14.8";"";14;8;127;"d";FALSE
128;"V00281";"14.8";"";14;8;141;"d";FALSE
142;"V00291";"14.8";"";14;8;155;"d";FALSE
156;"V00282";"9.";"";9;0;164;"i";FALSE
165;"V00292";"17.8";"";17;8;181;"d";FALSE
182;"V00283";"$3.";"";3;0;184;"c";TRUE
185;"V00293";"$5.";"";5;0;189;"c";TRUE
190;"VDC001";"$2.";"";2;0;191;"c";TRUE
192;"VDC002";"$2.";"";2;0;193;"c";TRUE
194;"VDDATAD";"$8.";"";8;0;201;"c";TRUE
