"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_INFORMANTE";"$2.";"";2;0;13;"c";TRUE
14;"NUM_EXT_RENDA";"$2.";"";2;0;15;"c";TRUE
16;"FATOR_EXPANSAO1";"14.8";"";14;8;29;"d";FALSE
30;"FATOR_EXPANSAO2";"14.8";"";14;8;43;"d";FALSE
44;"COD_COND_VIDA";"$1.";"";1;0;44;"c";TRUE
45;"COD_QTD_ALI";"$1.";"";1;0;45;"c";TRUE
46;"COD_TIP_ALI";"$1.";"";1;0;46;"c";TRUE
47;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;62;"d";FALSE
63;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;78;"d";FALSE
79;"RENDA_TOTAL";"16.2";"";16;2;94;"d";FALSE
95;"VAL_REND_MIN";"11.2";"";11;2;105;"d";FALSE
106;"VAL_REC_MIN_ALI";"11.2";"";11;2;116;"d";FALSE
117;"COD_RAZ_NAO_ALI";"$1.";"";1;0;117;"c";TRUE
118;"COD_COND_SERV_AGUA";"$1.";"";1;0;118;"c";TRUE
119;"COD_COND_COL_LIXO";"$1.";"";1;0;119;"c";TRUE
120;"COD_COND_ILU_RUA";"$1.";"";1;0;120;"c";TRUE
121;"COD_LIMPEZA";"$1.";"";1;0;121;"c";TRUE
122;"COD_COND_DREN_CHUV";"$1.";"";1;0;122;"c";TRUE
123;"COD_FORN_ENER_ELET";"$1.";"";1;0;123;"c";TRUE
124;"COD_TRANSPORTE";"$1.";"";1;0;124;"c";TRUE
125;"COD_EDUCACAO";"$1.";"";1;0;125;"c";TRUE
126;"COD_SAUDE";"$1.";"";1;0;126;"c";TRUE
127;"COD_LAZERESPORTE";"$1.";"";1;0;127;"c";TRUE
128;"COD_ESGOTAMENTO";"$1.";"";1;0;128;"c";TRUE
129;"COD_POUCO_ESPACO";"$1.";"";1;0;129;"c";TRUE
130;"COD_VIZ_BARULHE";"$1.";"";1;0;130;"c";TRUE
131;"COD_CASA_ESCURA";"$1.";"";1;0;131;"c";TRUE
132;"COD_TELHADO_GOT";"$1.";"";1;0;132;"c";TRUE
133;"COD_PAR_CHAO_UMID";"$1.";"";1;0;133;"c";TRUE
134;"COD_MADE_DETERIORA";"$1.";"";1;0;134;"c";TRUE
135;"COD_POL_TRAN_INDU";"$1.";"";1;0;135;"c";TRUE
136;"COD_VIO_AREA_RESID";"$1.";"";1;0;136;"c";TRUE
137;"COD_INUNDACOES";"$1.";"";1;0;137;"c";TRUE
138;"COD_COND_MORADA";"$1.";"";1;0;138;"c";TRUE
139;"COD_ATRASO_ALUG";"$1.";"";1;0;139;"c";TRUE
140;"COD_ATRASO_DESP";"$1.";"";1;0;140;"c";TRUE
141;"COD_ATRASO_PRES";"$1.;";"";1;0;141;"c";TRUE
