"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_INFORMANTE";"$2.";"";2;0;13;"c";TRUE
14;"NUM_EXT_RENDA";"$2.";"";2;0;15;"c";TRUE
16;"FATOR_EXPANSAO1";"15.8";"";15;8;30;"d";FALSE
31;"FATOR_EXPANSAO2";"15.8";"";15;8;45;"d";FALSE
46;"NUM_QUADRO";"$2.";"";2;0;47;"c";TRUE
48;"LOCAL";"$1.";"";1;0;48;"c";TRUE
49;"HORARIO";"$2.";"";2;0;50;"c";TRUE
51;"QTD_ITEM";"8.3";"";8;3;58;"d";FALSE
59;"COD_UNIDADE";"$5.";"";5;0;63;"c";TRUE
64;"COD_ITEM";"$7.";"";7;0;70;"c";TRUE
71;"COD_PREPARACAO";"$2.";"";2;0;72;"c";TRUE
73;"COD_IMPUT";"$1.";"";1;0;73;"c";TRUE
74;"QTD_IMPUT";"8.3";"";8;3;81;"d";FALSE
82;"UTILIZA_FREQUENTEMENTE";"$1.";"";1;0;82;"c";TRUE
83;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;98;"d";FALSE
99;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;114;"d";FALSE
115;"RENDA_TOTAL";"16.2";"";16;2;130;"d";FALSE
131;"COD_UNIDADE_MEDIDA2";"$5.";"";5;0;135;"c";TRUE
136;"QTD_UNID_MED";"8.3";"";8;3;143;"d";FALSE
144;"QTD_FINAL";"8.3";"";8;3;151;"d";FALSE
152;"DIA_DA_SEMANA";"$1.;";"";1;0;152;"c";TRUE
