"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_EXT_RENDA";"$2.";"";2;0;13;"c";TRUE
14;"FATOR_EXPANSAO1";"14.8";"";14;8;27;"d";FALSE
28;"FATOR_EXPANSAO2";"14.8";"";14;8;41;"d";FALSE
42;"NUM_QUADRO";"$2.";"";2;0;43;"c";TRUE
44;"COD_ITEM";"$5.";"";5;0;48;"c";TRUE
49;"COD_OBTENCAO";"$2.";"";2;0;50;"c";TRUE
51;"VAL_DESPESA";"11.2";"";11;2;61;"d";FALSE
62;"FATOR_ANUAL";"2.";"";2;0;63;"i";FALSE
64;"NUM_DEFLATOR";"5.2";"";5;2;68;"d";FALSE
69;"VAL_DESPESA_CORRIGIDO";"11.2";"";11;2;79;"d";FALSE
80;"VALOR_ANUAL_EXPANDIDO2";"16.2";"";16;2;95;"d";FALSE
96;"COD_IMPUT";"$2.";"";2;0;97;"c";TRUE
98;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;113;"d";FALSE
114;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;129;"d";FALSE
130;"RENDA_TOTAL";"16.2";"";16;2;145;"d";FALSE
146;"QTD_ITEM";"4.";"";4;0;149;"i";FALSE
150;"COD_UNIDADE_MEDIDA";"$5.";"";5;0;154;"c";TRUE
155;"COD_PESO_VOLUME";"$5.";"";5;0;159;"c";TRUE
160;"QUANTIDADE_FINAL";"14.3";"";14;3;173;"d";FALSE
174;"COD_IMPUT_QUANT";"$2.";"";2;0;175;"c";TRUE
176;"COD_LOCAL_COMPRA";"$5.";"";5;0;180;"c";TRUE
