"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_INF";"$2.";"";2;0;13;"c";TRUE
14;"NUM_EXT_RENDA";"$2.";"";2;0;15;"c";TRUE
16;"FATOR_EXPANSAO1";"14.8";"";14;8;29;"d";FALSE
30;"FATOR_EXPANSAO2";"14.8";"";14;8;43;"d";FALSE
44;"NUM_QUADRO";"$2.";"";2;0;45;"c";TRUE
46;"COD_ITEM";"$5.";"";5;0;50;"c";TRUE
51;"COD_OBTENCAO";"$2.";"";2;0;52;"c";TRUE
53;"VAL_DESPESA";"11.2";"";11;2;63;"d";FALSE
64;"FATOR_ANUAL";"2.";"";2;0;65;"i";FALSE
66;"NUM_DEFLATOR";"5.2";"";5;2;70;"d";FALSE
71;"VAL_DESPESA_CORRIGIDO";"11.2";"";11;2;81;"d";FALSE
82;"VALOR_ANUAL_EXPANDIDO2";"16.2";"";16;2;97;"d";FALSE
98;"COD_IMPUT";"$2.";"";2;0;99;"c";TRUE
100;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;115;"d";FALSE
116;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;131;"d";FALSE
132;"RENDA_TOTAL";"16.2";"";16;2;147;"d";FALSE
148;"COD_CARACTERISTICA";"$2.";"";2;0;149;"c";TRUE
150;"COD_LOCAL_COMPRA";"$5.";"";5;0;154;"c";TRUE
155;"COD_MOTIVO";"$2.";"";2;0;156;"c";TRUE
157;"UF_DESPESA";"$2.;";"";2;0;158;"c";TRUE
