"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_INFORMANTE";"$2.";"";2;0;13;"c";TRUE
14;"NUM_EXT_RENDA";"$2.";"";2;0;15;"c";TRUE
16;"FATOR_EXPANSAO1";"14.8";"";14;8;29;"d";FALSE
30;"FATOR_EXPANSAO2";"14.8";"";14;8;43;"d";FALSE
44;"COD_SABE_LER";"$1.";"";1;0;44;"c";TRUE
45;"COD_FREQ_ESCOLA";"$1.";"";1;0;45;"c";TRUE
46;"COD_CURSO_FREQ";"$1.";"";1;0;46;"c";TRUE
47;"COD_DUR_PRIMEIRO_GRAU_EH";"$1.";"";1;0;47;"c";TRUE
48;"COD_SERIE_FREQ";"$1.";"";1;0;48;"c";TRUE
49;"COD_NIVEL_INSTR";"$1.";"";1;0;49;"c";TRUE
50;"COD_DUR_PRIMEIRO_GRAU_ERA";"$1.";"";1;0;50;"c";TRUE
51;"COD_SERIE_COM_APROVACAO";"$1.";"";1;0;51;"c";TRUE
52;"COD_CONCLUIU_CURSO";"$1.";"";1;0;52;"c";TRUE
53;"COD_TEM_CARTAO";"$1.";"";1;0;53;"c";TRUE
54;"COD_EHTITULAR_CARTAO";"$1.";"";1;0;54;"c";TRUE
55;"COD_TEM_CHEQUE";"$1.";"";1;0;55;"c";TRUE
56;"COD_EHTITULAR_CONTA";"$1.";"";1;0;56;"c";TRUE
57;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;72;"d";FALSE
73;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;88;"d";FALSE
89;"RENDA_TOTAL";"16.2";"";16;2;104;"d";FALSE
105;"COD_TEM_PLANO";"$1.";"";1;0;105;"c";TRUE
106;"COD_EHTITULAR";"$1.";"";1;0;106;"c";TRUE
107;"COD_NUM_DEPENDENTE";"$1.";"";1;0;107;"c";TRUE
108;"COD_LEITE_MATERNO";"$1.";"";1;0;108;"c";TRUE
109;"MESES_LEITE_MATERNO";"$1.;";"";1;0;109;"c";TRUE
