"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"TIPO_REG";"$2.";"";2;0;2;"c";TRUE
3;"COD_UF";"$2.";"";2;0;4;"c";TRUE
5;"NUM_SEQ";"$3.";"";3;0;7;"c";TRUE
8;"NUM_DV";"$1.";"";1;0;8;"c";TRUE
9;"COD_DOMC";"$2.";"";2;0;10;"c";TRUE
11;"NUM_UC";"$1.";"";1;0;11;"c";TRUE
12;"NUM_INFORMANTE";"$2.";"";2;0;13;"c";TRUE
14;"NUM_EXT_RENDA";"$2.";"";2;0;15;"c";TRUE
16;"FATOR_EXPANSAO1";"14.8";"";14;8;29;"d";FALSE
30;"FATOR_EXPANSAO2";"14.8";"";14;8;43;"d";FALSE
44;"COD_REL_PESS_REFE_UC";"$2.";"";2;0;45;"c";TRUE
46;"NUM_FAMILIA";"$2.";"";2;0;47;"c";TRUE
48;"COD_COND_FAMILIA";"$2.";"";2;0;49;"c";TRUE
50;"COD_COND_PRESENCA";"$2.";"";2;0;51;"c";TRUE
52;"DAT_DIA_NASC";"2.";"";2;0;53;"i";FALSE
54;"DAT_MES_NASC";"2.";"";2;0;55;"i";FALSE
56;"DAT_ANO_NASC";"4.";"";4;0;59;"i";FALSE
60;"IDADE_ANOS";"3.";"";3;0;62;"i";FALSE
63;"IDADE_MES";"6.";"";6;0;68;"i";FALSE
69;"IDADE_DIA";"7.";"";7;0;75;"i";FALSE
76;"COD_SEXO";"$2.";"";2;0;77;"c";TRUE
78;"COD_SABE_LER";"$2.";"";2;0;79;"c";TRUE
80;"COD_FREQ_ESCOLA";"$2.";"";2;0;81;"c";TRUE
82;"COD_CURSO_FREQ";"$2.";"";2;0;83;"c";TRUE
84;"COD_DUR_PRIMEIRO_GRAU_EH";"$2.";"";2;0;85;"c";TRUE
86;"COD_SERIE_FREQ";"$2.";"";2;0;87;"c";TRUE
88;"COD_NIVEL_INSTR";"$2.";"";2;0;89;"c";TRUE
90;"COD_DUR_PRIMEIRO_GRAU_ERA";"$2.";"";2;0;91;"c";TRUE
92;"COD_SERIE_COM_APROVACAO";"$2.";"";2;0;93;"c";TRUE
94;"COD_CONCLUIU_CURSO";"$2.";"";2;0;95;"c";TRUE
96;"ANOS_DE_ESTUDO";"$2.";"";2;0;97;"c";TRUE
98;"COD_COR_RACA";"$2.";"";2;0;99;"c";TRUE
100;"COD_SIT_RECEITA";"$2.";"";2;0;101;"c";TRUE
102;"COD_SIT_DESPESA";"$2.";"";2;0;103;"c";TRUE
104;"COD_TEM_CARTAO";"$2.";"";2;0;105;"c";TRUE
106;"COD_EHTITULAR_CARTAO";"$2.";"";2;0;107;"c";TRUE
108;"COD_TEM_CHEQUE";"$2.";"";2;0;109;"c";TRUE
110;"COD_EHTITULAR_CONTA";"$2.";"";2;0;111;"c";TRUE
112;"RENDA_BRUTA_MONETARIA";"16.2";"";16;2;127;"d";FALSE
128;"RENDA_BRUTA_NAO_MONETARIA";"16.2";"";16;2;143;"d";FALSE
144;"RENDA_TOTAL";"16.2";"";16;2;159;"d";FALSE
160;"COD_GRAVIDA";"$2.";"";2;0;161;"c";TRUE
162;"NUM_COMPRIMENTO";"5.1";"";5;1;166;"d";FALSE
167;"NUM_ALTURA";"5.1";"";5;1;171;"d";FALSE
172;"NUM_PESO";"5.1";"";5;1;176;"d";FALSE
177;"NUM_PESO_CRIANCA";"5.1";"";5;1;181;"d";FALSE
182;"COMPRIMENTO_IMPUTADO";"5.1";"";5;1;186;"d";FALSE
187;"ALTURA_IMPUTADO";"5.1";"";5;1;191;"d";FALSE
192;"PESO_IMPUTADO";"5.1";"";5;1;196;"d";FALSE
197;"RENDA_PERCAPITA";"16.2";"";16;2;212;"d";FALSE
213;"COD_RELIGIAO";"$8.";"";8;0;220;"c";TRUE
221;"COD_TEM_PLANO";"$2.";"";2;0;222;"c";TRUE
223;"COD_EHTITULAR";"$2.";"";2;0;224;"c";TRUE
225;"COD_NUM_DEPENDENTE";"$2.";"";2;0;226;"c";TRUE
227;"COD_UNID_CONSUMO";"$2.";"";2;0;228;"c";TRUE
229;"TEVE_NECESSIDADE_MEDICAMENTO";"$2.";"";2;0;230;"c";TRUE
231;"PRECISOU_ALGUM_SERVICO";"$2.";"";2;0;232;"c";TRUE
233;"TEMPO_GESTACAO";"2.";"";2;0;234;"i";FALSE
235;"COD_AMAMENTANDO";"$2.";"";2;0;236;"c";TRUE
237;"COD_LEITE_MATERNO";"$2.";"";2;0;238;"c";TRUE
239;"COD_OUTRO_ALIMENTO";"$2.";"";2;0;240;"c";TRUE
241;"MESES_LEITE_MATERNO";"2.";"";2;0;242;"i";FALSE
243;"COD_FREQ_ALIMENTAR";"$2.";"";2;0;244;"c";TRUE
245;"COD_ALIMENTO_CONSUMIDO";"$2.;";"";2;0;246;"c";TRUE
