int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;uc;1.;;1;0;11;i;FALSE
12;estrato;2.;;2;0;13;i;FALSE
14;fator_set;11.5;;11;5;24;d;FALSE
25;fator;11.5;;11;5;35;d;FALSE
36;quadro;2.;;2;0;37;i;FALSE
38;item;5.;;5;0;42;i;FALSE
43;local;5.;;5;0;47;i;FALSE
48;valor;11.2;;11;2;58;d;FALSE
59;obtencao;1.;;1;0;59;i;FALSE
60;fanual;2.;;2;0;61;i;FALSE
62;val_def_anual;16.2;;16;2;77;d;FALSE
78;renda;12.4;;12;4;89;d;FALSE
90;cod_imput;1.;;1;0;90;i;FALSE
91;deflator;5.2;;5;2;95;d;FALSE
96;q_cons_orig;5.;;5;0;100;i;FALSE
101;marca_imput;1.;;1;0;101;i;FALSE
102;q_cons_imput;"5.;";;5;0;106;i;FALSE
