int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;estrato;2.;;2;0;12;i;FALSE
13;fator_set;11.5;;11;5;23;d;FALSE
24;fator;11.5;;11;5;34;d;FALSE
35;pt;2.;;2;0;36;i;FALSE
37;pt_real;2.;;2;0;38;i;FALSE
39;n_morador;2.;;2;0;40;i;FALSE
41;tipo;1.;;1;0;41;i;FALSE
42;n_comodos;2.;;2;0;43;i;FALSE
44;n_dorm;2.;;2;0;45;i;FALSE
46;n_banh;2.;;2;0;47;i;FALSE
48;a_agua;1.;;1;0;48;i;FALSE
49;esgoto;1.;;1;0;49;i;FALSE
50;cond_ocup;1.;;1;0;50;i;FALSE
51;e_eletrica;1.;;1;0;51;i;FALSE
52;piso;1.;;1;0;52;i;FALSE
53;pavrua;1.;;1;0;53;i;FALSE
54;temp_mor;1.;;1;0;54;i;FALSE
55;quant_uc;1.;;1;0;55;i;FALSE
56;contrato;1.;;1;0;56;i;FALSE
57;renda;"12.4;";;12;4;68;d;FALSE
