int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;uc;1.;;1;0;11;i;FALSE
12;estrato;2.;;2;0;13;i;FALSE
14;fator_set;11.5;;11;5;24;d;FALSE
25;fator;11.5;;11;5;35;d;FALSE
36;ordem;2.;;2;0;37;i;FALSE
38;quadro;2.;;2;0;39;i;FALSE
40;pos_ocup;2.;;2;0;41;i;FALSE
42;c_rend;1.;;1;0;42;i;FALSE
43;rend_bruto;11.2;;11;2;53;d;FALSE
54;c_deducao;1.;;1;0;54;i;FALSE
55;ded_previ;11.2;;11;2;65;d;FALSE
66;ded_IRPF;11.2;;11;2;76;d;FALSE
77;ded_outras;11.2;;11;2;87;d;FALSE
88;n_meses;2.;;2;0;89;i;FALSE
90;fanual;2.;;2;0;91;i;FALSE
92;rend_def_anual;16.2;;16;2;107;d;FALSE
108;ded_def_anual_previ;16.2;;16;2;123;d;FALSE
124;ded_def_anual_IRPF;16.2;;16;2;139;d;FALSE
140;ded_def_anual_outras;16.2;;16;2;155;d;FALSE
156;renda;12.4;;12;4;167;d;FALSE
168;cod_imput;1.;;1;0;168;i;FALSE
169;deflator;5.2;;5;2;173;d;FALSE
174;c_ocupacao;8.;;8;0;181;i;FALSE
182;c_atividade;8.;;8;0;189;i;FALSE
190;t_trabalho;"1.;";;1;0;190;i;FALSE
