int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;TIPO_REG;$2.;;2;0;2;c;TRUE
3;COD_UF;$2.;;2;0;4;c;TRUE
5;NUM_SEQ;$3.;;3;0;7;c;TRUE
8;NUM_DV;$1.;;1;0;8;c;TRUE
9;COD_DOMC;$2.;;2;0;10;c;TRUE
11;NUM_UC;$1.;;1;0;11;c;TRUE
12;NUM_EXT_RENDA;$2.;;2;0;13;c;TRUE
14;FATOR_EXPANSAO1;14.8;;14;8;27;d;FALSE
28;FATOR_EXPANSAO2;14.8;;14;8;41;d;FALSE
42;NUM_QUADRO;$2.;;2;0;43;c;TRUE
44;COD_ITEM;$5.;;5;0;48;c;TRUE
49;COD_OBTENCAO;$2.;;2;0;50;c;TRUE
51;VAL_DESPESA;11.2;;11;2;61;d;FALSE
62;COD_INSS;$5.;;5;0;66;c;TRUE
67;VAL_INSS;11.2;;11;2;77;d;FALSE
78;COD_ESPECIE;$1.;;1;0;78;c;TRUE
79;MES;2.;;2;0;80;i;FALSE
81;QTD_MESES;2.;;2;0;82;i;FALSE
83;FATOR_ANUAL;2.;;2;0;84;i;FALSE
85;NUM_DEFLATOR;5.2;;5;2;89;d;FALSE
90;VAL_DESPESA_CORRIGIDO;11.2;;11;2;100;d;FALSE
101;VAL_INSS_CORRIGIDO;11.2;;11;2;111;d;FALSE
112;VALOR_ANUAL_EXPANDIDO2;16.2;;16;2;127;d;FALSE
128;VALOR_INSS_ANUAL_EXPANDIDO2;16.2;;16;2;143;d;FALSE
144;COD_IMPUT;$2.;;2;0;145;c;TRUE
146;COD_IMPUT_INSS;$2.;;2;0;147;c;TRUE
148;RENDA_BRUTA_MONETARIA;16.2;;16;2;163;d;FALSE
164;RENDA_BRUTA_NAO_MONETARIA;16.2;;16;2;179;d;FALSE
180;RENDA_TOTAL;"16.2;";;16;2;195;d;FALSE
