period;frequency;format;download_path;download_mode;missing_symbols;path;inputs_folder;data_folder;missing_symbols;ft_pessoas
2012-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_012012_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012012_20180816;.;Input_PNADC_trimestral.txt&PNADC_012012_20180816.txt
2012-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_022012_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022012_20180816;.;Input_PNADC_trimestral.txt&PNADC_022012_20180816.txt
2012-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_032012_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032012_20180816;.;Input_PNADC_trimestral.txt&PNADC_032012_20180816.txt
2012-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2012/PNADC_042012_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042012_20180816;.;Input_PNADC_trimestral.txt&PNADC_042012_20180816.txt
2013-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_012013_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012013_20180816;.;Input_PNADC_trimestral.txt&PNADC_012013_20180816.txt
2013-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_022013_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022013_20180816;.;Input_PNADC_trimestral.txt&PNADC_022013_20180816.txt
2013-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_032013_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032013_20180816;.;Input_PNADC_trimestral.txt&PNADC_032013_20180816.txt
2013-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2013/PNADC_042013_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042013_20180816;.;Input_PNADC_trimestral.txt&PNADC_042013_20180816.txt
2014-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_012014_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012014_20180816;.;Input_PNADC_trimestral.txt&PNADC_012014_20180816.txt
2014-2q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_022014_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_022014_20180816;.;Input_PNADC_trimestral.txt&PNADC_022014_20180816.txt
2014-3q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_032014_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_032014_20180816;.;Input_PNADC_trimestral.txt&PNADC_032014_20180816.txt
2014-4q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2014/PNADC_042014_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_042014_20180816;.;Input_PNADC_trimestral.txt&PNADC_042014_20180816.txt
2015-1q;quartely;fwf;ftp://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2015/PNADC_012015_20180816.zip;source;.;;Dicionario_e_input_20180816.zip;PNADC_012015_20180816;.;Input_PNADC_trimestral.txt&PNADC_012015_20180816.txt
