period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_estabelecimentos;ft_vinculos;
1985;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1985/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1985.txt";";&^[A-Z]{2}1985.txt"
1986;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1986/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1986.txt";";&^[A-Z]{2}1986.txt"
1987;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1987/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1987.txt";";&^[A-Z]{2}1987.txt"
1988;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1988/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1988.txt";";&^[A-Z]{2}1988.txt"
1989;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1989/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1989.txt";";&^[A-Z]{2}1989.txt"
1990;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1990/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1990.txt";";&^[A-Z]{2}1990.txt"
1991;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1991/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1991.txt";";&^[A-Z]{2}1991.txt"
1992;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1992/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1992.txt";";&^[A-Z]{2}1992.txt"
1993;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1993/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1993.txt";";&^[A-Z]{2}1993.txt"
1994;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1994/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1994.txt";";&^[A-Z]{2}1994.txt"
1995;csv;ftp://ftp.mtps.gov.br/pdet/microdados/RAIS/1995/;ftp;;;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};NA;";&(^|/)[A-Z]{2}1995.txt";";&^[A-Z]{2}1995.txt"
