period;format;download_path;path;inputs_folder;data_folder;missing_symbols;ft_ESTABELECIMENTOS;ft_AC;ft_AL;ft_AP;ft_AM;ft_DF;ft_CE;ft_DF;ft_ES;ft_GO;ft_MA;ft_MT;ft_MS;ft_MG;ft_PA;ft_PB;ft_PR;ft_PE;ft_PI;ft_RJ;ft_RN;ft_RS;ft_RO;ft_RR;ft_SC;ft_SP;ft_SE;ft_TO
1998;csv;NA;NA;NA;NA;{ñ;NA;";&AC1997.txt";";&AL1997.txt";";&AP1997.txt";";&AM1997.txt";";&DF1997.txt";";&CE1997.txt";";&DF1997.txt";";&ES1997.txt";";&GO1997.txt";";&MA1997.txt";";&MT1997.txt";";&MS1997.txt";";&MG1997.txt";";&PA1997.txt";";&PB1997.txt";";&PR1997.txt";";&PE1997.txt";";&PI1997.txt";";&RJ1997.txt";";&RN1997.txt";";&RS1997.txt";";&RO1997.txt";";&RR1997.txt";";&SC1997.txt";";&SP1997.txt";";&SE1997.txt";";&TO1997.txt"
1999;csv;NA;NA;NA;NA;{ñ;NA;";&AC1998.txt";";&AL1998.txt";";&AP1998.txt";";&AM1998.txt";";&DF1998.txt";";&CE1998.txt";";&DF1998.txt";";&ES1998.txt";";&GO1998.txt";";&MA1998.txt";";&MT1998.txt";";&MS1998.txt";";&MG1998.txt";";&PA1998.txt";";&PB1998.txt";";&PR1998.txt";";&PE1998.txt";";&PI1998.txt";";&RJ1998.txt";";&RN1998.txt";";&RS1998.txt";";&RO1998.txt";";&RR1998.txt";";&SC1998.txt";";&SP1998.txt";";&SE1998.txt";";&TO1998.txt"
2000;csv;NA;NA;NA;NA;{ñ;NA;";&AC1999.txt";";&AL1999.txt";";&AP1999.txt";";&AM1999.txt";";&DF1999.txt";";&CE1999.txt";";&DF1999.txt";";&ES1999.txt";";&GO1999.txt";";&MA1999.txt";";&MT1999.txt";";&MS1999.txt";";&MG1999.txt";";&PA1999.txt";";&PB1999.txt";";&PR1999.txt";";&PE1999.txt";";&PI1999.txt";";&RJ1999.txt";";&RN1999.txt";";&RS1999.txt";";&RO1999.txt";";&RR1999.txt";";&SC1999.txt";";&SP1999.txt";";&SE1999.txt";";&TO1999.txt"
2001;csv;NA;NA;NA;NA;{ñ;NA;";&AC2000.txt";";&AL2000.txt";";&AP2000.txt";";&AM2000.txt";";&DF2000.txt";";&CE2000.txt";";&DF2000.txt";";&ES2000.txt";";&GO2000.txt";";&MA2000.txt";";&MT2000.txt";";&MS2000.txt";";&MG2000.txt";";&PA2000.txt";";&PB2000.txt";";&PR2000.txt";";&PE2000.txt";";&PI2000.txt";";&RJ2000.txt";";&RN2000.txt";";&RS2000.txt";";&RO2000.txt";";&RR2000.txt";";&SC2000.txt";";&SP2000.txt";";&SE2000.txt";";&TO2000.txt"
2002;csv;NA;NA;NA;NA;{ñ;";&consulta21554418.txt";";&AC2001.txt";";&AL2001.txt";";&AP2001.txt";";&AM2001.txt";";&DF2001.txt";";&CE2001.txt";";&DF2001.txt";";&ES2001.txt";";&GO2001.txt";";&MA2001.txt";";&MT2001.txt";";&MS2001.txt";";&MG2001.txt";";&PA2001.txt";";&PB2001.txt";";&PR2001.txt";";&PE2001.txt";";&PI2001.txt";";&RJ2001.txt";";&RN2001.txt";";&RS2001.txt";";&RO2001.txt";";&RR2001.txt";";&SC2001.txt";";&SP2001.txt";";&SE2001.txt";";&TO2001.txt"
2003;csv;NA;NA;NA;NA;{ñ;";&consulta66624895.txt";";&AC2002.txt";";&AL2002.txt";";&AP2002.txt";";&AM2002.txt";";&DF2002.txt";";&CE2002.txt";";&DF2002.txt";";&ES2002.txt";";&GO2002.txt";";&MA2002.txt";";&MT2002.txt";";&MS2002.txt";";&MG2002.txt";";&PA2002.txt";";&PB2002.txt";";&PR2002.txt";";&PE2002.txt";";&PI2002.txt";";&RJ2002.txt";";&RN2002.txt";";&RS2002.txt";";&RO2002.txt";";&RR2002.txt";";&SC2002.txt";";&SP2002.txt";";&SE2002.txt";";&TO2002.txt"
2004;csv;NA;NA;NA;NA;{ñ;";&consulta44651176.txt";";&AC2003.txt";";&AL2003.txt";";&AP2003.txt";";&AM2003.txt";";&DF2003.txt";";&CE2003.txt";";&DF2003.txt";";&ES2003.txt";";&GO2003.txt";";&MA2003.txt";";&MT2003.txt";";&MS2003.txt";";&MG2003.txt";";&PA2003.txt";";&PB2003.txt";";&PR2003.txt";";&PE2003.txt";";&PI2003.txt";";&RJ2003.txt";";&RN2003.txt";";&RS2003.txt";";&RO2003.txt";";&RR2003.txt";";&SC2003.txt";";&SP2003.txt";";&SE2003.txt";";&TO2003.txt"
2005;csv;NA;NA;NA;NA;{ñ;";&consulta8599625.txt";";&AC2004.txt";";&AL2004.txt";";&AP2004.txt";";&AM2004.txt";";&DF2004.txt";";&CE2004.txt";";&DF2004.txt";";&ES2004.txt";";&GO2004.txt";";&MA2004.txt";";&MT2004.txt";";&MS2004.txt";";&MG2004.txt";";&PA2004.txt";";&PB2004.txt";";&PR2004.txt";";&PE2004.txt";";&PI2004.txt";";&RJ2004.txt";";&RN2004.txt";";&RS2004.txt";";&RO2004.txt";";&RR2004.txt";";&SC2004.txt";";&SP2004.txt";";&SE2004.txt";";&TO2004.txt"
2006;csv;NA;NA;NA;NA;{ñ;";&consulta60747774";";&AC2006.txt";";&AL2006.txt";";&AP2006.txt";";&AM2006.txt";";&DF2006.txt";";&CE2006.txt";";&DF2006.txt";";&ES2006.txt";";&GO2006.txt";";&MA2006.txt";";&MT2006.txt";";&MS2006.txt";";&MG2006.txt";";&PA2006.txt";";&PB2006.txt";";&PR2006.txt";";&PE2006.txt";";&PI2006.txt";";&RJ2006.txt";";&RN2006.txt";";&RS2006.txt";";&RO2006.txt";";&RR2006.txt";";&SC2006.txt";";&SP2006.txt";";&SE2006.txt";";&TO2006.txt"
2007;csv;NA;NA;NA;NA;{ñ;";&ESTB2007.txt";";&AC2007.txt";";&AL2007.txt";";&AP2007.txt";";&AM2007.txt";";&DF2007.txt";";&CE2007.txt";";&DF2007.txt";";&ES2007.txt";";&GO2007.txt";";&MA2007.txt";";&MT2007.txt";";&MS2007.txt";";&MG2007.txt";";&PA2007.txt";";&PB2007.txt";";&PR2007.txt";";&PE2007.txt";";&PI2007.txt";";&RJ2007.txt";";&RN2007.txt";";&RS2007.txt";";&RO2007.txt";";&RR2007.txt";";&SC2007.txt";";&SP2007.txt";";&SE2007.txt";";&TO2007.txt"
