period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_obitos
200103;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200103.txt
200104;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200104.txt
200105;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200105.txt
200106;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200106.txt
200107;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200107.txt
200108;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200108.txt
200109;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200109.txt
200110;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200110.txt
200111;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200111.txt
200112;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200112.txt
200201;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200201.txt
200202;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200202.txt
200203;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200203.txt
200204;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200204.txt
200205;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200205.txt
200206;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200206.txt
200207;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200207.txt
200208;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200208.txt
200209;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200209.txt
200210;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200210.txt
200211;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200211.txt
200212;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200212.txt
200301;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200301.txt
200302;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200302.txt
200303;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200303.txt
200304;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200304.txt
200305;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200305.txt
200306;fwf;NA;NA;NA;NA;NA;NA;NA&OBI200306.txt
