period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_obitos
201101;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201101.txt
201102;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201102.txt
201103;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201103.txt
201104;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201104.txt
201105;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201105.txt
201106;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201106.txt
201107;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201107.txt
201108;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201108.txt
201109;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201109.txt
201110;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201110.txt
201111;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201111.txt
201112;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201112.txt
201201;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201201.txt
201202;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201202.txt
201203;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201203.txt
201204;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201204.txt
201205;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201205.txt
201206;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201206.txt
201207;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201207.txt
201208;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201208.txt
201209;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201209.txt
201210;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201210.txt
201211;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201211.txt
201212;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201212.txt
201301;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201301.txt
201302;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201302.txt
201303;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201303.txt
201304;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201304.txt
201305;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201305.txt
201306;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201306.txt
201307;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201307.txt
201308;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201308.txt
201309;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201309.txt
201310;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201310.txt
201311;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201311.txt
201312;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201312.txt
201401;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201401.txt
201402;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201402.txt
201403;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201403.txt
201404;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201404.txt
201405;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201405.txt
201406;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201406.txt
201407;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201407.txt
201408;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201408.txt
201409;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201409.txt
201410;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201410.txt
201411;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201411.txt
201412;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201412.txt
201501;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201501.txt
201502;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201502.txt
201503;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201503.txt
201504;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201504.txt
201505;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201505.txt
201506;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201506.txt
201507;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201507.txt
201508;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201508.txt
201509;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201509.txt
201510;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201510.txt
201511;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201511.txt
201512;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201512.txt
201601;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201601.txt
201602;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201602.txt
201603;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201603.txt
201604;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201604.txt
201605;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201605.txt
201606;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201606.txt
201607;fwf;NA;NA;NA;NA;NA;NA;NA&OBI201607.txt
