int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;V0001;;;2;;2;c;FALSE
3;V0002;;;5;;7;c;FALSE
8;V0011;;;13;;20;c;FALSE
21;V0300;;;8;;28;d;FALSE
29;V0010;;;3;13;44;d;FALSE
45;V1001;;;1;;45;c;TRUE
46;V1002;;;2;;47;c;FALSE
48;V1003;;;3;;50;c;FALSE
51;V1004;;;2;;52;c;FALSE
53;V1006;;;1;;53;c;FALSE
54;V4001;;;2;;55;c;FALSE
56;V4002;;;2;;57;c;FALSE
58;V0201;;;1;;58;c;FALSE
59;V2011;;;6;;64;d;FALSE
65;V2012;;;4;5;73;d;FALSE
74;V0202;;;1;;74;c;FALSE
75;V0203;;;2;;76;d;FALSE
77;V6203;;;2;1;79;d;FALSE
80;V0204;;;2;;81;d;FALSE
82;V6204;;;2;1;84;d;FALSE
85;V0205;;;1;;85;c;FALSE
86;V0206;;;1;;86;c;TRUE
87;V0207;;;1;;87;c;FALSE
88;V0208;;;2;;89;c;TRUE
90;V0209;;;1;;90;c;TRUE
91;V0210;;;1;;91;c;FALSE
92;V0211;;;1;;92;c;TRUE
93;V0212;;;1;;93;c;FALSE
94;V0213;;;1;;94;c;FALSE
95;V0214;;;1;;95;c;TRUE
96;V0215;;;1;;96;c;TRUE
97;V0216;;;1;;97;c;TRUE
98;V0217;;;1;;98;c;TRUE
99;V0218;;;1;;99;c;TRUE
100;V0219;;;1;;100;c;TRUE
101;V0220;;;1;;101;c;TRUE
102;V0221;;;1;;102;c;TRUE
103;V0222;;;1;;103;c;TRUE
104;V0301;;;1;;104;c;TRUE
105;V0401;;;2;;106;d;FALSE
107;V0402;;;1;;107;c;TRUE
108;V0701;;;1;;108;c;TRUE
109;V6529;;;7;;115;d;FALSE
116;V6530;;;5;5;125;d;FALSE
126;V6531;;;6;2;133;d;FALSE
134;V6532;;;4;5;142;d;FALSE
143;V6600;;;1;;143;c;TRUE
144;V6210;;;1;;144;c;TRUE
145;M0201;;;1;;145;c;TRUE
146;M2011;;;1;;146;c;TRUE
147;M0202;;;1;;147;c;TRUE
148;M0203;;;1;;148;c;TRUE
149;M0204;;;1;;149;c;TRUE
150;M0205;;;1;;150;c;TRUE
151;M0206;;;1;;151;c;TRUE
152;M0207;;;1;;152;c;TRUE
153;M0208;;;1;;153;c;TRUE
154;M0209;;;1;;154;c;TRUE
155;M0210;;;1;;155;c;TRUE
156;M0211;;;1;;156;c;TRUE
157;M0212;;;1;;157;c;TRUE
158;M0213;;;1;;158;c;TRUE
159;M0214;;;1;;159;c;TRUE
160;M0215;;;1;;160;c;TRUE
161;M0216;;;1;;161;c;TRUE
162;M0217;;;1;;162;c;TRUE
163;M0218;;;1;;163;c;TRUE
164;M0219;;;1;;164;c;TRUE
165;M0220;;;1;;165;c;TRUE
166;M0221;;;1;;166;c;TRUE
167;M0222;;;1;;167;c;TRUE
168;M0301;;;1;;168;c;TRUE
169;M0401;;;1;;169;c;TRUE
170;M0402;;;1;;170;c;TRUE
171;M0701;;;1;;171;c;TRUE
172;V1005;;;1;;172;c;TRUE
