int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;V0001;;;2;;2;c;FALSE
3;V0002;;;5;;7;c;FALSE
8;V0011;;;13;;20;c;FALSE
21;V0300;;;8;;28;d;FALSE
29;V0010;;;3;13;44;d;FALSE
45;V1001;;;1;;45;c;TRUE
46;V1002;;;2;;47;c;FALSE
48;V1003;;;3;;50;c;FALSE
51;V1004;;;2;;52;c;FALSE
53;V1006 ;;;1;;53;c;FALSE
54;V0703;;;2;;55;c;TRUE
56;V0704;;;1;;56;c;TRUE
57;V7051;;;3;;59;d;FALSE
60;V7052;;;2;;61;d;FALSE
62;M0703;;;1;;62;c;FALSE
63;M0704;;;1;;63;c;TRUE
64;M7051;;;1;;64;c;TRUE
65;M7052;;;1;;65;c;TRUE
66;V1005;;;1;;66;c;TRUE
