int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;CO_IES;8.;;8;0;8;i;FALSE
9;CO_CATEGORIA_ADMINISTRATIVA;8.;;8;0;16;i;FALSE
17;DS_CATEGORIA_ADMINISTRATIVA;$CHAR100.;;100;0;116;c;TRUE
117;CO_ORGANIZACAO_ACADEMICA;8.;;8;0;124;i;FALSE
125;DS_ORGANIZACAO_ACADEMICA;$CHAR100.;;100;0;224;c;TRUE
225;IN_CAPITAL_IES;8.;;8;0;232;i;FALSE
233;CO_DOCENTE_IES;8.;;8;0;240;i;FALSE
241;CO_DOCENTE;8.;;8;0;248;i;FALSE
249;CO_SITUACAO_DOCENTE;8.;;8;0;256;i;FALSE
257;DS_SITUACAO_DOCENTE;$CHAR50.;;50;0;306;c;TRUE
307;CO_ESCOLARIDADE_DOCENTE;8.;;8;0;314;i;FALSE
315;DS_ESCOLARIDADE_DOCENTE;$CHAR14.;;14;0;328;c;TRUE
329;CO_REGIME_TRABALHO;8.;;8;0;336;i;FALSE
337;DS_REGIME_TRABALHO;$CHAR38.;;38;0;374;c;TRUE
375;IN_SEXO_DOCENTE;8.;;8;0;382;i;FALSE
383;DS_SEXO_DOCENTE;$CHAR9.;;9;0;391;c;TRUE
392;NU_ANO_DOCENTE_NASC;$CHAR4.;;4;0;395;c;TRUE
396;NU_MES_DOCENTE_NASC;$CHAR2.;;2;0;397;c;TRUE
398;NU_DIA_DOCENTE_NASC;$CHAR2.;;2;0;399;c;TRUE
400;NU_IDADE_DOCENTE;8.;;8;0;407;i;FALSE
408;CO_COR_RACA_DOCENTE;8.;;8;0;415;i;FALSE
416;DS_COR_RACA_DOCENTE;$CHAR24.;;24;0;439;c;TRUE
440;CO_PAIS_DOCENTE;8.;;8;0;447;i;FALSE
448;CO_NACIONALIDADE_DOCENTE;8.;;8;0;455;i;FALSE
456;CO_UF_NASCIMENTO;8.;;8;0;463;i;FALSE
464;CO_MUNICIPIO_NASCIMENTO;8.;;8;0;471;i;FALSE
472;IN_DOCENTE_DEFICIENCIA;8.;;8;0;479;i;FALSE
480;IN_CEGUEIRA;8.;;8;0;487;i;FALSE
488;IN_BAIXA_VISAO;8.;;8;0;495;i;FALSE
496;IN_SURDEZ;8.;;8;0;503;i;FALSE
504;IN_DEFICIENCIA_AUDITIVA;8.;;8;0;511;i;FALSE
512;IN_DEFICIENCIA_FISICA;8.;;8;0;519;i;FALSE
520;IN_SURDOCEGUEIRA;8.;;8;0;527;i;FALSE
528;IN_DEFICIENCIA_MULTIPLA;8.;;8;0;535;i;FALSE
536;IN_DEFICIENCIA_INTELECTUAL;8.;;8;0;543;i;FALSE
544;IN_ATU_EAD;8.;;8;0;551;i;FALSE
552;IN_ATU_EXTENSAO;8.;;8;0;559;i;FALSE
560;IN_ATU_GESTAO;8.;;8;0;567;i;FALSE
568;IN_ATU_GRAD_PRESENCIAL;8.;;8;0;575;i;FALSE
576;IN_ATU_POS_EAD;8.;;8;0;583;i;FALSE
584;IN_ATU_POS_PRESENCIAL;8.;;8;0;591;i;FALSE
592;IN_ATU_SEQUENCIAL;8.;;8;0;599;i;FALSE
600;IN_ATU_PESQUISA;8.;;8;0;607;i;FALSE
608;IN_BOLSA_PESQUISA;8.;;8;0;615;i;FALSE
616;IN_SUBSTITUTO;8.;;8;0;623;i;FALSE
624;IN_EXERCICIO_DT_REF;8.;;8;0;631;i;FALSE
632;IN_VISITANTE;8.;;8;0;639;i;FALSE
640;IN_VISITANTE_IFES_VINCULO;8.;;8;0;647;i;FALSE
