int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;8.;;8;0;8;i;FALSE
9;NR_ANO;8.;;8;0;16;i;FALSE
17;CD_CURSO_SEEC;8.;;8;0;24;i;FALSE
25;CD_CURSO;8.;;8;0;32;i;FALSE
33;CODMUNIC;12.;;12;0;44;d;FALSE
45;EH_CAPITAL;$1.;;1;0;45;c;TRUE
46;NO_REGIAO;$15.;;15;0;60;c;TRUE
61;SG_UF_CURSO;2.;;2;0;62;c;FALSE
63;NO_UF;$50.;;50;0;112;c;TRUE
113;NO_CURSO;$40.;;40;0;152;c;TRUE
153;NO_CURSO_HABILITACAO;$40.;;40;0;192;c;TRUE
193;AREACURSO;$10.;;10;0;202;c;TRUE
203;NO_AREA_CONHE;$40.;;40;0;242;c;TRUE
243;IN_LICENC_CURTA;$1.;;1;0;243;c;TRUE
244;IN_LICENC_PLENA;$1.;;1;0;244;c;TRUE
245;IN_BACHARELADO;$1.;;1;0;245;c;TRUE
246;IN_TECNOLOGO;$1.;;1;0;246;c;TRUE
247;IN_OUTRA_MODALIDADE;$1.;;1;0;247;c;TRUE
248;DT_INICIO;8.;;8;0;255;c;FALSE
256;IN_FUNCIONAMENTO;$1.;;1;0;256;c;TRUE
257;IN_REGIME_MATRIC;$1.;;1;0;257;c;TRUE
258;IN_SIST_VESTIBULAR;$1.;;1;0;258;c;TRUE
259;QT_MAT_ANT_DIU_FEMI;8.;;8;0;266;c;FALSE
267;QT_MAT_ANT_DIU_MASC;8.;;8;0;274;c;FALSE
275;QT_MAT_ANT_NOT_FEMI;8.;;8;0;282;c;FALSE
283;QT_MAT_ANT_NOT_MASC;8.;;8;0;290;c;FALSE
291;QT_MAT_ATU_DIU_FEMI;8.;;8;0;298;c;FALSE
299;QT_MAT_ATU_DIU_MASC;8.;;8;0;306;c;FALSE
307;QT_MAT_ATU_NOT_FEMI;8.;;8;0;314;c;FALSE
315;QT_MAT_ATU_NOT_MASC;8.;;8;0;322;c;FALSE
323;QT_DIPLO_1SEM_FEMI;8.;;8;0;330;c;FALSE
331;QT_DIPLO_1SEM_MASC;8.;;8;0;338;c;FALSE
339;QT_DIPLO_2SEM_FEMI;8.;;8;0;346;c;FALSE
347;QT_DIPLO_2SEM_MASC;8.;;8;0;354;c;FALSE
355;QT_ALUNOS_TRANSF;8.;;8;0;362;c;FALSE
363;QT_AFAST_1SEM_TRANCA;8.;;8;0;370;c;FALSE
371;QT_AFAST_1SEM_ABANDONO;8.;;8;0;378;c;FALSE
379;QT_AFAST_2SEM_TRANCA;8.;;8;0;386;c;FALSE
387;QT_AFAST_2SEM_ABANDONO;8.;;8;0;394;c;FALSE
395;QT_VAGAS_DIURNO;8.;;8;0;402;c;FALSE
403;QT_INSC_1OPC_DIURNO;8.;;8;0;410;c;FALSE
411;QT_INSC_2OPC_DIURNO;8.;;8;0;418;c;FALSE
419;QT_APROVADOS_DIURNO;8.;;8;0;426;c;FALSE
427;QT_INGR_VEST_FEMI_DIURNO;8.;;8;0;434;c;FALSE
435;QT_INGR_VEST_MASC_DIURNO;8.;;8;0;442;c;FALSE
443;QT_INGR_OUTROS_FEMI_DIURNO;8.;;8;0;450;c;FALSE
451;QT_INGR_OUTROS_MASC_DIURNO;8.;;8;0;458;c;FALSE
459;QT_VAGAS_NOTURNO;8.;;8;0;466;c;FALSE
467;QT_INSC_1OPC_NOTURNO;8.;;8;0;474;c;FALSE
475;QT_INSC_2OPC_NOTURNO;8.;;8;0;482;c;FALSE
483;QT_APROVADOS_NOTURNO;8.;;8;0;490;c;FALSE
491;QT_INGR_VEST_FEMI_NOTURNO;8.;;8;0;498;c;FALSE
499;QT_INGR_VEST_MASC_NOTURNO;8.;;8;0;506;c;FALSE
507;QT_INGR_OUTROS_FEMI_NOTURNO;8.;;8;0;514;c;FALSE
515;QT_INGR_OUTROS_MASC_NOTURNO;7.;;7;0;521;c;FALSE
