int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;$char8.;;8;0;8;c;TRUE
9;ANO;8.;;8;0;16;i;FALSE
17;ORDEMORGACAD;8.;;8;0;24;i;FALSE
25;NOMEORGACAD;$char100.;;100;0;124;c;TRUE
125;CATEGADM;$char10.;;10;0;134;c;TRUE
135;COD_DEP;8.;;8;0;142;i;FALSE
143;CATADM;$char19.;;19;0;161;c;TRUE
162;CATADMPARTSE;$char1.;;1;0;162;c;TRUE
163;CATADMCOMUN;$char1.;;1;0;163;c;TRUE
164;CATADMCONFESS;$char1.;;1;0;164;c;TRUE
165;CATADMFILANT;$char1.;;1;0;165;c;TRUE
166;CODMUNIC;$char12.;;12;0;177;c;TRUE
178;MUNICIPIO;$char50.;;50;0;227;c;TRUE
228;EH_CAPITAL;$char1.;;1;0;228;c;TRUE
229;COD_UF;$char10.;;10;0;238;c;TRUE
239;NOMEUF;$char50.;;50;0;288;c;TRUE
289;SIGLA;$char2.;;2;0;290;c;TRUE
291;REGIAO;$char15.;;15;0;305;c;TRUE
306;NUMERODEIES;8.;;8;0;313;i;FALSE
314;I30011;15.;;15;0;328;d;FALSE
329;I30012;15.;;15;0;343;d;FALSE
344;I30013;15.;;15;0;358;d;FALSE
359;I30014;15.;;15;0;373;d;FALSE
374;I30015;15.;;15;0;388;d;FALSE
389;I30016;15.;;15;0;403;d;FALSE
404;I30017;15.;;15;0;418;d;FALSE
419;I30018;15.;;15;0;433;d;FALSE
434;I30019;15.;;15;0;448;d;FALSE
449;I30021;15.;;15;0;463;d;FALSE
464;I30022;15.;;15;0;478;d;FALSE
479;I30023;15.;;15;0;493;d;FALSE
494;I30024;15.;;15;0;508;d;FALSE
509;I30025;15.;;15;0;523;d;FALSE
524;I30026;15.;;15;0;538;d;FALSE
539;I30027;15.;;15;0;553;d;FALSE
554;I30028;15.;;15;0;568;d;FALSE
569;I30029;15.;;15;0;583;d;FALSE
584;I30031;15.;;15;0;598;d;FALSE
599;I30032;15.;;15;0;613;d;FALSE
614;I30033;15.;;15;0;628;d;FALSE
629;I30034;15.;;15;0;643;d;FALSE
644;I30035;15.;;15;0;658;d;FALSE
659;I30036;15.;;15;0;673;d;FALSE
674;I30037;15.;;15;0;688;d;FALSE
689;I30038;15.;;15;0;703;d;FALSE
704;I30039;15.;;15;0;718;d;FALSE
719;I30041;15.;;15;0;733;d;FALSE
734;I30042;15.;;15;0;748;d;FALSE
749;I30043;15.;;15;0;763;d;FALSE
764;I30044;15.;;15;0;778;d;FALSE
779;I30045;15.;;15;0;793;d;FALSE
794;I30046;15.;;15;0;808;d;FALSE
809;I30047;15.;;15;0;823;d;FALSE
824;I30048;15.;;15;0;838;d;FALSE
839;I30049;15.;;15;0;853;d;FALSE
854;I30051;15.;;15;0;868;d;FALSE
869;I30052;15.;;15;0;883;d;FALSE
884;I30053;15.;;15;0;898;d;FALSE
899;I30054;15.;;15;0;913;d;FALSE
914;I30055;15.;;15;0;928;d;FALSE
929;I30056;15.;;15;0;943;d;FALSE
944;I30057;15.;;15;0;958;d;FALSE
959;I30058;15.;;15;0;973;d;FALSE
974;I30059;15.;;15;0;988;d;FALSE
989;I30061;15.;;15;0;1003;d;FALSE
1004;I30062;15.;;15;0;1018;d;FALSE
1019;I30063;15.;;15;0;1033;d;FALSE
1034;I30064;15.;;15;0;1048;d;FALSE
1049;I30065;15.;;15;0;1063;d;FALSE
1064;I30066;15.;;15;0;1078;d;FALSE
1079;I30067;15.;;15;0;1093;d;FALSE
1094;I30068;15.;;15;0;1108;d;FALSE
1109;I30069;15.;;15;0;1123;d;FALSE
1124;I30071;15.;;15;0;1138;d;FALSE
1139;I30072;15.;;15;0;1153;d;FALSE
1154;I30073;15.;;15;0;1168;d;FALSE
1169;I30074;15.;;15;0;1183;d;FALSE
1184;I30075;15.;;15;0;1198;d;FALSE
1199;I30076;15.;;15;0;1213;d;FALSE
1214;I30077;15.;;15;0;1228;d;FALSE
1229;I30078;15.;;15;0;1243;d;FALSE
1244;I30079;15.;;15;0;1258;d;FALSE
1259;I30081;15.;;15;0;1273;d;FALSE
1274;I30082;15.;;15;0;1288;d;FALSE
1289;I30083;15.;;15;0;1303;d;FALSE
1304;I30084;15.;;15;0;1318;d;FALSE
1319;I30085;15.;;15;0;1333;d;FALSE
1334;I30086;15.;;15;0;1348;d;FALSE
1349;I30087;15.;;15;0;1363;d;FALSE
1364;I30088;15.;;15;0;1378;d;FALSE
1379;I30089;15.;;15;0;1393;d;FALSE
1394;I31011;15.;;15;0;1408;d;FALSE
1409;I31012;15.;;15;0;1423;d;FALSE
1424;I31013;15.;;15;0;1438;d;FALSE
1439;I31014;15.;;15;0;1453;d;FALSE
1454;I31015;15.;;15;0;1468;d;FALSE
1469;I31016;15.;;15;0;1483;d;FALSE
1484;I31017;15.;;15;0;1498;d;FALSE
1499;I31018;15.;;15;0;1513;d;FALSE
1514;I31019;15.;;15;0;1528;d;FALSE
1529;I31021;15.;;15;0;1543;d;FALSE
1544;I31022;15.;;15;0;1558;d;FALSE
