int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;CO_LOCAL_OFERTA_IES;8.;;8;0;8;i;FALSE
9;CO_IES;8.;;8;0;16;i;FALSE
17;CO_MUNICIPIO_LOCAL_OFERTA;8.;;8;0;24;i;FALSE
25;NO_MUNICIPIO_LOCAL_OFERTA;$CHAR150.;;150;0;174;c;TRUE
175;CO_UF_LOCAL_OFERTA;8.;;8;0;182;i;FALSE
183;SGL_UF_LOCAL_OFERTA;$CHAR2.;;2;0;184;c;TRUE
185;IN_SEDE;8.;;8;0;192;i;FALSE
193;CO_CURSO_POLO;8.;;8;0;200;i;FALSE
201;CO_CURSO;8.;;8;0;208;i;FALSE
209;IN_LOCAL_OFERTA_NEAD;8.;;8;0;216;i;FALSE
217;IN_LOCAL_OFERTA_UAB;8.;;8;0;224;i;FALSE
225;IN_LOCAL_OFERTA_REITORIA;8.;;8;0;232;i;FALSE
233;IN_LOCAL_OFERTA_POLO;8.;;8;0;240;i;FALSE
241;IN_LOCAL_OFERTA_UNID_ACADEMICA;8.;;8;0;248;i;FALSE
