int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO;8.;;8;0;8;i;FALSE
9;IES;8.;;8;0;16;i;FALSE
17;CURSO;8.;;8;0;24;i;FALSE
25;NOME_CURSO;$CHAR200.;;200;0;224;c;TRUE
225;CODMUNIC_CURSO;$CHAR12.;;12;0;236;c;TRUE
237;DTINIFUNCCURSO;8.;;8;0;244;i;FALSE
245;NIVELCURSO;$CHAR10.;;10;0;254;c;TRUE
255;SUBNIVEL;$CHAR10.;;10;0;264;c;TRUE
265;MOD_PRESENC;$CHAR1.;;1;0;265;c;TRUE
266;MOD_DISTANCIA;$CHAR1.;;1;0;266;c;TRUE
267;EH_BACHARELADO;$CHAR1.;;1;0;267;c;TRUE
268;EH_LICENCPLENA;$CHAR1.;;1;0;268;c;TRUE
269;EH_LICCURTA;$CHAR1.;;1;0;269;c;TRUE
270;EH_TECNO;$CHAR1.;;1;0;270;c;TRUE
271;EH_ESPECPROF;$CHAR1.;;1;0;271;c;TRUE
272;AREACURSO;$CHAR10.;;10;0;281;c;TRUE
282;NOMEAREACURSO;$CHAR100.;;100;0;381;c;TRUE
382;CODAREAGERAL;$CHAR10.;;10;0;391;c;TRUE
392;NOMEAREAGERAL;$CHAR100.;;100;0;491;c;TRUE
492;CODAREAESPECIFICA;$CHAR10.;;10;0;501;c;TRUE
502;NOMEAREAESPECIFICA;$CHAR100.;;100;0;601;c;TRUE
602;CODAREADETALHADA;$CHAR10.;;10;0;611;c;TRUE
612;NOMEAREADETALHADA;$CHAR100.;;100;0;711;c;TRUE
712;CODMUNIC;$CHAR12.;;12;0;723;c;TRUE
724;NOME_MUNICIPIO;$CHAR50.;;50;0;773;c;TRUE
774;EH_CAPITAL;$CHAR1.;;1;0;774;c;TRUE
775;COD_UF;$CHAR10.;;10;0;784;c;TRUE
785;NOME_UF;$CHAR50.;;50;0;834;c;TRUE
835;SIGLA_UF_CURSO;$CHAR2.;;2;0;836;c;TRUE
837;REGIAO;$CHAR15.;;15;0;851;c;TRUE
852;CO_ORG;8.;;8;0;859;i;FALSE
860;NOMEORG;$CHAR51.;;51;0;910;c;TRUE
911;CO_REDE;8.;;8;0;918;i;FALSE
919;REDE;$CHAR7.;;7;0;925;c;TRUE
926;CATEGADM;$CHAR10.;;10;0;935;c;TRUE
936;CO_DEP;8.;;8;0;943;i;FALSE
944;NOMEDEP;$CHAR20.;;20;0;963;c;TRUE
964;CATADMPARTSE;$CHAR1.;;1;0;964;c;TRUE
965;CATADMCOMUN;$CHAR1.;;1;0;965;c;TRUE
966;CATADMCONFESS;$CHAR1.;;1;0;966;c;TRUE
967;CATADMFILANT;$CHAR1.;;1;0;967;c;TRUE
968;NUMERODECURSOS;8.;;8;0;975;i;FALSE
976;C201011;8.;;8;0;983;i;FALSE
984;C201012;8.;;8;0;991;i;FALSE
992;C201013;8.;;8;0;999;i;FALSE
1000;C201014;8.;;8;0;1007;i;FALSE
1008;C201015;8.;;8;0;1015;i;FALSE
1016;C201021;8.;;8;0;1023;i;FALSE
1024;C201022;8.;;8;0;1031;i;FALSE
1032;C201023;8.;;8;0;1039;i;FALSE
1040;C201024;8.;;8;0;1047;i;FALSE
1048;C201025;8.;;8;0;1055;i;FALSE
1056;C201034;8.;;8;0;1063;i;FALSE
1064;C201035;8.;;8;0;1071;i;FALSE
1072;C201041;8.;;8;0;1079;i;FALSE
1080;C201042;8.;;8;0;1087;i;FALSE
1088;C201043;8.;;8;0;1095;i;FALSE
1096;C201044;8.;;8;0;1103;i;FALSE
1104;C201045;8.;;8;0;1111;i;FALSE
1112;C201051;8.;;8;0;1119;i;FALSE
1120;C201052;8.;;8;0;1127;i;FALSE
1128;C201053;8.;;8;0;1135;i;FALSE
1136;C201054;8.;;8;0;1143;i;FALSE
1144;C201055;8.;;8;0;1151;i;FALSE
1152;C201064;8.;;8;0;1159;i;FALSE
1160;C201065;8.;;8;0;1167;i;FALSE
1168;C202011;8.;;8;0;1175;i;FALSE
1176;C202012;8.;;8;0;1183;i;FALSE
1184;C202021;8.;;8;0;1191;i;FALSE
1192;C202022;8.;;8;0;1199;i;FALSE
1200;C202031;8.;;8;0;1207;i;FALSE
1208;C202032;8.;;8;0;1215;i;FALSE
1216;C202041;8.;;8;0;1223;i;FALSE
1224;C202042;8.;;8;0;1231;i;FALSE
1232;C202051;8.;;8;0;1239;i;FALSE
1240;C202052;8.;;8;0;1247;i;FALSE
1248;C202061;8.;;8;0;1255;i;FALSE
1256;C202062;8.;;8;0;1263;i;FALSE
1264;C202071;8.;;8;0;1271;i;FALSE
1272;C202072;8.;;8;0;1279;i;FALSE
1280;C202081;8.;;8;0;1287;i;FALSE
1288;C202082;8.;;8;0;1295;i;FALSE
1296;C202091;8.;;8;0;1303;i;FALSE
1304;C202092;8.;;8;0;1311;i;FALSE
1312;C202101;8.;;8;0;1319;i;FALSE
1320;C202102;8.;;8;0;1327;i;FALSE
1328;C202111;8.;;8;0;1335;i;FALSE
1336;C202112;8.;;8;0;1343;i;FALSE
1344;C202121;8.;;8;0;1351;i;FALSE
1352;C202122;8.;;8;0;1359;i;FALSE
1360;C202131;8.;;8;0;1367;i;FALSE
1368;C202132;8.;;8;0;1375;i;FALSE
1376;C202141;8.;;8;0;1383;i;FALSE
1384;C202142;8.;;8;0;1391;i;FALSE
1392;C202151;8.;;8;0;1399;i;FALSE
1400;C202152;8.;;8;0;1407;i;FALSE
1408;C202161;8.;;8;0;1415;i;FALSE
1416;C202162;8.;;8;0;1423;i;FALSE
1424;C202171;8.;;8;0;1431;i;FALSE
1432;C202172;8.;;8;0;1439;i;FALSE
1440;C202181;8.;;8;0;1447;i;FALSE
1448;C202182;8.;;8;0;1455;i;FALSE
1456;C202191;8.;;8;0;1463;i;FALSE
1464;C202192;8.;;8;0;1471;i;FALSE
1472;C202201;8.;;8;0;1479;i;FALSE
1480;C202202;8.;;8;0;1487;i;FALSE
1488;C202211;8.;;8;0;1495;i;FALSE
1496;C202212;8.;;8;0;1503;i;FALSE
1504;C202221;8.;;8;0;1511;i;FALSE
1512;C202222;8.;;8;0;1519;i;FALSE
1520;C203011;8.;;8;0;1527;i;FALSE
1528;C203012;8.;;8;0;1535;i;FALSE
1536;C203021;8.;;8;0;1543;i;FALSE
1544;C203022;8.;;8;0;1551;i;FALSE
1552;C204011;8.;;8;0;1559;i;FALSE
1560;C204012;8.;;8;0;1567;i;FALSE
1568;C204021;8.;;8;0;1575;i;FALSE
1576;C204022;8.;;8;0;1583;i;FALSE
1584;C204031;8.;;8;0;1591;i;FALSE
1592;C204032;8.;;8;0;1599;i;FALSE
1600;C204041;8.;;8;0;1607;i;FALSE
1608;C204042;8.;;8;0;1615;i;FALSE
1616;C204051;8.;;8;0;1623;i;FALSE
1624;C204052;8.;;8;0;1631;i;FALSE
1632;C204061;8.;;8;0;1639;i;FALSE
1640;C204062;8.;;8;0;1647;i;FALSE
1648;C204071;8.;;8;0;1655;i;FALSE
1656;C204072;8.;;8;0;1663;i;FALSE
1664;C204081;8.;;8;0;1671;i;FALSE
1672;C204082;8.;;8;0;1679;i;FALSE
1680;C205011;8.;;8;0;1687;i;FALSE
1688;C205012;8.;;8;0;1695;i;FALSE
1696;C205021;8.;;8;0;1703;i;FALSE
1704;C205022;8.;;8;0;1711;i;FALSE
1712;C206011;8.;;8;0;1719;i;FALSE
1720;C206012;8.;;8;0;1727;i;FALSE
1728;C206021;8.;;8;0;1735;i;FALSE
1736;C206022;8.;;8;0;1743;i;FALSE
1744;C207011;8.;;8;0;1751;i;FALSE
1752;C207021;8.;;8;0;1759;i;FALSE
1760;C207031;8.;;8;0;1767;i;FALSE
1768;C207041;8.;;8;0;1775;i;FALSE
1776;C207051;8.;;8;0;1783;i;FALSE
1784;C207061;8.;;8;0;1791;i;FALSE
1792;C207071;8.;;8;0;1799;i;FALSE
1800;C207081;8.;;8;0;1807;i;FALSE
1808;C210011;8.;;8;0;1815;i;FALSE
1816;C210012;8.;;8;0;1823;i;FALSE
1824;C210013;8.;;8;0;1831;i;FALSE
1832;C210014;8.;;8;0;1839;i;FALSE
1840;C210015;8.;;8;0;1847;i;FALSE
1848;C210016;8.;;8;0;1855;i;FALSE
1856;C210021;8.;;8;0;1863;i;FALSE
1864;C210022;8.;;8;0;1871;i;FALSE
1872;C210023;8.;;8;0;1879;i;FALSE
1880;C210024;8.;;8;0;1887;i;FALSE
1888;C210025;8.;;8;0;1895;i;FALSE
1896;C210026;8.;;8;0;1903;i;FALSE
1904;C210031;8.;;8;0;1911;i;FALSE
1912;C210032;8.;;8;0;1919;i;FALSE
1920;C210033;8.;;8;0;1927;i;FALSE
1928;C210034;8.;;8;0;1935;i;FALSE
1936;C210035;8.;;8;0;1943;i;FALSE
1944;C210036;8.;;8;0;1951;i;FALSE
1952;C210041;8.;;8;0;1959;i;FALSE
1960;C210042;8.;;8;0;1967;i;FALSE
1968;C210043;8.;;8;0;1975;i;FALSE
1976;C210044;8.;;8;0;1983;i;FALSE
1984;C210045;8.;;8;0;1991;i;FALSE
1992;C210046;8.;;8;0;1999;i;FALSE
2000;C210051;8.;;8;0;2007;i;FALSE
2008;C210052;8.;;8;0;2015;i;FALSE
2016;C210053;8.;;8;0;2023;i;FALSE
2024;C210054;8.;;8;0;2031;i;FALSE
2032;C210055;8.;;8;0;2039;i;FALSE
2040;C210056;8.;;8;0;2047;i;FALSE
2048;C211011;8.;;8;0;2055;i;FALSE
2056;C211012;8.;;8;0;2063;i;FALSE
2064;C211013;8.;;8;0;2071;i;FALSE
2072;C211014;8.;;8;0;2079;i;FALSE
2080;C211015;8.;;8;0;2087;i;FALSE
2088;C211016;8.;;8;0;2095;i;FALSE
2096;C211021;8.;;8;0;2103;i;FALSE
2104;C211022;8.;;8;0;2111;i;FALSE
2112;C211023;8.;;8;0;2119;i;FALSE
2120;C211024;8.;;8;0;2127;i;FALSE
2128;C211025;8.;;8;0;2135;i;FALSE
2136;C211026;8.;;8;0;2143;i;FALSE
2144;C211031;8.;;8;0;2151;i;FALSE
2152;C211032;8.;;8;0;2159;i;FALSE
2160;C211033;8.;;8;0;2167;i;FALSE
2168;C211034;8.;;8;0;2175;i;FALSE
2176;C211035;8.;;8;0;2183;i;FALSE
2184;C211036;8.;;8;0;2191;i;FALSE
2192;C211041;8.;;8;0;2199;i;FALSE
2200;C211042;8.;;8;0;2207;i;FALSE
2208;C211043;8.;;8;0;2215;i;FALSE
2216;C211044;8.;;8;0;2223;i;FALSE
2224;C211045;8.;;8;0;2231;i;FALSE
2232;C211046;8.;;8;0;2239;i;FALSE
2240;C211051;8.;;8;0;2247;i;FALSE
2248;C211052;8.;;8;0;2255;i;FALSE
2256;C211053;8.;;8;0;2263;i;FALSE
2264;C211054;8.;;8;0;2271;i;FALSE
2272;C211055;8.;;8;0;2279;i;FALSE
2280;C211056;8.;;8;0;2287;i;FALSE
2288;C215011;$CHAR1.;;1;0;2288;c;TRUE
2289;C215012;8.;;8;0;2296;i;FALSE
2297;C215021;$CHAR1.;;1;0;2297;c;TRUE
2298;C215022;8.;;8;0;2305;i;FALSE
2306;C215031;$CHAR1.;;1;0;2306;c;TRUE
2307;C215032;8.;;8;0;2314;i;FALSE
2315;C215041;$CHAR1.;;1;0;2315;c;TRUE
2316;C215042;8.;;8;0;2323;i;FALSE
2324;C215051;$CHAR1.;;1;0;2324;c;TRUE
2325;C215052;8.;;8;0;2332;i;FALSE
2333;C215061;$CHAR1.;;1;0;2333;c;TRUE
2334;C215062;8.;;8;0;2341;i;FALSE
2342;C215071;$CHAR1.;;1;0;2342;c;TRUE
2343;C215081;$CHAR1.;;1;0;2343;c;TRUE
2344;C215091;$CHAR1.;;1;0;2344;c;TRUE
2345;C215101;$CHAR1.;;1;0;2345;c;TRUE
2346;C215111;$CHAR10.;;10;0;2355;c;TRUE
2356;C215121;$CHAR1.;;1;0;2356;c;TRUE
2357;C216011;8.;;8;0;2364;i;FALSE
2365;C216021;8.;;8;0;2372;i;FALSE
2373;C216031;8.;;8;0;2380;i;FALSE
2381;C216041;8.;;8;0;2388;i;FALSE
2389;C216051;8.;;8;0;2396;i;FALSE
2397;C216061;8.;;8;0;2404;i;FALSE
2405;C216071;8.;;8;0;2412;i;FALSE
2413;C216081;8.;;8;0;2420;i;FALSE
2421;C216091;8.;;8;0;2428;i;FALSE
2429;C216101;8.;;8;0;2436;i;FALSE
2437;C216111;8.;;8;0;2444;i;FALSE
2445;C216121;8.;;8;0;2452;i;FALSE
2453;C216131;8.;;8;0;2460;i;FALSE
2461;C216141;8.;;8;0;2468;i;FALSE
2469;C216151;8.;;8;0;2476;i;FALSE
2477;C216161;8.;;8;0;2484;i;FALSE
2485;C216171;8.;;8;0;2492;i;FALSE
2493;C216181;8.;;8;0;2500;i;FALSE
2501;C216191;8.;;8;0;2508;i;FALSE
2509;C216201;8.;;8;0;2516;i;FALSE
2517;C217011;$CHAR1.;;1;0;2517;c;TRUE
2518;C217021;$CHAR1.;;1;0;2518;c;TRUE
2519;C217031;$CHAR1.;;1;0;2519;c;TRUE
2520;C217041;$CHAR1.;;1;0;2520;c;TRUE
2521;C217051;$CHAR1.;;1;0;2521;c;TRUE
2522;C217061;$CHAR1.;;1;0;2522;c;TRUE
2523;C217071;$CHAR1.;;1;0;2523;c;TRUE
2524;C217081;$CHAR1.;;1;0;2524;c;TRUE
2525;C217091;$CHAR1.;;1;0;2525;c;TRUE
