int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO_CENSO;4.;/*Ano do Censo*/;4;0;4;i;FALSE
5;FK_COD_DOCENTE;12.;/*Código do Docente*/;12;0;16;d;FALSE
17;NU_DIA;2.;/*Data de nascimento - dia*/;2;0;18;i;FALSE
19;NU_MES;2.;/*Data de nascimento - mês*/;2;0;20;i;FALSE
21;NU_ANO;4.;/*Data de nascimento - ano*/;4;0;24;i;FALSE
25;NUM_IDADE;3.;/*Idade1*/;3;0;27;i;FALSE
28;TP_SEXO;$Char1.;/*Sexo*/;1;0;28;c;TRUE
29;TP_COR_RACA;$Char1.;/*Cor/raça*/;1;0;29;c;TRUE
30;TP_NACIONALIDADE;$Char1.;/*Nacionalidade*/;1;0;30;c;TRUE
31;FK_COD_PAIS_ORIGEM;3.;/*Código do País de origem*/;3;0;33;i;FALSE
34;FK_COD_ESTADO_DNASC;2.;/*Código da UF de nascimento*/;2;0;35;i;FALSE
36;SIGLA_ESTADO_DNASC;$Char2.;/*Sigla da UF de nascimento*/;2;0;37;c;TRUE
38;FK_COD_MUNICIPIO_DNASC;7.;/*Código do Município de nascimento*/;7;0;44;i;FALSE
45;FK_COD_ESTADO_DEND;2.;/*Código da UF de residência*/;2;0;46;i;FALSE
47;SIGLA_ESTADO_DEND;$Char2.;/*Sigla da UF de residência*/;2;0;48;c;TRUE
49;FK_COD_MUNICIPIO_DEND;7.;/*Código do Município de residência*/;7;0;55;i;FALSE
56;FK_COD_ESCOLARIDADE;1.;/*Escolaridade*/;1;0;56;i;FALSE
57;COD_CURSO_1;2.;/*Código do curso 1 da escolaridade Superior Completo com e sem licenciatura5*/;2;0;58;i;FALSE
59;COD_CURSO_2;2.;/*Código do curso 2 da escolaridade Superior Completo com e sem licenciatura5*/;2;0;60;i;FALSE
61;COD_CURSO_3;2.;/*Código do curso 3 da escolaridade Superior Completo com e sem licenciatura5*/;2;0;62;i;FALSE
63;ID_QUIMICA;$Char1.;/*Disciplinas - Química*/;1;0;63;c;TRUE
64;ID_FISICA;$Char1.;/*Disciplinas - Física*/;1;0;64;c;TRUE
65;ID_MATEMATICA;$Char1.;/*Disciplinas - Matemática*/;1;0;65;c;TRUE
66;ID_BIOLOGIA;$Char1.;/*Disciplinas - Biologia*/;1;0;66;c;TRUE
67;ID_CIENCIAS;$Char1.;/*Disciplinas - Ciências*/;1;0;67;c;TRUE
68;ID_LINGUA_LITERAT_PORTUGUESA;$Char1.;/*Disciplinas - Língua / Literatura Portuguesa*/;1;0;68;c;TRUE
