int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;8.;;8;0;8;i;FALSE
9;ANO;5.;;5;0;13;i;FALSE
17;CODMUNIC;$12.;;12;0;28;c;TRUE
29;UF;$50.;;50;0;78;c;TRUE
79;SIGLA;$2.;;2;0;80;c;TRUE
81;MUNIC;$50.;;50;0;130;c;TRUE
131;DEP;$10.;;10;0;140;c;TRUE
141;LOC;$10.;;10;0;150;c;TRUE
151;CODFUNC;$11.;;11;0;161;c;TRUE
162;UNID_EXEC;$1.;;1;0;162;c;TRUE
163;NIVELCRE;$1.;;1;0;163;c;TRUE
164;NIVELPRE;$1.;;1;0;164;c;TRUE
165;NIV_F1A4_8;$1.;;1;0;165;c;TRUE
166;NIV_F5A8_8;$1.;;1;0;166;c;TRUE
167;NIVELMEDIO;$1.;;1;0;167;c;TRUE
168;NIVELMEDPR;$1.;;1;0;168;c;TRUE
169;SUPL_AVA;$1.;;1;0;169;c;TRUE
170;SUPL_P_EXA;$1.;;1;0;170;c;TRUE
171;ESP_EXCL;$1.;;1;0;171;c;TRUE
172;ESP_T_ES;$1.;;1;0;172;c;TRUE
173;ESP_ALU;$8.;;8;0;180;c;TRUE
181;ED_IN_LM;$1.;;1;0;181;c;TRUE
182;ED_IN_LP;$1.;;1;0;182;c;TRUE
183;REGULAM;$1.;;1;0;183;c;TRUE
184;PRED_ESC;$1.;;1;0;184;c;TRUE
185;TEMPLO;$1.;;1;0;185;c;TRUE
186;SALA_PROF;$1.;;1;0;186;c;TRUE
187;CAS_PROF;$1.;;1;0;187;c;TRUE
188;OUTR_ESC;$1.;;1;0;188;c;TRUE
189;GALPAO;$1.;;1;0;189;c;TRUE
190;OUTR_INS;$1.;;1;0;190;c;TRUE
191;PROP_FED;$1.;;1;0;191;c;TRUE
192;PROP_EST;$1.;;1;0;192;c;TRUE
193;PROP_MUN;$1.;;1;0;193;c;TRUE
194;PROP_PAR;$1.;;1;0;194;c;TRUE
195;PROPRIO;$1.;;1;0;195;c;TRUE
196;ALUGADO;$1.;;1;0;196;c;TRUE
197;CEDIDO;$1.;;1;0;197;c;TRUE
198;TERRENO;8.2;;8;2;205;d;FALSE
206;AREA_CONST;8.2;;8;2;213;d;FALSE
214;PAVIMENTOS;7.;;7;0;220;i;FALSE
