int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;MASCARA;8.;/*	Mascara da Escola	*/;8;0;8;i;FALSE
9;ANO;5.;/*	Ano do Censo Escolar	*/;5;0;13;i;FALSE
17;CODMUNIC;$12.;/*	Código do Município	*/;12;0;28;c;TRUE
29;UF;$50.;/*	Nome da Unidade Federativa	*/;50;0;78;c;TRUE
79;SIGLA;$2.;/*	Sigla da UF	*/;2;0;80;c;TRUE
81;MUNIC;$50.;/*	Nome do Município	*/;50;0;130;c;TRUE
131;DEP;$10.;/*	Dependência Administrativa	*/;10;0;140;c;TRUE
141;LOC;$10.;/*	Localização / Zona da Escola	*/;10;0;150;c;TRUE
151;CODFUNC;$11.;/*	Condição de Funcionamento	*/;11;0;161;c;TRUE
162;NIVELCRE;$1.;/*	Nivel/Modalidade de Ensino oferecido -  Educação Infantil - Creche	*/;1;0;162;c;TRUE
163;NIVELPRE;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação Infantil - Pré-Escola	*/;1;0;163;c;TRUE
164;NIVELCA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Classe de Alfabetização	*/;1;0;164;c;TRUE
165;NIV_F1A4_8;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Fundamental em 8 anos- 1ª a 4ª série	*/;1;0;165;c;TRUE
166;NIV_F5A8_8;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Fundamental em 8 anos - 5ª a 8ª série	*/;1;0;166;c;TRUE
167;NIVELMEDIO;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Médio	*/;1;0;167;c;TRUE
168;NIVELMEDPR;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Médio - Profissionalizante	*/;1;0;168;c;TRUE
169;EDPROFIS;$1.;/*	Nivel/Modalidade de Ensino oferecido - Ensino Médio - Educação Profissional	*/;1;0;169;c;TRUE
170;SUPL_AVA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação de Jovens e Adultos - Curso Presencial	*/;1;0;170;c;TRUE
171;SUPL_P_EXA;$1.;/*	Nivel/Modalidade de Ensino oferecido - Educação de Jovens e Adultos - Curso Preparatório	*/;1;0;171;c;TRUE
172;ESP_EXCL;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Exclusivamente de Educação Especial	*/;1;0;172;c;TRUE
173;ESP_T_ES;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola de Ensino Regular com Classe Especial	*/;1;0;173;c;TRUE
174;ESP_S_R;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Inclusiva com apoio de Sala de Recursos	*/;1;0;174;c;TRUE
175;ESP_A_IN;$1.;/*	Nivel/Modalidade de Ensino oferecido - Escola Inclusiva sem apoio de Sala de Recursos	*/;1;0;175;c;TRUE
176;ED_IN_LM;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Lingua em que o ensino é ministrado/Lingua Indigena	*/;1;0;176;c;TRUE
177;ED_IN_LP;$1.;/*	Escolas destinadas ao atendimento exclusivo de educandos de comunidade indigenas - Lingua em que o ensino é ministrado/Lingua Portuguesa	*/;1;0;177;c;TRUE
178;REGULAM;$1.;/*	Regulamentação	*/;1;0;178;c;TRUE
179;PRED_ESC;$1.;/*	Local de Funcionamento da Escola / Prédio escolar	*/;1;0;179;c;TRUE
180;TEMPLO;$1.;/*	Local de Funcionamento da Escola /Templo/Igreja	*/;1;0;180;c;TRUE
181;EMPRESA;$1.;/*	Local de Funcionamento da Escola /Salas de empresas	*/;1;0;181;c;TRUE
182;CAS_PROF;$1.;/*	Local de Funcionamento da Escola /Casa do professor	*/;1;0;182;c;TRUE
