int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO;5.;/*	Ano do Censo Escolar	*/;5;0;5;i;FALSE
6;CODUNGE;$CHAR12.;/*  Código da unidade geográfica */;12;0;17;c;TRUE
18;NOME;$CHAR50.;/*  Nome da unidade geográfica */;50;0;67;c;TRUE
68;DEP;$CHAR10.;/*	Dependência Administrativa	*/;10;0;77;c;TRUE
78;LOC;$CHAR10.;/*	Localização/Zona da Escola	*/;10;0;87;c;TRUE
88;IEI00001;6.1;/*	Número Médio de Horas-Aula Diária na Creche 	*/;6;1;93;d;FALSE
94;IEI00002;6.1;/*	Número Médio de Horas-Aula Diária na Pré-Escola 	*/;6;1;99;d;FALSE
100;IEI00003;6.1;/*	Percentual de Alunos no Turno Noturno na Creche	*/;6;1;105;d;FALSE
106;IEI00004;6.1;/*	Percentual de Alunos no Turno Noturno na Pré-Escola	*/;6;1;111;d;FALSE
112;IEI00005;6.1;/*	Número Médio de Alunos por Turma na Creche	*/;6;1;117;d;FALSE
118;IEI00006;6.1;/*	Número Médio de Alunos por Turma na Pré-Escola	*/;6;1;123;d;FALSE
124;IEI00007;6.1;/*	Percentual de Matrículas do Sexo Feminino na Creche	*/;6;1;129;d;FALSE
130;IEI00008;6.1;/*	Percentual de Matrículas do Sexo Feminino na Pré-Escola	*/;6;1;135;d;FALSE
136;IEI00009;6.1;/*	Idade Mediana que o Aluno Completa no Ano na Creche 	*/;6;1;141;d;FALSE
142;IEI00010;6.1;/*	Idade Mediana que o Aluno Completa no Ano na Pré-Escola 	*/;6;1;147;d;FALSE
148;IEI00011;6.1;/*	Percentual de Docentes com Curso Superior na Creche	*/;6;1;153;d;FALSE
154;IEI00012;6.1;/*	Percentual de Docentes com Curso Superior na Pré-Escola	*/;6;1;159;d;FALSE
160;ICA00001;6.1;/*	Número Médio de Horas-Aula Diária na Classe de Alfabetização 	*/;6;1;165;d;FALSE
166;ICA00002;6.1;/*	Percentual de Alunos no Turno Noturno na Classe de Alfabetização	*/;6;1;171;d;FALSE
172;ICA00003;6.1;/*	Número Médio de Alunos por Turma na Classe de Alfabetização	*/;6;1;177;d;FALSE
178;ICA00004;6.1;/*	Percentual de Matrículas do Sexo Feminino na Classe de Alfabetização	*/;6;1;183;d;FALSE
184;ICA00005;6.1;/*	Idade Mediana que o Aluno Completa no Ano na Classe de Alfabetização	*/;6;1;189;d;FALSE
190;ICA00006;6.1;/*	Percentual de Docentes com Curso Superior na Classe de Alfabetização	*/;6;1;195;d;FALSE
