int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO_CENSO;8.;/*Ano do Censo*/;8;0;8;i;FALSE
9;PK_COD_MATRICULA;16.;/*Código da matrícula*/;16;0;24;d;FALSE
25;FK_COD_ALUNO;16.;/*Código do aluno (ID_INEP)*/;16;0;40;d;FALSE
41;NU_DIA;6.;/*Data de nascimento - dia*/;6;0;46;i;FALSE
47;NU_MES;6.;/*Data de nascimento - mês*/;6;0;52;i;FALSE
53;NU_ANO;8.;/*Data de nascimento - ano*/;8;0;60;i;FALSE
61;NUM_IDADE;8.;/*Idade1*/;8;0;68;i;FALSE
69;TP_SEXO;$Char1.;/*Sexo*/;1;0;69;c;TRUE
70;TP_COR_RACA;$Char1.;/*Cor/raça*/;1;0;70;c;TRUE
71;TP_NACIONALIDADE;$Char1.;/*Nacionalidade*/;1;0;71;c;TRUE
72;FK_COD_PAIS_ORIGEM;7.;/*Código País de origem*/;7;0;78;i;FALSE
79;FK_COD_ESTADO_NASC;6.;/*Código UF de nascimento*/;6;0;84;i;FALSE
85;SGL_UF_NASCIMENTO;$Char2.;/*Sigla da UF de nascimento*/;2;0;86;c;TRUE
87;FK_COD_MUNICIPIO_DNASC;16.;/*Código Município de nascimento*/;16;0;102;d;FALSE
103;FK_COD_ESTADO_END;6.;/*Código UF de residência*/;6;0;108;i;FALSE
109;SIGLA_END;$2.;/*Sigla UF de residência*/;2;0;110;c;TRUE
111;FK_COD_MUNICIPIO_END;16.;/*Código Município de residência*/;16;0;126;d;FALSE
127;ID_ZONA_RESIDENCIAL;$Char1.;/*Localização/Zona de residência*/;1;0;127;c;TRUE
128;ID_TIPO_ATENDIMENTO;$Char1.;/*Atendimento escolar diferenciado*/;1;0;128;c;TRUE
129;ID_N_T_E_P;$Char1.;/*Transporte escolar público*/;1;0;129;c;TRUE
130;ID_RESPONSAVEL_TRANSPORTE;$Char1.;/*Poder público responsável pelo transporte escolar*/;1;0;130;c;TRUE
131;ID_POSSUI_NEC_ESPECIAL;$Char1.;/*Necessidades educacionais especiais*/;1;0;131;c;TRUE
132;ID_TIPO_NEC_ESP_CEGUEIRA;$Char1.;/*Tipo de necessidade educacional especial (cegueira)*/;1;0;132;c;TRUE
133;ID_TIPO_NEC_ESP_BAIXA_VISAO;$Char1.;/*Tipo de necessidade educacional especial (baixa visão)*/;1;0;133;c;TRUE
134;ID_TIPO_NEC_ESP_SURDEZ;$Char1.;/*Tipo de necessidade educacional especial (surdez)*/;1;0;134;c;TRUE
135;ID_TIPO_NEC_ESP_DEF_AUDITIVA;$Char1.;/*Tipo de necessidade educacional especial (deficiência auditiva)*/;1;0;135;c;TRUE
136;ID_TIPO_NEC_ESP_SURDO_CEGUEIRA;$Char1.;/*Tipo de necessidade educacional especial (surdocegueira)*/;1;0;136;c;TRUE
137;ID_TIPO_NEC_ESP_DEF_FISICA;$Char1.;/*Tipo de necessidade educacional especial (deficiência física)*/;1;0;137;c;TRUE
138;ID_TIPO_NEC_ESP_DEF_MENTAL;$Char1.;/*Tipo de necessidade educacional especial (deficiência mental)*/;1;0;138;c;TRUE
139;ID_TIPO_NEC_ESP_TRANSTORNOS;$Char1.;/*Tipo de necessidade educacional especial (transtornos invasivos (globais) do desenvolvimento)*/;1;0;139;c;TRUE
140;ID_TIPO_NEC_ESP_SINDROME_DOWN;$Char1.;/*Tipo de necessidade educacional especial (síndrome de Down)*/;1;0;140;c;TRUE
141;ID_TIPO_NEC_ESP_DEF_MULTIPLAS;$Char1.;/*Tipo de necessidade educacional especial (deficiência múltipla)*/;1;0;141;c;TRUE
