int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;ANO_CENSO;4.;/*Ano do Censo*/;4;0;4;i;FALSE
5;PK_COD_TURMA;10.;/*Código da Turma*/;10;0;14;d;FALSE
15;NO_TURMA;$Char80.;/*Nome da Turma*/;80;0;94;c;TRUE
95;HR_INICIAL;$Char2.;/*Hora Inicial*/;2;0;96;c;TRUE
97;HR_INICIAL_MINUTO;$Char2.;/*Hora Inicial - Minuto*/;2;0;98;c;TRUE
99;NU_DURACAO_TURMA;3.;/*Duração de funcionamento da Turma - Minutos*/;3;0;101;i;FALSE
102;NUM_MATRICULAS;3.;/*Número de matrículas*/;3;0;104;i;FALSE
105;FK_COD_MOD_ENSINO;2.;/*Modalidade*/;2;0;106;i;FALSE
107;FK_COD_ETAPA_ENSINO;3.;/*Etapa*/;3;0;109;i;FALSE
110;FK_COD_CURSO_PROF;8.;/*Curso da Educação Profissional*/;8;0;117;i;FALSE
118;FK_COD_TIPO_TURMA;2.;/*Tipo de atendimento*/;2;0;119;i;FALSE
120;ID_QUIMICA;$Char1.;/*Disciplinas - Química*/;1;0;120;c;TRUE
121;ID_FISICA;$Char1.;/*Disciplinas - Física*/;1;0;121;c;TRUE
122;ID_MATEMATICA;$Char1.;/*Disciplinas - Matemática*/;1;0;122;c;TRUE
123;ID_BIOLOGIA;$Char1.;/*Disciplinas - Biologia*/;1;0;123;c;TRUE
124;ID_CIENCIAS;$Char1.;/*Disciplinas - Ciências*/;1;0;124;c;TRUE
125;ID_LINGUA_LITERAT_PORTUGUESA;$Char1.;/*Disciplinas - Língua / Literatura Portuguesa*/;1;0;125;c;TRUE
126;ID_LINGUA_LITERAT_INGLES;$Char1.;/*Disciplinas - Língua / Literatura estrangeira - Inglês*/;1;0;126;c;TRUE
127;ID_LINGUA_LITERAT_ESPANHOL;$Char1.;/*Disciplinas - Língua / Literatura estrangeira - Espanhol*/;1;0;127;c;TRUE
128;ID_LINGUA_LITERAT_OUTRA;$Char1.;/*Disciplinas - Língua / Literatura estrangeira - Outra*/;1;0;128;c;TRUE
129;ID_ARTES;$Char1.;/*Disciplinas - Artes (Educação Artística, Teatro, Dança, Música, Artes Plásticas e outras)*/;1;0;129;c;TRUE
130;ID_EDUCACAO_FISICA;$Char1.;/*Disciplinas - Educação Física*/;1;0;130;c;TRUE
131;ID_HISTORIA;$Char1.;/*Disciplinas - História*/;1;0;131;c;TRUE
132;ID_GEOGRAFIA;$Char1.;/*Disciplinas - Geografia*/;1;0;132;c;TRUE
133;ID_FILOSOFIA;$Char1.;/*Disciplinas - Filosofia*/;1;0;133;c;TRUE
134;ID_ESTUDOS_SOCIAIS;$Char1.;/*Disciplinas - Estudos Sociais / Sociologia*/;1;0;134;c;TRUE
135;ID_INFORMATICA_COMPUTACAO;$Char1.;/*Disciplinas - Informática / Computação*/;1;0;135;c;TRUE
136;ID_PROFISSIONALIZANTE;$Char1.;/*Disciplinas - Disciplinas profissionalizantes*/;1;0;136;c;TRUE
137;ID_DIDATICA_METODOLOGIA;$Char1.;/*Disciplinas - Didática, Metodologia, Prática de Ensino, Supervisão de Estágio (Disciplinas pedagógicas)*/;1;0;137;c;TRUE
138;ID_FUNDAMENTOS_EDUCACAO;$Char1.;/*Disciplinas - Fundamentos da Educação, Estrutura e Funcionamento do Sistema Educacional Brasileiro (Disciplinas pedagógicas)*/;1;0;138;c;TRUE
139;ID_DISC_ATENDIMENTO_ESPECIAIS;$Char1.;/*Disciplinas - Disciplinas voltadas ao atendimento de necessidades especiais (Disciplinas pedagógicas)*/;1;0;139;c;TRUE
140;ID_DISC_DIVERSIDADE_SOCIO_CULT;$Char1.;/*Disciplinas - Disciplinas voltadas à diversidade sócio-cultural (Disciplinas pedagógicas)*/;1;0;140;c;TRUE
141;ID_OUTRAS_DISCIPLINAS_PEDAG;$Char1.;/*Disciplinas - Outras disciplinas pedagógicas*/;1;0;141;c;TRUE
142;ID_LIBRAS;$Char1.;/*Disciplinas - Libras*/;1;0;142;c;TRUE
143;ID_OUTRAS_DISCIPLINAS;$Char1.;/*Disciplinas - Outras disciplinas*/;1;0;143;c;TRUE
144;PK_COD_ENTIDADE;8.;/*Código da Escola*/;8;0;151;i;FALSE
152;FK_COD_ESTADO;2.;/*Código da UF da escola*/;2;0;153;i;FALSE
154;SIGLA;$Char2.;/*Sigla da UF da escola*/;2;0;155;c;TRUE
156;FK_COD_MUNICIPIO;7.;/*Código do Município da escola*/;7;0;162;i;FALSE
163;ID_LOCALIZACAO;$Char1.;/*Localização (Escola)*/;1;0;163;c;TRUE
164;ID_DEPENDENCIA_ADM;$Char1.;/*Dependência Administrativa (Escola)*/;1;0;164;c;TRUE
165;DESC_CATEGORIA_ESCOLA_PRIVADA;$Char1.;/*Categoria da escola privada*/;1;0;165;c;TRUE
166;ID_CONVENIADA_PP;$Char1.;/*Conveniada com o poder público (Escola)*/;1;0;166;c;TRUE
167;ID_MANT_ESCOLA_PRIVADA_EMP;$Char1.;/*Mantenedora da escola privada - Empresa, grupo empresarial do setor privado ou pessoa física*/;1;0;167;c;TRUE
168;ID_MANT_ESCOLA_PRIVADA_ONG;$Char1.;/*Mantenedora da escola privada - Organização não governamental - ONG internacional ou nacional*/;1;0;168;c;TRUE
169;ID_MANT_ESCOLA_PRIVADA_SIND;$Char1.;/*Mantenedora da escola privada - Sindicatos de trabalhadores ou patronais, associações, cooperativas e sistema S*/;1;0;169;c;TRUE
170;ID_MANT_ESCOLA_PRIVADA_APAE;$Char1.;/*Mantenedora da escola privada - Apae/Pestalozzi*/;1;0;170;c;TRUE
171;ID_DOCUMENTO_REGULAMENTACAO;$Char1.;/*Regulamentação no conselho ou órgão municipal, estadual ou federal de educação*/;1;0;171;c;TRUE
172;ID_LOCALIZACAO_DIFERENCIADA;$Char1.;/*Localização diferenciada da escola*/;1;0;172;c;TRUE
173;ID_EDUCACAO_INDIGENA;$Char1.;/*Educação Indígena*/;1;0;173;c;TRUE
