V1;int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;1;V0101;$CHAR2.;;2;0;2;c;TRUE
2;3;UF;$CHAR2.;;2;0;4;c;TRUE
3;5;CONTROL;$CHAR6.;;6;0;10;c;TRUE
4;11;V0103;$CHAR3.;;3;0;13;c;TRUE
5;14;V0104;$CHAR2.;;2;0;15;c;TRUE
6;16;V0105;2.;;2;0;17;i;FALSE
7;18;V0106;2.;;2;0;19;i;FALSE
8;20;V0201;$CHAR1.;;1;0;20;c;TRUE
9;21;V0202;$CHAR1.;;1;0;21;c;TRUE
10;22;V0203;$CHAR1.;;1;0;22;c;TRUE
11;23;V0204;$CHAR1.;;1;0;23;c;TRUE
12;24;V0205;2.;;2;0;25;i;FALSE
13;26;V0206;2.;;2;0;27;i;FALSE
14;28;V0207;$CHAR1.;;1;0;28;c;TRUE
15;29;V0208;12.;;12;0;40;d;FALSE
16;41;V2081;$CHAR1.;;1;0;41;c;TRUE
17;42;V0209;12.;;12;0;53;d;FALSE
18;54;V2091;$CHAR1.;;1;0;54;c;TRUE
19;55;V0210;$CHAR1.;;1;0;55;c;TRUE
20;56;V0211;$CHAR1.;;1;0;56;c;TRUE
21;57;V0212;$CHAR1.;;1;0;57;c;TRUE
22;58;V0213;$CHAR1.;;1;0;58;c;TRUE
23;59;V0214;$CHAR1.;;1;0;59;c;TRUE
24;60;V0215;$CHAR1.;;1;0;60;c;TRUE
25;61;V0216;$CHAR1.;;1;0;61;c;TRUE
26;62;V0217;$CHAR1.;;1;0;62;c;TRUE
27;63;V0218;$CHAR1.;;1;0;63;c;TRUE
28;64;V0219;$CHAR1.;;1;0;64;c;TRUE
29;65;V0220;$CHAR1.;;1;0;65;c;TRUE
30;66;V0221;$CHAR1.;;1;0;66;c;TRUE
31;67;V0222;$CHAR1.;;1;0;67;c;TRUE
32;68;V0223;$CHAR1.;;1;0;68;c;TRUE
33;69;V0224;$CHAR1.;;1;0;69;c;TRUE
34;70;V0225;$CHAR1.;;1;0;70;c;TRUE
35;71;V0226;$CHAR1.;;1;0;71;c;TRUE
36;72;V0227;$CHAR1.;;1;0;72;c;TRUE
37;73;V0228;$CHAR1.;;1;0;73;c;TRUE
38;74;V0229;$CHAR1.;;1;0;74;c;TRUE
39;75;V0230;$CHAR1.;;1;0;75;c;TRUE
40;76;V4105;$CHAR1.;;1;0;76;c;TRUE
41;77;V4106;$CHAR1.;;1;0;77;c;TRUE
42;78;V4107;$CHAR1.;;1;0;78;c;TRUE
43;79;V4600;$CHAR2.;;2;0;80;c;TRUE
44;81;V4601;$CHAR2.;;2;0;82;c;TRUE
45;83;V4602;$CHAR2.;;2;0;84;c;TRUE
46;85;V4604;2.;;2;0;86;i;FALSE
47;87;V4605;12.10;;12;10;98;d;FALSE
48;99;V4606;3.;;3;0;101;i;FALSE
49;102;V4607;12.10;;12;10;113;d;FALSE
50;114;V4608;9.2;;9;2;122;d;FALSE
51;123;V4609;9.;;9;0;131;i;FALSE
52;132;V4610;3.;;3;0;134;i;FALSE
53;135;V4611;5.;;5;0;139;i;FALSE
54;140;V4614;12.;;12;0;151;d;FALSE
55;152;BRANCOS;$CHAR14.;;14;0;165;c;TRUE
