int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;Ano;$4.;/* Ano de referência */;4;0;4;c;TRUE
5;Trimestre;$1.;/* Trimestre de referência */;1;0;5;c;TRUE
6;UF;$2.;/* Unidade da Federação */;2;0;7;c;TRUE
8;Capital;$2.;/* Município da Capital */;2;0;9;c;TRUE
10;RM_RIDE;$2.;/* Reg. Metr. e Reg. Adm. Int. Des. */;2;0;11;c;TRUE
12;UPA;$9.;/* Unidade Primária de Amostragem */;9;0;20;c;TRUE
21;Estrato;$7.;/* Estrato */;7;0;27;c;TRUE
28;V1008;$2.;/* Número de seleção do domicílio */;2;0;29;c;TRUE
30;V1014;$2.;/* Painel */;2;0;31;c;TRUE
32;V1016;$1.;/* Número da entrevista no domicílio */;1;0;32;c;TRUE
33;V1022;$1.;/* Tipo de situa��o da região */;1;0;33;c;TRUE
34;V1023;$1.;/* Tipo de área */;1;0;34;c;TRUE
35;V1027;15.;/* Peso SEM pós estratificação */;15;0;49;d;FALSE
50;V1028;15.;/* Peso COM pós estratificação */;15;0;64;d;FALSE
65;V1029;9.;/* Projeção da população */;9;0;73;i;FALSE
74;posest;$3.;/* Domínios de projeção */;3;0;76;c;TRUE
77;V2001;2.;/* Número de pessoas no domicílio */;2;0;78;i;FALSE
79;V2003;$2.;/* Número de ordem */;2;0;80;c;TRUE
81;V2005;$2.;/* Condição no domicílio */;2;0;82;c;TRUE
83;V2007;$1.;/* Sexo */;1;0;83;c;TRUE
84;V2008;$2.;/* Dia de nascimento */;2;0;85;c;TRUE
86;V20081;$2.;/* Mês de nascimento */;2;0;87;c;TRUE
88;V20082;$4.;/* Ano de nascimento */;4;0;91;c;TRUE
92;V2009;3.;/* Idade na data de referência */;3;0;94;i;FALSE
95;V2010;$1.;/* Cor ou raça */;1;0;95;c;TRUE
96;V3001;$1.;/* Sabe ler e escrever */;1;0;96;c;TRUE
97;V3002;$1.;/* Frequenta escola */;1;0;97;c;TRUE
98;V3002A;$1.;/* A escola que ... frequenta é de */;1;0;98;c;TRUE
99;V3003;$2.;/* Qual é o curso que frequenta */;2;0;100;c;TRUE
101;V3003A;$2.;/* Qual é o curso que frequenta */;2;0;102;c;TRUE
103;V3004;$1.;/* Duração deste curso que requenta */;1;0;103;c;TRUE
104;V3005;$1.;/* Curso que frequenta é seriado */;1;0;104;c;TRUE
105;V3005A;$1.;/* Curso que freq é organizado em: */;1;0;105;c;TRUE
106;V3006;$2.;/* Qual é o ano/série que frequenta */;2;0;107;c;TRUE
108;V3007;$1.;/* Concluiu outro curso de graduação */;1;0;108;c;TRUE
109;V3008;$1.;/* Anteriormente frequentou escola */;1;0;109;c;TRUE
110;V3009;$2.;/* Curso mais elevado que frequentou */;2;0;111;c;TRUE
