var_name;int_pos;fin_pos;length;x;label;decimal_places;col_type;CHAR
Ano;1;4;4;$4.;/* Ano de referência */          ;0;c;TRUE
Trimestre;5;5;1;$1.;/* Trimestre de referência */          ;0;c;TRUE
UF;6;7;2;$2.;/* Unidade da Federação */          ;0;c;TRUE
Capital;8;9;2;$2.;/* Município da Capital */          ;0;c;TRUE
RM_RIDE;10;11;2;$2.;/* Reg. Metr. e Reg. Adm. Int. Des. */      ;0;c;TRUE
UPA;12;20;9;$9.;/* Unidade Primária de Amostragem */         ;0;c;TRUE
Estrato;21;27;7;$7.;/* Estrato */            ;0;c;TRUE
V1008;28;29;2;$2.;/* Número de seleção do domicílio */        ;0;c;TRUE
V1014;30;31;2;$2.;/* Painel */            ;0;c;TRUE
V1022;32;32;1;$1.;/* Tipo de situação da região */        ;0;c;TRUE
V1023;33;33;1;$1.;/* Tipo de área */          ;0;c;TRUE
V1030;34;42;9;9.;/* Projeção da população */          ;0;i;FALSE
V1031;43;57;15;15.;/* Peso SEM pós estratificação */         ;8;d;FALSE
V1032;58;72;15;15.;/* Peso COM pós estratificação */         ;8;d;FALSE
posest;73;75;3;$3.;/* Domínios de projeção */          ;0;c;TRUE
V2001;76;77;2;2.;/* Número de pessoas no domicílio */        ;0;i;FALSE
V2003;78;79;2;$2.;/* Número de ordem */          ;0;c;TRUE
V2005;80;81;2;$2.;/* Condição no domicílio */          ;0;c;TRUE
V2007;82;82;1;$1.;/* Sexo */            ;0;c;TRUE
V2008;83;84;2;$2.;/* Dia de nascimento */          ;0;c;TRUE
V20081;85;86;2;$2.;/* Mês de nascimento */          ;0;c;TRUE
V20082;87;90;4;$4.;/* Ano de nascimento */          ;0;c;TRUE
V2009;91;93;3;3.;/* Idade na data de referência */        ;0;i;FALSE
V2010;94;94;1;$1.;/* Cor ou raça */          ;0;c;TRUE
V3001;95;95;1;$1.;/* Sabe ler e escrever */         ;0;c;TRUE
V3002;96;96;1;$1.;/* Frequenta escola */           ;0;c;TRUE
V3002A;97;97;1;$1.;/* A escola que ... frequenta é de */      ;0;c;TRUE
V3003A;98;99;2;$2.;/* Qual é o curso que frequenta */       ;0;c;TRUE
V3004;100;100;1;$1.;/* Duração deste curso que requenta */        ;0;c;TRUE
V3005A;101;101;1;$1.;/* Curso que freq é organizado em: */       ;0;c;TRUE
V3006;102;103;2;$2.;/* Qual é o ano/série que frequenta */       ;0;c;TRUE
V3006A;104;104;1;$1.;/* Qual é a etapa do ensino fund que frequenta? */;0;c;TRUE
V3007;105;105;1;$1.;/* Concluiu outro curso de graduação */        ;0;c;TRUE
V3008;106;106;1;$1.;/* Anteriormente frequentou escola */          ;0;c;TRUE
V3009A;107;108;2;$2.;/* Curso mais elevado que frequentou */        ;0;c;TRUE
V3010;109;109;1;$1.;/* Duração do curso que frequentou */        ;0;c;TRUE
V3011A;110;110;1;$1.;/* Curso que freq é organizado em: */       ;0;c;TRUE
V3012;111;111;1;$1.;/* Aprovado na prim. série do curso */       ;0;c;TRUE
V3013;112;113;2;$2.;/* Último ano/série que concluiu */         ;0;c;TRUE
V3013A;114;114;1;$1.;/* Qual foi a etapa de ensino fund que .. frequentou? */;0;c;TRUE
V3013B;115;115;1;$1.;/* ... Concluiu os anos iniciais deste curso que frequentou anteriormente? */;0;c;TRUE
V3014;116;116;1;$1.;/* Concluiu o curso que frequentou */        ;0;c;TRUE
V4001;117;117;1;$1.;/* Trabalhou 1 hr em ativ. remunerd. */       ;0;c;TRUE
V4002;118;118;1;$1.;/* Trabalhou 1 hr em produtos etc... */       ;0;c;TRUE
V4003;119;119;1;$1.;/* Fez algum bico pelo menos de 1 hr */     ;0;c;TRUE
V4004;120;120;1;$1.;/* Ajudou sem receber no domic. 1 hr */      ;0;c;TRUE
V4005;121;121;1;$1.;/* Afastado trabalho remunerado */          ;0;c;TRUE
V4006A;122;122;1;$1.;/* Motivo de estar afastado */         ;0;c;TRUE
V4008;120;120;1;$1.;/* Quanto tempo que estava afastado */        ;0;c;TRUE
V40081;124;125;2;$2.;/* Tempo de afastamenento até 1 ano */       ;0;c;TRUE
V40082;126;127;2;$2.;/* Tempo de afastamen. de 1 a 2 anos */     ;0;c;TRUE
V40083;128;129;2;$2.;/* Tempo de afastamen. mais d 2 anos */      ;0;c;TRUE
V4009;130;130;1;$1.;/* Quantos trabalhos tinhana semana */         ;0;c;TRUE
V4010;131;134;4;$4.;/* Ocupação no trab. principal */         ;0;c;TRUE
V4012;135;135;1;$1.;/* Posição na ocupação */          ;0;c;TRUE
