int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;V0001;$2.;;2;0;2;c;TRUE
3;V0024;$8.;;8;0;10;c;TRUE
11;UPA_PNS;$7.;;7;0;17;c;TRUE
18;V0006_PNS;$4.;;4;0;21;c;TRUE
22;UPA;$9.;;9;0;30;c;TRUE
31;V0025;$1.;;1;0;31;c;TRUE
32;C001;$2.;;2;0;33;c;TRUE
34;C00301;$2.;;2;0;35;c;TRUE
36;C004;$2.;;2;0;37;c;TRUE
38;C006;$1.;;1;0;38;c;TRUE
39;C00701;$2.;;2;0;40;c;TRUE
41;C00702;$2.;;2;0;42;c;TRUE
43;C00703;$4.;;4;0;46;c;TRUE
47;C008;$3.;;3;0;49;c;TRUE
50;C009;$1.;;1;0;50;c;TRUE
51;C010;$1.;;1;0;51;c;TRUE
52;C011;$1.;;1;0;52;c;TRUE
53;C012;$1.;;1;0;53;c;TRUE
54;D001;$1.;;1;0;54;c;TRUE
55;D002;$1.;;1;0;55;c;TRUE
56;D003;$1.;;1;0;56;c;TRUE
57;D004;$1.;;1;0;57;c;TRUE
58;D005;$1.;;1;0;58;c;TRUE
59;D006;$1.;;1;0;59;c;TRUE
60;D007;$1.;;1;0;60;c;TRUE
61;D008;$1.;;1;0;61;c;TRUE
62;D009;$2.;;2;0;63;c;TRUE
64;D010;$1.;;1;0;64;c;TRUE
65;D011;$1.;;1;0;65;c;TRUE
66;D012;$1.;;1;0;66;c;TRUE
67;D013;$1.;;1;0;67;c;TRUE
68;D014;$1.;;1;0;68;c;TRUE
69;D015;$1.;;1;0;69;c;TRUE
70;E001;$1.;;1;0;70;c;TRUE
71;E002;$1.;;1;0;71;c;TRUE
72;E003;$1.;;1;0;72;c;TRUE
73;E004;$1.;;1;0;73;c;TRUE
74;E005;$1.;;1;0;74;c;TRUE
75;E006;$1.;;1;0;75;c;TRUE
76;E007;$1.;;1;0;76;c;TRUE
77;E008;$1.;;1;0;77;c;TRUE
78;E01001;2.;;2;0;79;i;FALSE
80;E01002;2.;;2;0;81;i;FALSE
82;E01003;2.;;2;0;83;i;FALSE
84;E011;$1.;;1;0;84;c;TRUE
85;E01201;$4.;;4;0;88;c;TRUE
89;E014;$1.;;1;0;89;c;TRUE
90;E01501;$5.;;5;0;94;c;TRUE
95;E01601;$1.;;1;0;95;c;TRUE
96;E01602;8.;;8;0;103;i;FALSE
104;E01603;$1.;;1;0;104;c;TRUE
105;E01604;8.;;8;0;112;i;FALSE
113;E01605;$1.;;1;0;113;c;TRUE
114;E017;3.;;3;0;116;i;FALSE
117;E01801;$1.;;1;0;117;c;TRUE
118;E01802;8.;;8;0;125;i;FALSE
126;E01803;$1.;;1;0;126;c;TRUE
127;E01804;8.;;8;0;134;i;FALSE
135;E01805;$1.;;1;0;135;c;TRUE
136;E019;3.;;3;0;138;i;FALSE
139;E020;$1.;;1;0;139;c;TRUE
140;E021;$1.;;1;0;140;c;TRUE
141;E022;$1.;;1;0;141;c;TRUE
142;E023;$2.;;2;0;143;c;TRUE
144;E024;$2.;;2;0;145;c;TRUE
146;E025;$1.;;1;0;146;c;TRUE
147;E02501;2.;;2;0;148;i;FALSE
149;E02502;2.;;2;0;150;i;FALSE
151;E026;$1.;;1;0;151;c;TRUE
152;E027;$1.;;1;0;152;c;TRUE
153;F001;$1.;;1;0;153;c;TRUE
154;F00102;8.;;8;0;161;i;FALSE
162;F007;$1.;;1;0;162;c;TRUE
163;F00702;8.;;8;0;170;i;FALSE
171;F008;$1.;;1;0;171;c;TRUE
172;F00802;8.;;8;0;179;i;FALSE
180;VDF001;$1.;;1;0;180;c;TRUE
181;VDF00102;8.;;8;0;188;i;FALSE
189;G001;$1.;;1;0;189;c;TRUE
190;G002;$1.;;1;0;190;c;TRUE
