int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uni_cons;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;n_do_quadro;2.;NA;2;0;17;i;FALSE
18;cod_item;4.;NA;4;0;21;i;FALSE
22;dv_cod_desp;1.;NA;1;0;22;i;FALSE
23;cod_critica;2.;NA;2;0;24;i;FALSE
25;cod_imput;2.;NA;2;0;26;i;FALSE
27;quant_adquir;5.;NA;5;0;31;i;FALSE
32;unid_medida;3.;NA;3;0;34;i;FALSE
35;valor_item;8.;NA;8;2;44;d;FALSE
45;local_comp;3.;NA;3;0;47;i;FALSE
48;deflator;2.;NA;2;2;51;d;FALSE
52;fator_anual;3.;NA;3;0;54;i;FALSE
55;valor_deflac;8.;NA;8;2;64;d;FALSE
65;valor_anual;8.;NA;8;2;74;d;FALSE
75;valor_exp_1;13.;NA;13;2;89;d;FALSE
90;valor_exp_2;13.;NA;13;2;104;d;FALSE
