int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;uc;1.;;1;0;11;i;FALSE
12;estrato;2.;;2;0;13;i;FALSE
14;fator_set;11.5;;11;5;24;d;FALSE
25;fator;11.5;;11;5;35;d;FALSE
36;ordem;2.;;2;0;37;i;FALSE
38;c_rendfam;1.;;1;0;38;i;FALSE
39;qtd_alim;1.;;1;0;39;i;FALSE
40;tipo_alim;1.;;1;0;40;i;FALSE
41;razao;1.;;1;0;41;i;FALSE
42;agua;1.;;1;0;42;i;FALSE
43;lixo;1.;;1;0;43;i;FALSE
44;iluminacao;1.;;1;0;44;i;FALSE
45;drenagem;1.;;1;0;45;i;FALSE
46;energia;1.;;1;0;46;i;FALSE
47;pouco_esp;1.;;1;0;47;i;FALSE
48;vizbarulh;1.;;1;0;48;i;FALSE
49;casa_escura;1.;;1;0;49;i;FALSE
50;telh_goteira;1.;;1;0;50;i;FALSE
51;umidade;1.;;1;0;51;i;FALSE
52;mad_deterior;1.;;1;0;52;i;FALSE
53;prob_ambient;1.;;1;0;53;i;FALSE
54;violencia;1.;;1;0;54;i;FALSE
55;cond_moradia;1.;;1;0;55;i;FALSE
56;alug_atrasado;1.;;1;0;56;i;FALSE
57;atraso_serv;1.;;1;0;57;i;FALSE
58;outros_atrasos;1.;;1;0;58;i;FALSE
59;val_min_aliment;11.2;;11;2;69;d;FALSE
70;renda;12.4;;12;4;81;d;FALSE
82;rend_min_uc;"11.2;";;11;2;92;d;FALSE
