int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;unid.consumo;1.;NA;1;0;13;i;FALSE
14;cod.despesa;4.;NA;4;0;17;i;FALSE
18;dv.despesa;1.;NA;1;0;18;i;FALSE
19;valor.item;10.;NA;10;2;28;d;FALSE
29;mês.gasto;2.;NA;2;0;30;i;FALSE
31;num.mes;1.;NA;1;0;31;i;FALSE
32;deflator;4.;NA;4;2;35;d;FALSE
36;cod.critica;2.;NA;2;0;37;i;FALSE
38;cod.imp;2.;NA;2;0;39;i;FALSE
40;fator.anual;3.;NA;3;0;42;i;FALSE
43;val.defl;10.;NA;10;2;52;d;FALSE
53;val.anualiz;10.;NA;10;2;62;d;FALSE
63;valorexp1;15.;NA;15;2;77;d;FALSE
78;valorexp2;15.;NA;15;2;92;d;FALSE
