int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uniconsumo;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;cod_desp;4.;NA;4;0;19;i;FALSE
20;dv_cod_desp;1.;NA;1;0;20;i;FALSE
21;est_prod;1.;NA;1;0;21;i;FALSE
22;mês_aquis;2.;NA;2;0;23;i;FALSE
24;ano_aquis;2.;NA;2;0;25;i;FALSE
26;for_aquis;1.;NA;1;0;26;i;FALSE
27;valor_item;10.;NA;8;2;36;d;FALSE
37;loca_comp;2.;NA;2;0;38;i;FALSE
39;deflator;4.;NA;2;2;42;d;FALSE
43;cod_crit;2.;NA;2;0;44;i;FALSE
45;cod_imp;2.;NA;2;0;46;i;FALSE
47;fator_anual;3.;NA;3;0;49;d;FALSE
50;valor_deflac;10.;NA;8;2;59;d;FALSE
60;valor_anual;10.;NA;8;2;69;d;FALSE
70;valor_exp_1;15.;NA;13;2;84;d;FALSE
85;valor_exp_2;15.;NA;13;2;99;d;FALSE
