int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
2;rm;2.;;2;0;3;i;FALSE
4;periodo_real;2.;;2;0;5;i;FALSE
6;n_domic;8.;;8;0;13;i;FALSE
14;unid_cons;1.;;1;0;14;i;FALSE
15;informante;2.;;2;0;16;i;FALSE
17;quest;1.;;1;0;17;i;FALSE
18;quadro;2.;;2;0;19;i;FALSE
20;aux_1;2.;;2;0;21;i;FALSE
22;aux_2;2.;;2;0;23;i;FALSE
24;extr_amos;2.;;2;0;25;i;FALSE
26;p_area_metrop;4.;;4;0;29;i;FALSE
30;p_mun_cap;4.;;4;0;33;i;FALSE
34;cod_item;4.;;4;0;37;i;FALSE
38;n_cart;2.;;2;0;39;i;FALSE
40;mês_aquis;2.;;2;0;41;i;FALSE
42;mês_unid_de_cons;2.;;2;0;43;i;FALSE
44;fat_anual;2.;;2;0;45;i;FALSE
46;n_cheq_esp;2.;;2;0;47;i;FALSE
48;ano_de_aquis;2.;;2;0;49;i;FALSE
50;form_aquis_do_bem;1.;;1;0;50;i;FALSE
51;est_do_bem;1.;;1;0;51;i;FALSE
52;val_do_item_deflac;10.;;10;0;61;i;FALSE
62;tot_aquis_deflac;10.;;10;0;71;i;FALSE
72;rel_com_o_chef;1.;;1;0;72;i;FALSE
73;cond_de_pres;1.;;1;0;73;i;FALSE
74;sexo;1.;;1;0;74;i;FALSE
75;id_calc;3.;;3;0;77;i;FALSE
78;freq_escol;1.;;1;0;78;i;FALSE
79;niv_de_instr;2.;;2;0;80;i;FALSE
81;desp_men_fam;15.;;15;0;95;i;FALSE
96;it_tab_dep_1;2.;;2;0;97;i;FALSE
98;it_tab_dep_2;3.;;3;0;100;i;FALSE
