int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;uf;2.;;2;0;4;i;FALSE
5;seq;3.;;3;0;7;i;FALSE
8;dv;1.;;1;0;8;i;FALSE
3;controle;6.;;6;0;8;i;FALSE
9;domcl;2.;;2;0;10;i;FALSE
11;uc;1.;;1;0;11;i;FALSE
12;estrato;2.;;2;0;13;i;FALSE
14;fator_set;11.5;;11;5;24;d;FALSE
25;fator;11.5;;11;5;35;d;FALSE
36;quadro;2.;;2;0;37;i;FALSE
38;item;5.;;5;0;42;i;FALSE
43;quant;4.;;4;0;46;i;FALSE
47;ano_aquis;2.;;2;0;48;i;FALSE
49;est_aquis;1.;;1;0;49;i;FALSE
50;obtencao;2.;;2;0;51;i;FALSE
52;renda;12.4;;12;4;63;d;FALSE
64;cod_imput;"1.;";;1;0;64;i;FALSE
